MDTU,|det-1|^2,1-Re(det),Im(det)
438,1,1,-1.3595e-09
440,1,1,-1.0165e-09
442,1,1,3.25307e-10
444,1,1,3.25307e-10
446,1,1,1.6735e-09
448,1,1,-1.61008e-10
450,1,1,1.45398e-09
452,1,1,-2.99971e-10
454,1,1,-2.12124e-09
456,1,1,-2.68593e-09
458,1,1,-2.77409e-09
460,1,1,-2.77409e-09
462,1,1,-1.44009e-09
464,1,1,2.67833e-10
466,1,1,2.18985e-09
468,1,1,2.52341e-09
470,1,1,2.65962e-10
472,1,1,-6.13896e-10
474,1,1,-1.08401e-09
476,1,1,1.41594e-09
478,1,1,1.41594e-09
480,1,1,5.54107e-10
482,1,1,5.54107e-10
484,1,1,-4.16922e-13
486,1,1,-1.88394e-10
488,1,1,-4.30757e-10
490,1,1,3.89188e-10
492,1,1,2.7446e-10
494,1,1,1.61607e-09
496,1,1,1.61607e-09
498,1,1,-5.98239e-10
500,1,1,7.63137e-10
502,1,1,-3.02514e-09
504,1,1,-3.02514e-09
506,1,1,8.82535e-10
508,1,1,8.2859e-10
510,1,1,-2.0384e-09
512,1,1,-2.0384e-09
514,1,1,4.38976e-10
516,1,1,2.43448e-10
518,1,1,7.98369e-10
520,1,1,-1.83924e-09
522,1,1,1.55624e-10
524,1,1,1.55624e-10
526,1,1,-6.81334e-10
528,1,1,-6.81334e-10
530,1,1,-6.81334e-10
532,1,1,3.22612e-09
534,1,1,1.02104e-08
536,1,1,1.99244e-09
538,1,1,1.43261e-09
540,1,1,1.91686e-10
542,1,1,-5.04202e-10
544,1,1,2.40348e-09
546,1,1,-5.89647e-10
548,1,1,2.57909e-10
550,1,1,1.5367e-11
552,1,1,1.3488e-09
554,1,1,9.27065e-10
556,1,1,7.93697e-10
558,1,1,-1.27689e-09
560,1,1,-1.8639e-09
562,1,1,2.95511e-09
564,1,1,-1.27805e-09
566,1,1,-4.02457e-10
568,1,1,-5.53598e-10
570,1,1,-4.24928e-10
572,1,1,4.30272e-10
574,1,1,1.88025e-09
576,1,1,-6.85285e-10
578,1,1,4.41591e-11
580,1,1,1.59936e-09
582,1,1,1.54936e-09
584,1,1,3.12736e-10
586,1,1,3.12736e-10
588,1,1,-2.25816e-09
590,1,1,9.13039e-10
592,1,1,-4.45151e-10
594,1,1,-1.11206e-09
596,1,1,-3.30066e-09
598,1,1,-2.0035e-09
600,1,1,1.01213e-09
602,1,1,2.39023e-09
604,1,1,2.39023e-09
606,1,1,-1.13456e-09
608,1,1,4.43207e-10
610,1,1,6.8378e-11
612,1,1,-1.42043e-09
614,1,1,-1.26913e-09
616,1,1,-7.92729e-10
618,1,1,1.02881e-09
620,1,1,-1.11436e-10
622,1,1,2.06423e-09
624,1,1,4.76066e-10
626,1,1,-6.39318e-10
628,1,1,-2.84216e-11
630,1,1,-1.22214e-09
632,1,1,7.81637e-11
634,1,1,1.70151e-09
636,1,1,-2.39771e-09
638,1,1,9.07177e-10
640,1,1,8.59694e-10
642,1,1,8.59694e-10
644,1,1,-6.12696e-11
646,1,1,-6.42219e-10
648,1,1,-6.42219e-10
650,1,1,-6.42219e-10
652,1,1,1.95015e-09
654,1,1,7.86403e-10
656,1,1,-5.51359e-10
658,1,1,-7.45979e-10
660,1,1,1.34304e-10
662,1,1,2.50733e-09
664,1,1,1.81617e-09
666,1,1,1.28539e-09
668,1,1,2.86079e-09
670,1,1,-5.02768e-10
672,1,1,4.68384e-10
674,1,1,4.68384e-10
676,1,1,-5.41016e-10
678,1,1,-1.64974e-09
680,1,1,-1.06071e-09
682,1,1,-1.79032e-09
684,1,1,-1.79032e-09
686,1,1,-1.79032e-09
688,1,1,3.49776e-10
690,1,1,3.49776e-10
692,1,1,3.49776e-10
694,1,1,3.49776e-10
696,1,1,2.2863e-10
698,1,1,2.2863e-10
700,1,1,-1.63346e-09
702,1,1,-1.16686e-09
704,1,1,2.10011e-11
706,1,1,1.40349e-09
708,1,1,-4.23932e-10
710,1,1,-5.18916e-09
712,1,1,-1.28336e-09
714,1,1,-6.5437e-10
716,1,1,1.25758e-09
718,1,1,-1.53322e-11
720,1,1,5.68801e-10
722,1,1,2.4947e-09
724,1,1,-3.23187e-10
726,1,1,1.61868e-10
728,1,1,-1.51656e-10
730,1,1,1.80972e-09
732,1,1,1.60552e-09
734,1,1,8.28447e-10
736,1,1,4.46891e-10
738,1,1,1.10406e-09
740,1,1,3.27875e-09
742,1,1,-2.3868e-09
744,1,1,3.67665e-10
746,1,1,2.43826e-10
748,1,1,-4.9142e-10
750,1,1,-4.14136e-11
752,1,1,1.27588e-09
754,1,1,1.27588e-09
756,1,1,-3.72534e-09
758,1,1,-8.17173e-10
760,1,1,2.64827e-09
762,1,1,4.25313e-09
764,1,1,3.02246e-10
766,1,1,3.9041e-10
768,1,1,1.46927e-09
770,1,1,6.57587e-10
772,1,1,-1.56727e-09
774,1,1,-1.56727e-09
776,1,1,-1.21108e-10
778,1,1,-1.28715e-11
780,1,1,8.23709e-10
782,1,1,-2.19244e-10
784,1,1,1.55935e-09
786,1,1,2.96997e-10
788,1,1,-2.51961e-10
790,1,1,8.82939e-10
792,1,1,-6.86938e-10
794,1,1,-1.51981e-09
796,1,1,2.58945e-10
798,1,1,2.58945e-10
800,1,1,4.50085e-11
802,1,1,-4.37306e-10
804,1,1,-4.37306e-10
806,1,1,-2.53072e-10
808,1,1,-1.89521e-09
810,1,1,-5.75373e-10
812,1,1,2.33821e-08
814,1,1,1.1553e-09
816,1,1,-2.43106e-09
818,1,1,6.85128e-10
820,1,1,4.49165e-10
822,1,1,-7.92256e-10
824,1,1,-1.83625e-09
826,1,1,-2.69369e-09
828,1,1,1.45252e-09
830,1,1,-6.75724e-10
832,1,1,-5.92675e-11
834,1,1,-5.92675e-11
836,1,1,1.52404e-09
838,1,1,1.52404e-09
840,1,1,-2.08602e-09
842,1,1,-2.08602e-09
844,1,1,-2.08602e-09
846,1,1,1.91366e-09
848,1,1,-4.98985e-10
850,1,1,-4.98985e-10
852,1,1,7.83019e-10
854,1,1,3.06008e-09
856,1,1,-2.51949e-10
858,1,1,-2.06047e-09
860,1,1,2.21304e-09
862,1,1,-7.58079e-10
864,1,1,1.41958e-09
866,1,1,-3.07856e-10
868,1,1,7.99992e-10
870,1,1,-5.63859e-10
872,1,1,1.39045e-09
874,1,1,4.4957e-10
876,1,1,4.4957e-10
878,1,1,-1.59838e-09
880,1,1,-1.59838e-09
882,1,1,4.69499e-10
884,1,1,4.1513e-10
886,1,1,-2.38711e-10
888,1,1,-2.38711e-10
890,1,1,-1.08043e-09
892,1,1,5.40344e-09
894,1,1,1.87203e-09
896,1,1,-1.05548e-09
898,1,1,-2.5126e-09
900,1,1,-4.63525e-09
902,1,1,-6.17597e-10
904,1,1,-6.17597e-10
906,1,1,-6.17597e-10
908,1,1,-8.43807e-10
910,1,1,9.21576e-10
912,1,1,-2.62512e-09
914,1,1,1.27287e-09
916,1,1,1.3229e-10
918,1,1,1.25912e-09
920,1,1,1.73497e-10
922,1,1,1.73497e-10
924,1,1,1.73497e-10
926,1,1,-1.7991e-09
928,1,1,-1.47972e-09
930,1,1,-6.37741e-10
932,1,1,-1.01037e-10
934,1,1,-1.01037e-10
936,1,1,-2.06239e-09
938,1,1,-2.06239e-09
940,1,1,-1.55747e-09
942,1,1,-1.55747e-09
944,1,1,-1.55747e-09
946,1,1,-1.55747e-09
948,1,1,-4.67089e-09
950,1,1,2.8943e-10
952,1,1,1.79261e-09
954,1,1,-1.59915e-09
956,1,1,2.08698e-10
958,1,1,1.41522e-10
960,1,1,3.01735e-09
962,1,1,-2.25903e-09
964,1,1,9.24408e-11
966,1,1,-3.70451e-10
968,1,1,3.29352e-09
970,1,1,-8.37216e-10
972,1,1,1.0093e-09
974,1,1,2.46756e-09
976,1,1,8.45034e-10
978,1,1,7.03729e-10
980,1,1,-4.50314e-11
982,1,1,-4.62543e-09
984,1,1,-4.62543e-09
986,1,1,9.22574e-10
988,1,1,-5.07292e-09
990,1,1,-5.07292e-09
992,1,1,2.70479e-09
994,1,1,-2.89995e-09
996,1,1,2.39038e-09
998,1,1,6.5147e-10
1000,1,1,6.5147e-10
1002,1,1,-8.15934e-10
1004,1,1,-8.15934e-10
1006,1,1,8.87806e-10
1008,1,1,-1.09391e-09
1010,1,1,1.38695e-09
1012,1,1,-1.89554e-09
1014,1,1,4.00578e-10
1016,1,1,1.80422e-11
1018,1,1,2.67273e-11
1020,1,1,-4.73954e-10
1022,1,1,9.4629e-10
1024,1,1,-3.70698e-09
1026,1,1,-3.70698e-09
1028,1,1,-3.70698e-09
1030,1,1,-4.19524e-10
1032,1,1,3.72756e-10
1034,1,1,1.44225e-09
1036,1,1,-1.74612e-10
1038,1,1,1.17516e-09
1040,1,1,-9.74845e-10
1042,1,1,-9.74845e-10
1044,1,1,-9.74845e-10
1046,1,1,3.95268e-09
1048,1,1,-2.4827e-10
1050,1,1,-3.17024e-10
1052,1,1,3.16952e-09
1054,1,1,2.38185e-10
1056,1,1,2.38185e-10
1058,1,1,-2.13215e-09
1060,1,1,-2.13215e-09
1062,1,1,-2.13215e-09
1064,1,1,5.76784e-10
1066,1,1,5.76784e-10
1068,1,1,2.81791e-09
1070,1,1,-1.89155e-09
1072,1,1,3.25914e-10
1074,1,1,-3.50109e-10
1076,1,1,-1.00406e-09
1078,1,1,-2.04304e-09
1080,1,1,1.13508e-09
1082,1,1,-1.27203e-09
1084,1,1,-1.27203e-09
1086,1,1,-1.27203e-09
1088,1,1,-1.27203e-09
1090,1,1,-3.44722e-11
1092,1,1,1.54961e-09
1094,1,1,4.78969e-10
1096,1,1,-1.61892e-09
1098,1,1,-1.61892e-09
1100,1,1,2.32643e-09
1102,1,1,1.94613e-10
1104,1,1,1.94613e-10
1106,1,1,1.90179e-09
1108,1,1,1.90179e-09
1110,1,1,5.17437e-10
1112,1,1,-2.28335e-09
1114,1,1,2.14267e-09
1116,1,1,8.7934e-10
1118,1,1,-2.78128e-09
1120,1,1,-6.15871e-10
1122,1,1,-6.11099e-10
1124,1,1,-1.30342e-10
1126,1,1,8.66419e-10
1128,1,1,-4.31652e-10
1130,1,1,4.23332e-10
1132,1,1,3.40445e-09
1134,1,1,4.82141e-10
1136,1,1,4.82141e-10
1138,1,1,-6.00917e-11
1140,1,1,-2.24803e-10
1142,1,1,6.08347e-10
1144,1,1,1.94353e-09
1146,1,1,1.94353e-09
1148,1,1,-2.8695e-11
1150,1,1,-1.48299e-09
1152,1,1,-1.48299e-09
1154,1,1,-9.0488e-11
1156,1,1,-6.04863e-09
1158,1,1,4.87607e-09
1160,1,1,1.95854e-10
1162,1,1,-1.79182e-09
1164,1,1,1.71781e-10
1166,1,1,1.71781e-10
1168,1,1,5.56972e-11
1170,1,1,-4.70235e-09
1172,1,1,5.73248e-10
1174,1,1,-9.04425e-11
1176,1,1,-9.80878e-10
1178,1,1,-1.30374e-09
1180,1,1,-1.3024e-09
1182,1,1,-4.38472e-10
1184,1,1,-1.03016e-09
1186,1,1,-1.56775e-09
1188,1,1,-1.56775e-09
1190,1,1,-1.56775e-09
1192,1,1,-1.56775e-09
1194,1,1,-1.56775e-09
1196,1,1,-8.17565e-10
1198,1,1,-1.37913e-09
1200,1,1,-3.98633e-09
1202,1,1,1.11467e-09
1204,1,1,-6.97345e-10
1206,1,1,-1.28022e-09
1208,1,1,3.19974e-10
1210,1,1,-3.99106e-10
1212,1,1,-2.04794e-09
1214,1,1,-4.75812e-10
1216,1,1,-4.33203e-10
1218,1,1,-4.33203e-10
1220,1,1,1.34118e-09
1222,1,1,-4.4411e-10
1224,1,1,7.68811e-10
1226,1,1,7.68811e-10
1228,1,1,-6.9095e-10
1230,1,1,-1.54247e-09
1232,1,1,-8.59989e-10
1234,1,1,-1.15116e-10
1236,1,1,6.05927e-10
1238,1,1,3.91674e-09
1240,1,1,5.73607e-10
1242,1,1,-1.80249e-09
1244,1,1,-3.16887e-09
1246,1,1,-3.61838e-10
1248,1,1,-3.61838e-10
1250,1,1,3.42061e-10
1252,1,1,1.87521e-09
