MDTU,link
916,10.03
918,8.82094
920,8.65332
922,8.65332
924,8.65332
926,8.70028
928,8.8725
930,9.60505
932,9.70771
934,9.70771
936,9.61425
938,9.61425
940,8.92339
942,8.92339
944,8.92339
946,8.92339
948,9.42853
950,8.96493
952,9.16176
954,9.39053
956,9.15412
958,9.26703
960,9.57194
962,9.01103
964,9.90073
966,10.4418
968,10.0093
970,10.0715
972,9.89977
974,9.07828
976,10.1537
978,9.50318
980,9.87323
982,10.0127
984,10.0127
986,9.1769
988,9.4749
990,9.4749
992,8.78378
994,8.04503
996,8.26498
998,8.49359
1000,8.49359
1002,8.77728
1004,8.77728
1006,9.75718
1008,10.175
1010,10.1397
1012,10.179
1014,9.88185
1016,9.37588
1018,9.56853
1020,10.1719
1022,10.7395
1024,9.59794
1026,9.59794
1028,9.59794
1030,9.00638
1032,9.16682
1034,8.44069
1036,7.38484
1038,7.51005
1040,7.48328
1042,7.48328
1044,7.48328
1046,7.40789
1048,7.91464
1050,7.04164
1052,6.54866
1054,6.06506
1056,6.06506
1058,6.4997
1060,6.4997
1062,6.4997
1064,6.20552
1066,6.20552
1068,6.4825
1070,6.23034
1072,6.14101
1074,6.39245
1076,6.12456
1078,6.00517
1080,5.94744
1082,6.13479
1084,6.13479
1086,6.13479
1088,6.13479
1090,6.36465
1092,6.24836
1094,5.93477
1096,6.16989
1098,6.16989
1100,6.5147
1102,6.28003
1104,6.28003
1106,6.22535
1108,6.22535
1110,5.93157
1112,5.52965
1114,5.52422
1116,5.56409
1118,5.49281
1120,5.48639
1122,5.174
1124,5.31609
1126,5.73717
1128,5.78513
1130,5.52797
1132,5.70855
1134,5.91718
1136,5.91718
1138,6.08161
1140,6.33016
1142,6.54215
1144,7.06278
1146,7.06278
1148,7.66972
1150,7.29827
1152,7.29827
1154,6.88182
1156,7.14627
1158,7.87047
1160,8.00324
1162,8.03152
1164,8.60761
1166,8.60761
1168,8.38236
1170,8.44886
1172,8.43955
1174,7.49101
1176,7.50848
1178,7.85578
1180,7.93226
1182,8.61983
1184,8.90911
1186,8.88328
1188,8.88328
1190,8.88328
1192,8.88328
1194,8.88328
1196,9.00372
1198,8.49242
1200,8.55153
1202,9.09453
1204,9.29835
1206,9.87732
1208,9.58297
1210,10.5342
1212,10.6352
1214,10.0796
1216,9.71826
1218,9.71826
1220,9.60844
1222,9.47618
1224,9.48418
1226,9.48418
1228,10.0059
1230,10.3993
1232,11.3093
1234,11.3344
1236,10.8828
1238,11.1698
1240,11.0779
1242,11.2817
1244,11.0454
1246,11.1622
1248,11.1622
1250,10.2709
1252,10.7769
1254,10.7769
1256,10.4003
1258,10.6589
1260,9.57047
1262,9.08404
1264,9.37196
1266,9.00645
1268,9.00995
1270,9.04637
1272,9.05067
1274,9.05067
1276,8.66819
1278,8.57832
1280,7.88786
1282,8.11288
1284,8.11288
1286,8.79663
1288,8.79663
1290,8.56661
1292,8.56661
1294,8.56661
1296,8.56355
1298,8.45269
1300,8.51502
1302,8.62768
1304,8.34196
1306,8.34196
1308,8.34196
1310,8.34196
1312,8.34196
1314,8.34196
1316,7.39862
1318,7.38526
1320,7.53035
1322,7.53035
1324,7.53035
1326,7.91062
1328,7.91062
1330,7.59382
1332,7.82235
1334,8.39083
1336,8.76136
1338,8.61115
1340,8.61115
1342,8.1981
1344,8.6113
1346,8.69921
1348,7.87746
1350,8.00277
1352,8.38558
1354,8.78919
1356,8.78919
1358,8.78919
1360,8.78919
1362,8.30524
1364,8.70458
1366,8.70458
1368,8.094
1370,7.88
1372,7.88
1374,7.88
1376,7.96491
1378,7.88219
1380,7.23539
1382,7.11758
1384,7.67171
