t,e^(-dS)
457,0.807106
458,0.97654
459,2.43197
460,1.84725
461,0.337902
462,0.466825
463,0.44566
464,1.01905
465,1.99013
466,0.662258
467,0.71291
468,1.7605
469,0.315688
470,0.533872
471,0.579204
472,0.956696
473,0.500274
474,0.989713
475,1.39417
476,1.47167
477,0.318224
478,0.71541
479,1.62971
480,0.869619
481,2.01577
482,0.454072
483,1.48944
484,1.08036
485,0.727021
486,1.87817
487,0.158817
488,2.86337
489,1.28082
490,1.70063
491,1.5017
492,0.586724
493,0.52215
494,1.32392
495,0.596128
496,1.01156
497,0.832851
498,0.950621
499,1.07688
500,0.889763
501,0.912142
502,0.519598
503,0.972223
504,0.366411
505,0.682632
506,1.45455
507,2.00071
508,0.51484
509,0.99003
510,0.821437
511,1.00767
512,1.82394
513,0.547989
514,0.618227
515,0.756162
516,2.15136
517,0.798596
518,0.559115
519,0.918209
520,1.37933
521,0.822752
522,0.42257
523,0.921005
524,1.82851
525,0.735062
526,0.434569
527,2.29378
528,0.624128
529,1.05422
530,0.231078
531,0.521524
532,0.285361
533,0.68393
534,1.62434
535,0.713124
536,0.528401
537,0.63356
538,0.768896
539,1.94177
540,0.691149
541,1.7362
542,0.399796
543,0.58784
544,0.486947
545,0.518145
546,1.82979
547,1.25621
548,0.790571
549,0.793263
550,1.86918
551,0.851462
552,0.537676
553,0.841558
554,0.801877
555,1.30109
556,0.990735
557,2.13528
558,1.03124
559,0.597441
560,0.784036
561,1.213
562,1.09753
563,1.17035
564,0.483212
565,0.497928
566,1.55085
567,1.29693
568,0.443126
569,0.812776
570,0.986571
571,0.515458
572,0.637182
573,0.936459
574,1.05008
575,1.62482
576,0.770127
577,0.510737
578,2.53071
579,0.714409
580,0.363855
581,0.69677
582,1.33282
583,0.728841
584,1.10303
585,1.18223
586,0.867795
587,1.1116
588,1.70421
589,0.791995
590,0.508597
591,2.13507
592,0.970087
593,1.45354
594,0.773523
595,0.699073
596,0.603204
597,0.628009
598,0.828035
599,0.972729
600,2.10202
601,0.647977
602,1.10749
603,1.02636
604,2.86624
605,0.422401
606,0.776235
607,2.03419
608,1.14706
609,0.74759
610,1.45761
611,0.602601
612,0.883822
613,0.336553
614,0.612381
615,1.31653
616,0.675839
617,1.6623
618,1.80002
619,0.379766
620,0.570524
621,2.83488
622,1.30239
623,1.4168
624,0.58996
625,0.692186
626,1.12919
627,0.673141
628,0.801476
629,0.875115
630,1.54049
631,0.806783
632,0.760712
633,1.10583
634,0.692117
635,1.92861
636,1.57949
637,0.26237
638,0.389691
639,0.424901
640,2.30366
641,1.01968
642,0.750512
643,1.05688
644,0.316004
645,0.795249
646,0.512989
647,0.664979
648,0.625565
649,1.34568
650,1.19303
651,1.48587
652,0.77005
653,0.49027
654,0.793105
655,0.781531
656,0.310677
657,0.567622
658,0.744159
659,1.07812
660,2.07612
661,0.794613
662,0.422063
663,1.7498
664,0.534245
665,0.417947
666,0.850867
667,2.18584
668,0.612994
669,1.02759
670,0.673478
671,1.19818
672,1.17763
673,1.2866
674,0.92652
675,0.609632
676,0.865368
677,5.01283
678,0.596247
679,0.293758
680,0.271444
681,0.815707
682,0.616806
683,0.483164
684,0.862345
685,1.17739
686,0.607745
687,0.659482
688,0.767053
689,0.596545
690,1.68708
691,1.34689
692,1.11539
693,1.03134
694,0.429686
695,1.15177
696,0.876955
697,0.972174
698,1.44455
699,0.777711
700,1.38334
701,0.709638
702,0.945218
703,0.450769
704,0.601457
705,0.474782
706,1.01502
707,1.0717
708,0.487971
709,1.66762
710,0.44428
711,0.856929
712,1.07219
713,0.906767
714,0.93869
715,1.79248
716,1.07338
717,1.22937
718,1.29266
719,0.946911
720,2.70662
721,0.412054
722,0.678345
723,0.697118
724,0.609266
725,0.520899
726,2.87485
727,0.605137
728,0.676177
729,1.9808
730,2.44783
731,0.370464
732,0.665045
733,0.715839
734,1.54111
735,0.445303
736,1.4832
737,0.968497
738,1.30944
739,0.763303
740,1.86601
741,0.423035
742,0.795488
743,1.61737
744,0.850867
745,0.644359
746,1.00294
747,0.913849
748,1.21884
749,1.10683
750,0.986936
751,0.873541
752,1.0216
753,0.417071
754,0.873716
755,0.328572
756,1.67013
757,0.680315
758,0.679974
759,2.10434
760,1.1013
761,1.33296
762,0.731177
763,0.26955
764,1.18388
765,1.32326
766,2.53324
767,0.518663
768,0.321744
769,0.454072
770,0.804769
771,1.7179
772,1.50471
773,0.549031
774,1.48142
775,0.541507
776,1.16614
777,1.75488
778,1.08851
779,0.833518
780,0.672939
781,1.0198
782,0.915477
783,0.995872
784,0.613301
785,0.750887
786,5.00782
787,0.449868
788,0.429257
789,0.821026
790,2.12506
791,0.678005
792,0.87459
793,0.621326
794,2.04807
795,1.01198
796,0.367144
797,1.08805
798,1.72599
799,0.353101
800,0.747516
801,0.579494
802,1.37341
803,1.11293
804,0.781375
805,0.674354
806,1.10639
807,0.870663
808,0.216752
809,1.09001
810,0.439859
811,1.09444
812,0.680247
813,1.76297
814,0.544602
815,0.59191
816,0.445081
817,2.58881
818,1.35988
819,1.13009
820,0.590669
821,0.39098
822,0.837612
823,0.822423
824,0.438366
825,1.38486
826,0.763685
827,0.623566
828,1.71463
829,0.851207
830,1.55987
831,1.68742
832,0.435222
833,0.745649
834,0.869793
835,0.387477
836,0.904295
837,1.71052
838,0.885237
839,1.4185
840,0.9393
841,1.91918
842,0.77958
843,0.723757
844,0.301496
845,1.56158
846,0.958927
847,1.29447
848,0.195343
849,0.44566
850,1.54249
851,0.915431
852,0.595056
853,3.51486
854,0.484131
855,0.843243
856,0.516851
857,0.728112
858,0.676921
859,0.795965
860,0.567508
861,1.53066
862,0.560403
863,0.71049
864,0.449554
865,0.86002
866,0.660869
867,0.972563
868,0.388835
869,3.3602
870,0.719499
871,1.11349
872,0.557162
873,1.25032
874,0.638777
875,0.770358
876,0.715267
877,0.746097
878,2.29676
879,0.754047
880,1.02051
881,0.745053
882,0.729862
883,1.74264
884,1.22226
885,0.702437
886,0.524505
887,1.12075
888,1.2812
889,0.732274
890,1.21555
891,0.644487
892,1.19113
893,1.83089
894,0.475685
895,1.40621
896,1.30774
897,0.86875
898,2.84909
899,0.156297
900,0.454526
901,0.897628
902,0.608292
903,0.868837
904,1.28056
905,1.47964
906,0.840801
907,1.03248
908,1.83547
909,0.347844
910,0.477973
911,1.74072
912,0.297007
913,0.860966
914,0.640632
915,3.10806
916,0.385737
917,0.819878
918,1.21446
919,0.648755
920,0.777089
921,1.18637
922,1.88967
923,0.908464
924,2.92122
925,0.467246
926,1.09176
927,0.606227
928,0.816278
929,1.52486
930,0.78537
931,1.70165
932,0.986976
933,0.315373
934,1.18994
935,0.298496
936,0.518508
937,0.636481
938,0.247833
939,0.689354
940,2.22777
941,0.900685
942,0.881791
943,0.798357
944,0.426817
945,2.37762
946,0.727239
947,0.82193
948,1.92437
949,1.7369
950,0.857529
951,1.1184
952,0.294346
953,0.468134
954,0.368837
955,0.463986
956,2.25669
957,0.900685
958,0.267403
959,0.620705
960,0.458727
961,0.898077
962,1.70813
963,1.36438
964,1.26466
965,0.821355
966,0.430848
967,0.802519
968,0.714552
969,1.16719
970,1.44991
971,0.749987
972,1.17058
973,0.94119
974,0.473786
975,0.419538
976,1.86023
977,1.74264
978,0.985644
979,0.408199
980,0.561974
981,0.533605
982,0.326606
983,1.55162
984,0.828449
985,1.37699
986,0.982583
987,0.376815
988,1.30174
989,1.02236
990,0.364583
991,1.10317
992,1.01445
993,1.99411
994,0.337902
995,1.92303
996,1.06386
997,0.456804
998,1.22043
999,1.79427
1000,0.550956
