MDTU,plaq,Re(det),Im(det),link
228,0.166728,4.13976e-08,2.19463e-08,0.711288
230,0.166728,4.13976e-08,2.19463e-08,0.711288
232,0.148941,6.60819e-09,1.01106e-08,0.740147
234,0.14195,4.8426e-09,7.86662e-09,0.713813
236,0.14195,4.8426e-09,7.86662e-09,0.713813
238,0.150832,1.22526e-08,9.43941e-09,0.718595
240,0.149059,1.23108e-08,7.40468e-09,0.727012
242,0.174142,1.34225e-08,4.71937e-09,0.721776
244,0.174142,1.34225e-08,4.71937e-09,0.721776
246,0.1615,3.57348e-09,5.08114e-09,0.717974
248,0.149786,1.05644e-08,1.31669e-08,0.693842
250,0.151776,1.03175e-08,9.90172e-09,0.723614
252,0.182743,7.53697e-09,1.14236e-08,0.814761
254,0.173414,8.53598e-09,7.00778e-09,0.80927
256,0.177277,3.66906e-08,2.79651e-08,0.861578
258,0.145113,6.45183e-08,4.09421e-08,0.844233
260,0.141769,2.77212e-08,2.29463e-08,0.841123
262,0.142648,1.22023e-08,2.49864e-08,0.787794
264,0.172324,6.12164e-09,6.43827e-09,0.762355
266,0.173729,2.22161e-08,1.18055e-08,0.749533
268,0.117756,7.7482e-09,7.20575e-09,0.793876
270,0.145002,1.25774e-08,1.33497e-08,0.877848
272,0.153058,7.9179e-09,5.46147e-08,0.918068
274,0.155319,1.07807e-08,6.50309e-09,1.00383
276,0.140768,7.55461e-09,7.35871e-09,0.97153
278,0.140768,7.55461e-09,7.35871e-09,0.97153
280,0.140768,7.55461e-09,7.35871e-09,0.97153
282,0.170948,1.73496e-08,2.25574e-08,0.927892
284,0.182335,6.39555e-09,7.15727e-09,1.02247
286,0.15681,1.89946e-09,4.9302e-09,1.07028
288,0.16866,1.28239e-08,7.68713e-09,0.995437
290,0.144946,1.39558e-08,8.41759e-09,1.00948
292,0.166859,7.39686e-09,6.36348e-09,1.04625
294,0.176637,4.21986e-09,2.59482e-09,0.916791
296,0.176637,4.21986e-09,2.59482e-09,0.916791
298,0.157998,1.45236e-08,6.53595e-09,0.996188
300,0.161031,6.14535e-09,6.20473e-09,0.906568
302,0.151955,6.24007e-09,1.31569e-08,0.999706
304,0.143627,7.58156e-09,8.68279e-09,0.962458
306,0.160691,5.21847e-09,8.66591e-09,0.82488
308,0.161838,2.35491e-08,2.10728e-08,0.869366
310,0.178522,2.5926e-08,1.30745e-08,0.857324
312,0.154024,5.95499e-09,3.49792e-09,0.8741
314,0.150825,1.34133e-08,5.86683e-09,0.868849
316,0.133092,7.97968e-09,7.78052e-09,0.846823
318,0.193705,1.49898e-08,9.49243e-09,0.836435
320,0.193705,1.49898e-08,9.49243e-09,0.836435
322,0.160336,1.05249e-08,2.71676e-08,0.84086
324,0.143111,1.84943e-08,1.72966e-08,0.860144
326,0.154013,1.18854e-08,1.28558e-08,0.874789
328,0.160916,6.53637e-09,1.22298e-08,0.89563
330,0.174531,4.57684e-09,4.0066e-09,0.897351
332,0.208319,9.18978e-08,3.84844e-08,0.913051
334,0.208319,9.18978e-08,3.84844e-08,0.913051
336,0.186466,1.92569e-08,1.56359e-08,0.932981
338,0.14423,8.62601e-09,1.35732e-08,0.893859
340,0.16564,7.06019e-09,1.03094e-08,0.88326
342,0.177908,1.35828e-08,7.52583e-09,0.933024
344,0.161876,2.22815e-08,1.50282e-08,1.07064
346,0.168872,1.44532e-08,8.99017e-09,1.033
348,0.168872,1.44532e-08,8.99017e-09,1.033
350,0.116131,8.03574e-09,6.92405e-09,0.970022
352,0.149264,1.41468e-08,1.71133e-08,0.884742
354,0.168413,5.27193e-08,9.61214e-09,0.861754
