MDTU,min_ave,max_ave
546,-1.69471,0.397046
548,-1.70521,0.36526
550,-1.73683,0.368866
552,-1.7495,0.373954
554,-1.71886,0.378936
556,-1.73821,0.373281
558,-1.64323,0.373251
560,-1.80871,0.369589
562,-1.69395,0.384973
564,-1.59093,0.411072
566,-1.73156,0.397157
568,-1.56176,0.397891
570,-1.63962,0.39297
572,-1.65014,0.398621
574,-1.65637,0.391088
576,-1.69092,0.392785
578,-1.66186,0.41042
580,-1.62227,0.399725
582,-1.63295,0.413674
584,-1.68783,0.3909
586,-1.68783,0.3909
588,-1.74289,0.373325
590,-1.73413,0.370103
592,-1.72962,0.384602
594,-1.63018,0.378927
596,-1.56201,0.404587
598,-1.60376,0.407791
600,-1.59404,0.406308
602,-1.64008,0.397033
604,-1.64008,0.397033
606,-1.62932,0.396557
608,-1.64991,0.426161
610,-1.61387,0.423307
612,-1.59682,0.436498
614,-1.51955,0.436894
616,-1.51877,0.442085
618,-1.58802,0.432909
620,-1.47103,0.442103
622,-1.54983,0.437338
624,-1.52545,0.447549
626,-1.5324,0.447848
628,-1.57254,0.444848
630,-1.49472,0.459077
632,-1.54969,0.465177
634,-1.48274,0.450373
636,-1.48048,0.470664
638,-1.50703,0.456338
640,-1.48861,0.454188
642,-1.48861,0.454188
644,-1.5409,0.45178
646,-1.54084,0.469548
648,-1.54084,0.469548
650,-1.54084,0.469548
652,-1.56121,0.461529
654,-1.53564,0.481413
656,-1.51839,0.478416
658,-1.54169,0.463777
660,-1.48164,0.465862
662,-1.55966,0.455061
664,-1.48262,0.463336
666,-1.46188,0.453438
668,-1.59288,0.453572
670,-1.4964,0.456441
672,-1.528,0.459048
674,-1.528,0.459048
676,-1.56964,0.450119
678,-1.58257,0.447855
680,-1.53032,0.449414
682,-1.55229,0.459053
684,-1.55229,0.459053
686,-1.55229,0.459053
688,-1.58114,0.465859
690,-1.58114,0.465859
692,-1.58114,0.465859
694,-1.58114,0.465859
696,-1.50344,0.471392
698,-1.50344,0.471392
700,-1.53666,0.456493
702,-1.53147,0.457058
704,-1.50815,0.449992
706,-1.53418,0.435909
708,-1.62609,0.444774
710,-1.55204,0.458375
712,-1.48689,0.439698
714,-1.59422,0.443985
716,-1.62216,0.433286
718,-1.62581,0.426033
720,-1.57443,0.423039
722,-1.48931,0.4297
724,-1.587,0.436576
726,-1.52126,0.464539
728,-1.46245,0.469221
730,-1.45963,0.476876
732,-1.50267,0.478658
734,-1.54442,0.484482
736,-1.45343,0.484063
738,-1.47077,0.49166
740,-1.45963,0.471815
742,-1.5117,0.476803
744,-1.48074,0.484232
746,-1.48724,0.471139
748,-1.46997,0.474744
750,-1.49822,0.484514
752,-1.47282,0.48457
754,-1.47282,0.48457
756,-1.44519,0.489631
758,-1.50315,0.481021
760,-1.46097,0.46599
762,-1.52079,0.470659
764,-1.50504,0.484841
766,-1.43596,0.484614
768,-1.54256,0.476597
770,-1.5542,0.469398
772,-1.55818,0.470546
774,-1.55818,0.470546
776,-1.54831,0.463305
778,-1.47502,0.454732
780,-1.50652,0.464232
782,-1.49058,0.478817
784,-1.44135,0.474111
786,-1.40344,0.491179
788,-1.51736,0.492109
790,-1.38456,0.5
792,-1.48351,0.494278
794,-1.44302,0.50412
796,-1.44166,0.516291
798,-1.44166,0.516291
800,-1.49162,0.509833
802,-1.49659,0.499271
804,-1.49659,0.499271
806,-1.3478,0.512516
808,-1.4683,0.500176
810,-1.41472,0.506247
812,-1.34745,0.521917
814,-1.38852,0.533826
816,-1.35551,0.532908
818,-1.37436,0.549211
820,-1.36316,0.557667
822,-1.40982,0.549294
824,-1.36943,0.543335
826,-1.33437,0.547398
