MDTU,ssplaq,stplaq
2,0.546571,0.330189
4,0.662798,0.341586
6,0.869158,0.472263
8,0.784931,0.408655
10,0.635226,0.349868
12,0.729277,0.387878
14,0.622749,0.339977
16,0.758052,0.391272
18,0.857333,0.412129
20,0.857333,0.412129
22,0.834982,0.421574
24,0.779393,0.399296
26,0.779393,0.399296
28,0.779393,0.399296
30,0.636378,0.337354
32,0.557512,0.296887
34,0.643454,0.336872
36,0.643454,0.336872
38,0.56364,0.286794
40,0.56364,0.286794
42,0.56364,0.286794
44,0.689476,0.350156
46,0.728733,0.379197
48,0.574089,0.277999
50,0.611071,0.31478
52,0.686307,0.377689
54,0.720002,0.400356
56,0.821445,0.426965
58,0.822167,0.43455
60,0.898865,0.469362
62,0.810596,0.400739
64,0.810596,0.400739
66,0.735743,0.380716
68,1.03762,0.522124
70,0.966693,0.47576
72,0.802064,0.396956
74,0.731809,0.354792
76,0.848146,0.439304
78,0.789992,0.410962
80,0.789992,0.410962
82,0.83575,0.427727
84,0.934355,0.505245
86,0.852787,0.459231
88,0.8901,0.432566
90,0.91216,0.467913
92,0.769927,0.384738
94,0.769927,0.384738
96,0.804088,0.399635
98,0.784048,0.412531
100,0.75261,0.374948
102,0.780526,0.398805
104,0.856387,0.439967
106,0.837576,0.434781
108,0.793377,0.425499
110,0.856014,0.496706
112,0.856014,0.496706
114,0.830789,0.452473
116,0.974486,0.496421
118,0.950825,0.491585
120,0.978475,0.503611
122,1.06811,0.53526
124,1.04661,0.523108
126,1.08399,0.566043
128,1.03748,0.525943
130,0.953813,0.49399
132,0.905033,0.489861
134,0.800523,0.387471
136,0.803224,0.410464
138,0.828459,0.463758
140,0.788152,0.388702
142,0.986802,0.488384
144,1.0191,0.52275
146,1.09189,0.580194
148,1.00264,0.514162
150,0.979411,0.524339
152,1.05175,0.555884
154,1.18285,0.587141
156,1.39729,0.716441
158,1.49972,0.738086
160,1.40973,0.721223
162,1.30598,0.631799
164,1.14671,0.568549
166,1.23957,0.592531
168,1.23957,0.592531
170,1.29461,0.66226
172,1.37903,0.720053
174,1.32614,0.669898
176,1.16916,0.630256
178,1.09169,0.565458
180,1.09169,0.565458
182,1.01041,0.504617
184,0.944174,0.503581
186,0.854752,0.448751
188,0.740376,0.389028
190,0.609984,0.316691
192,0.609436,0.299717
194,0.410364,0.216281
196,0.387177,0.205977
198,0.32563,0.16854
200,0.390589,0.200305
202,0.383851,0.200931
204,0.464358,0.235258
206,0.497603,0.245513
208,0.471458,0.248059
210,0.471458,0.248059
212,0.391468,0.213473
214,0.398357,0.233677
216,0.398357,0.233677
218,0.416369,0.214641
220,0.416369,0.214641
222,0.370073,0.202295
224,0.352182,0.195231
226,0.294844,0.158452
228,0.347826,0.1809
230,0.347826,0.1809
232,0.378382,0.194524
234,0.341945,0.174625
236,0.341945,0.174625
238,0.356528,0.173318
240,0.381888,0.189892
242,0.348222,0.195839
244,0.348222,0.195839
246,0.340733,0.190837
248,0.294555,0.172019
250,0.329054,0.180021
252,0.492013,0.252587
254,0.504363,0.260982
256,0.558578,0.281836
258,0.541864,0.276678
260,0.521772,0.275455
262,0.448854,0.228462
264,0.408876,0.222553
266,0.410979,0.214158
268,0.471364,0.243304
270,0.595128,0.297018
272,0.632522,0.337463
274,0.788155,0.393836
276,0.723242,0.37645
278,0.723242,0.37645
280,0.723242,0.37645
282,0.668486,0.322079
284,0.765117,0.414463
286,0.894777,0.41315
288,0.751391,0.377
290,0.761698,0.382072
292,0.82041,0.423781
294,0.596384,0.338945
296,0.596384,0.338945
298,0.726912,0.402566
300,0.628651,0.322044
302,0.755485,0.403248
304,0.686548,0.364225
306,0.516566,0.261187
308,0.563307,0.309003
310,0.541646,0.296093
312,0.543564,0.291766
314,0.549943,0.295863
316,0.51904,0.2736
318,0.5262,0.267423
320,0.5262,0.267423
322,0.540664,0.266141
324,0.55357,0.283833
326,0.558075,0.301348
328,0.612179,0.306993
330,0.557595,0.328585
332,0.624807,0.3299
334,0.624807,0.3299
336,0.660873,0.34504
338,0.610111,0.314438
340,0.595462,0.305191
342,0.66549,0.327808
344,0.860072,0.418156
346,0.810306,0.42117
348,0.810306,0.42117
350,0.702345,0.365665
352,0.585296,0.312528
354,0.591938,0.293561
356,0.44159,0.239918
358,0.543179,0.282606
360,0.57031,0.281319
362,0.521926,0.2856
364,0.627162,0.329369
366,0.613339,0.313073
368,0.677313,0.35169
