MDTU,energy
914,1.35426
916,1.38008
918,1.35375
920,1.35435
922,1.35435
924,1.35435
926,1.37038
928,1.36202
930,1.35062
932,1.32171
934,1.32171
936,1.27944
938,1.27944
940,1.35548
942,1.35548
944,1.35548
946,1.35548
948,1.37551
950,1.3069
952,1.37076
954,1.43985
956,1.43049
958,1.34315
960,1.29723
962,1.32742
964,1.37394
966,1.35301
968,1.33419
970,1.38285
972,1.34106
974,1.41776
976,1.42034
978,1.34956
980,1.33038
982,1.29903
984,1.29903
986,1.37662
988,1.30716
990,1.30716
992,1.33058
994,1.36262
996,1.36619
998,1.35168
1000,1.35168
1002,1.33501
1004,1.33501
1006,1.37439
1008,1.41029
1010,1.30309
1012,1.42815
1014,1.34258
1016,1.39013
1018,1.35059
1020,1.36505
1022,1.37001
1024,1.38657
1026,1.38657
1028,1.38657
1030,1.33462
1032,1.31279
1034,1.33754
1036,1.37853
1038,1.36077
1040,1.36971
1042,1.36971
1044,1.36971
1046,1.36869
1048,1.38685
1050,1.37517
1052,1.38955
1054,1.3153
1056,1.3153
1058,1.32449
1060,1.32449
1062,1.32449
1064,1.35217
1066,1.35217
1068,1.33779
1070,1.34218
1072,1.39899
1074,1.36582
1076,1.44272
1078,1.37312
1080,1.38442
1082,1.37224
1084,1.37224
1086,1.37224
1088,1.37224
1090,1.40617
1092,1.38382
1094,1.37518
1096,1.3435
1098,1.3435
1100,1.35616
1102,1.34773
1104,1.34773
1106,1.31908
1108,1.31908
1110,1.32208
1112,1.32152
1114,1.31264
1116,1.28556
1118,1.30901
1120,1.33714
1122,1.40316
1124,1.35922
1126,1.36194
1128,1.34104
1130,1.35249
1132,1.29104
1134,1.30144
1136,1.30144
1138,1.35043
1140,1.36421
1142,1.40616
1144,1.40929
1146,1.40929
1148,1.41919
1150,1.3744
1152,1.3744
1154,1.39687
1156,1.35414
1158,1.35541
1160,1.40927
1162,1.41237
1164,1.38456
1166,1.38456
1168,1.42918
1170,1.37069
1172,1.37353
1174,1.38776
1176,1.42391
1178,1.37411
1180,1.3856
1182,1.37983
1184,1.38305
1186,1.34811
1188,1.34811
1190,1.34811
1192,1.34811
1194,1.34811
1196,1.3452
1198,1.33938
1200,1.34403
1202,1.34203
1204,1.32016
1206,1.34053
1208,1.39142
1210,1.38457
1212,1.37852
1214,1.35573
1216,1.31947
1218,1.31947
1220,1.33461
1222,1.32356
1224,1.32575
1226,1.32575
1228,1.36254
1230,1.39324
1232,1.38998
1234,1.3087
1236,1.36775
1238,1.36481
1240,1.41204
1242,1.34662
1244,1.33331
1246,1.3353
1248,1.3353
1250,1.37965
1252,1.33347
1254,1.33347
1256,1.38653
1258,1.42115
1260,1.38587
1262,1.39034
1264,1.44065
1266,1.38224
1268,1.36639
1270,1.36396
1272,1.30281
1274,1.30281
1276,1.3617
1278,1.42403
1280,1.40086
1282,1.29099
1284,1.29099
1286,1.30837
1288,1.30837
1290,1.35108
1292,1.35108
1294,1.35108
1296,1.33203
1298,1.34837
1300,1.3603
1302,1.3094
1304,1.38599
1306,1.38599
1308,1.38599
1310,1.38599
1312,1.38599
1314,1.38599
1316,1.36996
1318,1.38006
1320,1.40436
1322,1.40436
1324,1.40436
1326,1.3013
1328,1.3013
1330,1.37144
1332,1.37571
1334,1.37877
1336,1.36773
1338,1.40307
1340,1.40307
1342,1.33963
1344,1.38251
1346,1.35279
1348,1.32378
1350,1.37385
1352,1.40053
1354,1.32247
1356,1.32247
1358,1.32247
1360,1.32247
1362,1.32594
1364,1.30215
1366,1.30215
1368,1.31034
1370,1.30148
1372,1.30148
1374,1.30148
1376,1.39494
1378,1.39014
1380,1.38081
1382,1.37321
1384,1.3488
1386,1.36394
1388,1.38325
1390,1.37991
1392,1.38257
1394,1.40253
1396,1.38129
1398,1.29624
1400,1.31952
1402,1.35641
1404,1.35641
1406,1.35641
1408,1.35641
1410,1.37309
1412,1.34432
1414,1.4368
1416,1.35725
1418,1.36582
1420,1.36582
1422,1.36582
1424,1.38154
1426,1.41208
1428,1.38719
1430,1.36952
1432,1.35131
1434,1.3503
1436,1.40577
1438,1.34156
1440,1.33262
1442,1.33262
1444,1.33262
