MDTU,min_min,min_max,max_min,max_max
248,-5.02919,-1.231,-0.0462745,0.518132
250,-5.47622,-1.64442,-0.0157732,0.473911
252,-5.40399,-1.63367,-0.0901449,0.537269
254,-5.40399,-1.63367,-0.0901449,0.537269
256,-7.68062,-1.51503,-0.0031715,0.477256
258,-5.36799,-1.68563,-0.0335735,0.501885
260,-4.72003,-1.42461,-0.17381,0.417686
262,-5.28966,-1.53708,-0.0176218,0.432149
264,-5.0451,-1.57358,-0.0832095,0.515028
266,-5.60224,-1.55851,-0.102164,0.432641
268,-5.01412,-1.47172,-0.00923243,0.431668
270,-5.5413,-1.62053,-0.0228481,0.427348
272,-5.34838,-1.51544,-0.0299867,0.408322
274,-5.34838,-1.51544,-0.0299867,0.408322
276,-5.6627,-1.67709,0.00766463,0.45737
278,-5.13607,-1.53507,-0.0353448,0.551214
280,-5.13607,-1.53507,-0.0353448,0.551214
282,-5.29943,-1.4227,-0.0514045,0.458097
284,-6.26663,-1.57287,-0.0288573,0.45888
286,-4.43152,-1.70132,0.01094,0.461621
288,-4.09508,-1.5849,-0.0973124,0.46825
290,-5.87756,-1.39924,-0.0218635,0.446397
292,-5.87756,-1.39924,-0.0218635,0.446397
294,-4.31505,-1.43696,-0.0226236,0.455964
296,-4.31505,-1.43696,-0.0226236,0.455964
298,-5.2906,-1.60116,-0.0118415,0.482217
300,-5.54858,-1.58716,-0.00506569,0.432457
302,-6.49326,-1.6521,-0.0300477,0.418565
304,-4.67285,-1.49456,-0.0140036,0.420965
306,-5.51361,-1.58661,-0.00164789,0.454143
308,-5.84983,-1.38219,-0.0232705,0.409218
310,-5.78419,-1.65578,-0.0509129,0.4756
312,-4.5679,-1.32325,-0.0272499,0.420739
314,-5.59049,-1.40308,-0.0698838,0.4299
316,-5.39851,-1.43392,-0.0537174,0.433368
318,-5.6039,-1.5945,-0.029103,0.551709
320,-5.6039,-1.5945,-0.029103,0.551709
322,-5.28517,-1.4109,-0.0878386,0.47729
324,-5.46767,-1.26177,-0.0262654,0.596366
326,-4.76405,-1.15779,-0.0630964,0.59695
328,-6.01264,-1.18351,0.00774668,0.679268
330,-5.20808,-1.27545,-0.0211667,0.564345
332,-6.36763,-1.44307,-0.0464413,0.581716
334,-6.36763,-1.44307,-0.0464413,0.581716
336,-5.02999,-1.41672,-0.00683867,0.566796
338,-5.02999,-1.41672,-0.00683867,0.566796
340,-4.7785,-1.46774,-0.0836189,0.595972
342,-5.12749,-1.48683,-0.0726614,0.506016
344,-5.51725,-1.03859,0.00584216,0.524466
346,-5.23146,-1.50689,0.0121182,0.494062
348,-5.23146,-1.50689,0.0121182,0.494062
350,-4.74723,-1.34932,-0.0393235,0.536151
