MDTU,link
940,28.5351
942,34.1377
944,37.9798
946,38.1136
948,37.3303
950,36.4122
952,32.4489
954,30.9694
956,31.4188
958,28.8128
960,28.2443
962,30.0391
964,29.1404
966,33.7614
968,33.0408
970,30.5907
972,30.5907
974,32.5206
976,34.5737
978,32.8886
980,31.2157
982,33.5806
984,31.8582
986,34.3559
988,31.4845
990,28.8477
992,26.797
994,26.8532
996,29.2362
998,25.448
1000,23.5168
1002,24.9228
1004,22.1337
1006,24.273
1008,19.542
1010,15.9791
1012,14.1341
1014,14.4867
1016,14.4867
1018,13.0136
1020,15.0755
1022,15.4225
1024,17.7311
1026,12.7464
1028,12.7464
1030,10.817
1032,10.0194
1034,10.0194
1036,11.1313
1038,9.60275
1040,8.04038
1042,9.93451
1044,8.99077
1046,10.5509
1048,10.5509
1050,8.85449
1052,8.96276
1054,9.37083
1056,8.54787
1058,8.54787
1060,8.54787
1062,8.54787
1064,8.54787
1066,8.54787
1068,8.54787
1070,8.54787
1072,8.54787
1074,8.54787
1076,8.54787
1078,9.02236
1080,8.01733
1082,8.01733
1084,8.01733
1086,8.30488
1088,8.29613
1090,8.57823
1092,6.14553
1094,5.34051
1096,4.74755
1098,7.35458
1100,6.96838
1102,7.96405
1104,6.70717
1106,7.80283
1108,6.28371
1110,4.83011
1112,4.83011
1114,4.02929
1116,5.76897
1118,5.49005
1120,5.7878
1122,5.58041
1124,6.47103
1126,5.14499
1128,3.65317
1130,3.65317
1132,5.58933
1134,4.02558
1136,4.35235
1138,3.62549
1140,4.80496
1142,3.71945
1144,3.65727
1146,3.24136
1148,4.56348
1150,4.41995
1152,5.59913
1154,5.59913
1156,5.6997
1158,4.84131
1160,5.7364
1162,5.13121
1164,5.29837
1166,4.87982
1168,4.78997
1170,5.06095
1172,4.72727
1174,4.72728
1176,4.99405
1178,4.99405
1180,6.07144
1182,6.04912
1184,6.54661
1186,5.59278
1188,5.59278
1190,5.05641
1192,5.64925
1194,5.31093
1196,6.3256
1198,6.63688
1200,4.55431
1202,4.55431
1204,4.38644
1206,4.38644
1208,3.32245
1210,2.9223
1212,2.35132
1214,1.86379
1216,1.86379
1218,2.94853
1220,2.83039
1222,2.10733
1224,1.79904
1226,1.25548
1228,0.573556
1230,0.27286
1232,0.27286
1234,0.27286
1236,0.27286
1238,0.27286
1240,0.27286
1242,0.313219
1244,0.792145
