MDTU,|det-1|^2,1-Re(det),Im(det)
450,1,1,-1.55068e-07
452,1,1,1.27744e-07
454,1,1,2.29729e-07
456,1,1,7.06996e-08
458,1,1,9.35723e-08
460,1,1,9.35723e-08
462,1,1,3.27636e-07
464,1,1,2.90777e-07
466,1,1,2.76082e-07
468,1,1,5.30665e-08
470,1,1,3.41407e-07
472,1,1,3.41407e-07
474,1,1,1.91411e-08
476,1,1,1.14101e-08
478,1,1,5.56911e-08
480,1,1,-3.45378e-07
482,1,1,3.84325e-07
484,1,1,-4.52356e-08
486,1,1,-1.81532e-07
488,1,1,3.08805e-07
490,1,1,4.73385e-07
492,1,1,4.38427e-08
494,1,1,1.21037e-07
496,0.999999,1,-1.29222e-07
498,1,1,5.19149e-08
500,1,1,2.6986e-07
502,1,1,2.36678e-07
504,1,1,-5.81696e-08
506,1,1,1.13975e-07
508,1,1,7.20531e-08
510,1,1,4.06382e-08
512,0.999999,1,-7.47344e-08
514,0.999999,1,-7.47344e-08
516,1,1,-4.0742e-08
518,1,1,-2.36547e-07
520,1,1,1.59561e-07
522,1,1,1.98477e-07
524,1,1,-2.82084e-07
526,1,1,-1.40023e-07
528,0.999999,1,-3.20155e-07
530,1,1,3.27047e-08
532,1,1,4.93855e-08
534,1,1,9.91109e-08
536,1,1,1.03454e-08
538,1,1,5.48562e-08
540,1,1,-8.10755e-08
542,1,1,-1.35876e-07
544,1,1,1.48314e-07
546,1,1,1.51461e-07
548,1,1,-6.3013e-08
550,1,1,1.39707e-07
552,1,1,-4.80387e-08
554,1,1,-1.6549e-07
556,1,1,1.37504e-08
558,1,1,-1.33098e-07
560,1,1,1.14712e-07
562,1,1,1.14712e-07
564,1,1,1.14712e-07
566,1,1,3.5795e-07
568,1,1,3.5795e-07
570,1,1,3.5795e-07
572,1,1,5.08679e-08
574,1,1,2.42862e-07
576,1,1,3.19344e-08
578,1,1,-3.30779e-08
580,1,1,-1.28375e-07
582,0.999999,1,1.22915e-07
584,1,1,-1.25732e-07
586,1,1,-1.53777e-08
588,1,1,5.33075e-08
590,1,1,-1.15847e-09
