t,e^(-dS)
448,0.972174
449,1.05267
450,0.962203
451,0.826133
452,2.53198
453,0.468837
454,0.619217
455,0.793501
456,0.397008
457,0.380679
458,0.38647
459,0.592799
460,0.945482
461,0.669784
462,0.714623
463,1.33349
464,1.24595
465,1.15743
466,0.701524
467,1.58613
468,0.645907
469,0.991316
470,1.42419
471,0.944481
472,0.848572
473,1.02217
474,1.17128
475,0.954889
476,0.803322
477,1.18081
478,0.850611
479,0.878095
480,1.08432
481,1.28788
482,0.59268
483,0.891723
484,1.20057
485,1.31311
486,0.586314
487,0.968371
488,0.878008
489,0.685093
490,1.28775
491,0.907347
492,0.74104
493,1.5247
494,0.914763
495,1.16742
496,1.14351
497,0.770512
498,0.892258
499,1.26554
500,1.15212
501,0.805091
502,0.554549
503,1.35175
504,0.674219
505,1.03094
506,1.10916
507,1.63968
508,0.783096
509,0.869184
510,0.872406
511,0.750137
512,1.41143
513,1.74875
514,0.592443
515,0.475732
516,1.12502
517,0.894402
518,0.858731
519,1.09678
520,1.0115
521,1.18994
522,1.2457
523,1.88721
524,0.376552
525,0.601758
526,0.925658
527,2.14406
528,0.946684
529,0.473928
530,0.40176
531,0.447312
532,0.318542
533,0.419413
534,0.337564
535,0.676854
536,0.447714
537,0.427458
538,0.418868
539,0.338578
540,1.13383
541,0.68963
542,0.788518
543,0.958314
544,0.771129
545,1.34058
546,0.928143
547,0.809855
548,0.983095
549,1.4473
550,0.946249
551,0.915276
552,0.728987
553,0.841138
554,1.21288
555,1.07089
556,0.903301
557,0.847555
558,1.50712
559,0.886566
560,0.891901
561,1.09403
562,0.687152
563,1.09983
564,1.49691
565,0.793343
566,0.986926
567,0.821766
568,0.911923
569,1.02333
570,1.03695
571,1.22777
572,0.868055
573,0.990555
574,0.776623
575,1.32591
576,1.04307
577,0.791678
578,0.736976
579,1.07818
580,0.924151
581,0.792154
582,1.50983
583,0.974335
584,0.986088
585,0.972427
586,1.37451
587,0.664713
588,1.07248
589,0.806058
590,0.795408
591,1.04237
592,1.03544
593,1.60593
594,0.790571
595,0.959426
596,0.67368
597,1.28364
598,0.862086
599,1.06831
600,0.984295
601,0.778567
602,0.909473
603,0.908564
604,1.27788
605,0.894491
606,1.16684
607,1.09047
608,0.868055
609,0.704195
610,0.840381
611,1.10505
612,0.754047
613,0.946665
614,1.02182
615,2.62505
616,0.390706
617,0.542319
618,0.556716
619,0.464822
620,0.45937
621,0.701805
622,1.02783
623,0.673545
624,1.11249
625,0.857872
626,0.925279
627,0.883557
628,1.23134
629,0.941463
630,1.0094
631,0.986768
632,1.27647
633,1.08886
634,0.91566
635,0.838115
636,0.681131
637,0.788912
638,0.803804
639,1.00053
640,1.32817
641,1.60208
642,0.75352
643,1.39808
644,0.812532
645,0.66878
646,0.743862
647,1.43606
648,1.02843
649,0.605319
650,0.909282
651,1.31154
652,1.04021
653,0.555493
654,0.803804
655,1.28956
656,0.915083
657,1.0118
658,0.716054
659,1.0747
660,1.44933
661,0.566998
662,1.35432
663,1.39585
664,0.48544
665,0.793898
666,1.27571
667,0.683315
668,1.33509
669,0.96547
670,1.09413
671,0.711059
672,1.4727
673,1.10938
674,0.883468
675,1.25433
676,0.799235
677,0.879765
678,1.02333
679,0.72325
680,1.31232
681,0.643071
682,0.7455
