ReTr(L),ImTr(L)
0.25414,-0.162122
0.0241694,-0.209069
0.191029,0.203165
0.071697,0.410809
-0.32646,0.0621975
0.114209,0.141739
-0.251861,0.271207
-0.131963,-0.449663
-0.187082,-0.152547
-0.0352596,0.0448723
-0.178618,0.08292
0.128909,0.111292
-0.239748,-0.0433685
0.00793095,-0.206908
0.222613,-0.155025
0.304627,-0.000319101
-0.0295281,0.00321675
0.0266107,0.0337144
0.124858,-0.0423781
-0.145353,-0.0228641
-0.123343,0.178911
-0.053093,0.0330978
-0.0302162,0.0049783
-0.086601,-0.152185
0.0837625,0.332336
-0.082609,-0.0270657
-0.152823,0.234779
-0.397386,0.421147
0.0412305,-0.248426
-0.114766,-0.32352
0.0485731,-0.188583
0.225986,0.0156224
-0.053943,0.0447729
0.049842,0.165812
0.0249185,0.07627
-0.0515785,0.118609
0.048886,0.155133
0.283967,-0.00505215
-0.137321,-0.064482
0.0347491,0.241662
0.18716,0.411681
-0.205994,0.152963
-0.1516,0.11376
-0.162578,0.0689235
-0.106326,0.148509
-0.106326,0.148509
-0.106326,0.148509
-0.104442,0.280645
0.0320037,0.189766
0.000216766,-0.0925605
0.0530465,-0.0075803
-0.183243,-0.226361
-0.158214,-0.11021
-0.189827,0.00456521
-0.130143,0.121881
-0.0243866,-0.063307
-0.055393,-0.0271771
-0.175113,0.0407298
0.156281,0.069302
-0.24824,0.240997
0.0798105,-0.0447726
0.497058,-0.038719
0.376119,-0.365704
-0.00347607,0.0908655
-0.0529195,0.205426
-0.247077,-0.198063
0.189471,0.085868
-0.049065,-0.050277
-0.0088415,-0.0664685
0.452187,0.0384678
0.00676795,0.0176582
0.00676795,0.0176582
-0.070129,0.092346
0.234551,-0.148258
-0.106631,-0.0824455
0.0922345,-0.253688
0.0922345,-0.253688
-0.111869,-0.170552
0.32241,0.141611
-0.0732745,-0.228451
0.309774,-0.0441889
-0.0777875,-0.0936145
-0.0848725,-0.205439
-0.0848725,-0.205439
-0.145571,-0.00692215
0.17099,0.0499228
-0.137969,-0.0421359
0.125307,-0.116862
0.0785,-0.0459553
0.240609,0.0583205
0.3006,-0.0494366
-0.181307,0.229768
0.364501,0.124252
0.364501,0.124252
0.096036,-0.215221
0.144298,0.0974375
-0.100908,-0.249543
-0.100908,-0.249543
-0.100908,-0.249543
-0.100908,-0.249543
-0.100908,-0.249543
-0.100908,-0.249543
-0.169775,-0.0496933
0.281149,-0.00761515
0.281149,-0.00761515
-0.0312806,-0.0446312
0.0211131,-0.279919
-0.118735,0.399954
-0.109747,-0.0219177
-0.14228,-0.100997
0.167119,0.303578
-0.085732,0.314808
0.249213,-0.0478847
-0.11228,-0.0868025
0.120993,0.0144309
0.0162996,-0.443244
0.0162996,-0.443244
0.125404,0.0572385
0.168995,0.0279039
0.000280874,0.209319
0.00375056,0.265839
-0.217453,0.024239
0.118042,0.0151079
-0.101199,-0.0747045
-0.189046,-0.0524645
-0.0667355,0.051315
0.0762925,-0.250126
-0.265176,-0.267899
-0.105457,0.214737
-0.108186,0.0108364
-0.0200906,0.131327
-0.0536385,0.0605145
0.0383332,-0.0050977
0.0444755,-0.280687
0.0683415,-0.20798
-0.0947475,0.0389378
-0.0947475,0.0389378
0.00872385,0.00584385
0.177973,0.0121928
0.091215,-0.037765
0.07557,0.0266641
0.242331,-0.350909
0.256144,0.12952
-0.201157,-0.0292197
0.215392,0.0343087
0.215392,0.0343087
0.215392,0.0343087
0.215392,0.0343087
-0.105099,0.0854235
-0.278926,-0.0632785
0.083188,-0.0103513
-0.0147264,-0.254604
0.257347,0.103272
-0.133786,-0.0592915
-0.0988515,-0.0492565
-0.0988515,-0.0492565
-0.40701,0.0544675
-0.40701,0.0544675
-0.40701,0.0544675
-0.40701,0.0544675
-0.40701,0.0544675
-0.40701,0.0544675
-0.40701,0.0544675
0.127414,0.208031
-0.178894,-0.238373
0.152645,-0.0881325
-0.279597,-0.236746
-0.211322,0.131921
-0.185203,0.153645
-0.256163,0.0254562
-0.0618735,-0.106079
0.074106,-0.238981
0.0870015,-0.00504255
0.0249544,-0.115849
-0.076213,0.0527235
-0.062766,-0.170238
0.333621,0.30037
-0.19351,0.193985
-0.333043,0.00378398
0.133316,-0.071921
0.0136878,0.22314
0.0936615,0.0111432
0.13218,-0.0248017
0.0066994,0.0173156
0.135012,0.325385
-0.075543,-0.0795605
-0.040077,0.00319057
0.140144,-0.092864
-0.134251,0.091584
0.00257399,0.021818
0.00257399,0.021818
-0.306665,0.141363
0.0128239,-0.241855
0.177254,0.183479
0.12615,-0.132761
-0.086576,0.00963525
0.246768,-0.172465
0.00384468,-0.320615
0.215996,0.0214561
0.234708,-0.154769
-0.266568,-0.112832
-0.162461,0.00855785
0.0258435,-0.388159
0.101681,0.387109
-0.553965,0.0262533
0.095236,-0.167145
0.225484,-0.17372
-0.059469,-0.108459
-0.000550225,0.0431474
0.255829,0.243713
-0.0551995,-0.053972
