t,G,F1,F2,F3
248,0.5313,0,null,null
249,0.5481,0,null,null
250,0.5442,0,null,null
251,0.5338,0,null,null
252,0.5235,0,null,null
253,0.5303,0,null,null
254,0.5673,0,null,null
255,0.5404,0,null,null
256,0.549,0,null,null
257,0.5502,0,null,null
258,0.5448,0,null,null
259,0.598,0,null,null
260,0.5163,0,null,null
261,0.5216,0,null,null
262,0.501,0,null,null
263,0.5137,0,null,null
264,0.5378,0,null,null
265,0.4852,0,null,null
266,0.5304,0,null,null
267,0.566,0,null,null
268,0.5831,0,null,null
269,0.5295,0,null,null
270,0.5326,0,null,null
271,0.5529,0,null,null
272,0.5377,0,null,null
273,0.5174,0,null,null
274,0.5308,0,null,null
275,0.5076,0,null,null
276,0.538,0,null,null
277,0.5509,0,null,null
278,0.5437,0,null,null
279,0.5884,0,null,null
280,0.5887,0,null,null
281,0.5927,0,null,null
282,0.5867,0,null,null
283,0.5722,0,null,null
284,0.5349,0,null,null
285,0.5649,0,null,null
286,0.5665,0,null,null
287,0.5793,0,null,null
288,0.5417,0,null,null
289,0.5598,0,null,null
290,0.4956,0,null,null
291,0.5665,0,null,null
292,0.5534,0,null,null
293,0.5356,0,null,null
294,0.4931,0,null,null
295,0.5247,0,null,null
296,0.5648,0,null,null
297,0.5595,0,null,null
298,0.5446,0,null,null
299,0.5165,0,null,null
300,0.5767,0,null,null
301,0.5544,0,null,null
302,0.5848,0,null,null
303,0.5397,0,null,null
304,0.5355,0,null,null
305,0.513,0,null,null
306,0.5175,0,null,null
307,0.5336,0,null,null
308,0.5098,0,null,null
309,0.5166,0,null,null
310,0.547,0,null,null
311,0.5399,0,null,null
312,0.5343,0,null,null
313,0.5291,0,null,null
314,0.5058,0,null,null
315,0.5424,0,null,null
316,0.5357,0,null,null
317,0.5047,0,null,null
318,0.5286,0,null,null
319,0.5258,0,null,null
320,0.5286,0,null,null
321,0.5166,0,null,null
322,0.5713,0,null,null
323,0.5985,0,null,null
324,0.5445,0,null,null
325,0.5547,0,null,null
326,0.5599,0,null,null
327,0.5465,0,null,null
328,0.5548,0,null,null
329,0.5439,0,null,null
330,0.5541,0,null,null
331,0.5769,0,null,null
332,0.5554,0,null,null
333,0.5211,0,null,null
334,0.5234,0,null,null
335,0.5563,0,null,null
336,0.5371,0,null,null
337,0.5169,0,null,null
338,0.5335,0,null,null
339,0.5443,0,null,null
340,0.5229,0,null,null
341,0.5279,0,null,null
342,0.526,0,null,null
343,0.5381,0,null,null
344,0.5436,0,null,null
345,0.5241,0,null,null
346,0.5209,0,null,null
347,0.5312,0,null,null
348,0.5338,0,null,null
349,0.5471,0,null,null
350,0.529,0,null,null
351,0.5188,0,null,null
352,0.5296,0,null,null
353,0.5244,0,null,null
354,0.516,0,null,null
355,0.5503,0,null,null
356,0.5549,0,null,null
357,0.5341,0,null,null
358,0.5261,0,null,null
359,0.5295,0,null,null
360,0.5233,0,null,null
361,0.5051,0,null,null
362,0.5029,0,null,null
363,0.5174,0,null,null
