MDTU,min_ave,max_ave
482,-1.08236,-0.137602
484,-1.02958,-0.189035
486,-0.892035,-0.181712
488,-0.895438,-0.11678
490,-0.956396,-0.144878
492,-1.13674,-0.210856
494,-0.956226,-0.186301
496,-1.02332,-0.175197
498,-1.00094,-0.23377
500,-1.03888,-0.15392
502,-1.13053,-0.257342
504,-1.17604,-0.290129
506,-1.1203,-0.258894
508,-1.14307,-0.345552
510,-1.16591,-0.326018
512,-1.06399,-0.282263
514,-1.06399,-0.282263
516,-1.19471,-0.312303
518,-1.26682,-0.247924
520,-1.09592,-0.225295
522,-1.12876,-0.296554
524,-1.10171,-0.316382
526,-1.14485,-0.257478
528,-1.10783,-0.276738
530,-1.18614,-0.231631
532,-1.21981,-0.351863
534,-1.20328,-0.323318
536,-1.17291,-0.334637
538,-1.09408,-0.276791
540,-1.06625,-0.299251
542,-1.2049,-0.293242
544,-1.20168,-0.28028
546,-1.22763,-0.315587
548,-1.23398,-0.311895
550,-1.01251,-0.294643
552,-1.20185,-0.304555
554,-1.13813,-0.272057
556,-1.13279,-0.285491
558,-1.14203,-0.277289
560,-1.21841,-0.237675
562,-1.21841,-0.237675
564,-1.21841,-0.237675
566,-1.14869,-0.286488
568,-1.14869,-0.286488
570,-1.14869,-0.286488
572,-1.13695,-0.284903
574,-1.04308,-0.266427
576,-1.11714,-0.282702
578,-1.2052,-0.29964
580,-1.22753,-0.315604
582,-1.14279,-0.286941
584,-1.15779,-0.295453
586,-1.33615,-0.375429
588,-1.23924,-0.343718
590,-1.13144,-0.25905
592,-1.13144,-0.25905
594,-1.15349,-0.270387
596,-1.10895,-0.264051
598,-1.36283,-0.300269
600,-1.14907,-0.332535
602,-1.06125,-0.187012
604,-1.05223,-0.305513
606,-1.14298,-0.242433
608,-1.1359,-0.350419
610,-1.11863,-0.263963
612,-1.01909,-0.304428
614,-1.2263,-0.329711
616,-1.21328,-0.365209
618,-1.20146,-0.399646
620,-1.31697,-0.34607
622,-1.12267,-0.356494
624,-1.30139,-0.354151
626,-1.20056,-0.361827
628,-1.28735,-0.365952
630,-1.08153,-0.317374
632,-1.18924,-0.291752
634,-1.09854,-0.260788
636,-0.950937,-0.297462
638,-1.04857,-0.253585
640,-1.18429,-0.33009
642,-1.2152,-0.3373
644,-1.21729,-0.341232
646,-1.13221,-0.274541
648,-1.16753,-0.316382
650,-1.11479,-0.291732
652,-1.03265,-0.231436
654,-1.11706,-0.245876
656,-1.19614,-0.258214
658,-1.18383,-0.277495
660,-1.32658,-0.310688
662,-1.1773,-0.245573
664,-1.15135,-0.170061
666,-0.976553,-0.22811
668,-0.968692,-0.241049
670,-0.921218,-0.248528
672,-1.15175,-0.22644
674,-1.0866,-0.210752
676,-0.945634,-0.207273
678,-1.01714,-0.180191
680,-1.0841,-0.150971
682,-1.0841,-0.150971
684,-1.0841,-0.150971
686,-0.975877,-0.22299
688,-1.10647,-0.16819
690,-1.01827,-0.188235
692,-1.00561,-0.187341
694,-0.927987,-0.132607
696,-1.08254,-0.184697
698,-0.931991,-0.172293
700,-1.05102,-0.190085
702,-0.991564,-0.152972
704,-1.02696,-0.170384
706,-1.08432,-0.200158
708,-1.08455,-0.216851
710,-1.18442,-0.263909
712,-0.9342,-0.182324
714,-0.949708,-0.179896
716,-0.918405,-0.197358
718,-0.937516,-0.201277
720,-0.971815,-0.165607
722,-1.13321,-0.216838
724,-1.0174,-0.17378
726,-1.07943,-0.299982
728,-1.01761,-0.244542
730,-1.18223,-0.3149
732,-1.17149,-0.365997
734,-1.17149,-0.365997
736,-1.1222,-0.293556
738,-1.03335,-0.260713
740,-1.11648,-0.301541
742,-1.14658,-0.274758
744,-1.14658,-0.274758
746,-1.20113,-0.292424
748,-1.25587,-0.29016
750,-1.08537,-0.290296
752,-1.258,-0.38278
754,-1.18534,-0.311454
756,-1.31027,-0.349316
758,-1.31027,-0.349316
760,-1.20806,-0.388026
762,-1.24663,-0.376391
764,-1.34262,-0.41999
766,-1.31259,-0.423049
768,-1.52988,-0.541088
770,-1.59264,-0.540074
772,-1.24338,-0.410227
774,-1.34042,-0.490145
776,-1.46469,-0.504437
778,-1.46469,-0.504437
780,-1.43821,-0.546633
782,-1.54477,-0.552599
784,-1.38792,-0.500263
786,-1.38792,-0.500263
788,-1.38792,-0.500263
790,-1.38792,-0.500263
792,-1.38792,-0.500263
794,-1.38792,-0.500263
796,-1.37149,-0.531476
798,-1.38168,-0.55035
800,-1.38168,-0.55035
802,-1.45113,-0.458967
804,-1.25143,-0.480662
806,-1.31066,-0.496007
808,-1.25325,-0.393275
810,-1.31299,-0.511961
812,-1.45374,-0.498528
814,-1.28657,-0.392095
816,-1.28409,-0.298768
818,-1.41027,-0.426149
820,-1.33377,-0.432063
822,-1.24145,-0.44087
824,-1.24145,-0.44087
826,-1.36301,-0.430478
828,-1.34301,-0.446285
830,-1.3039,-0.433913
832,-1.28159,-0.450476
834,-1.34642,-0.517869
836,-1.23838,-0.484271
838,-1.48524,-0.477982
840,-1.3495,-0.428499
842,-1.28633,-0.407452
844,-1.32483,-0.427239
846,-1.3738,-0.492681
848,-1.2484,-0.461178
850,-1.23609,-0.417887
852,-1.58253,-0.535005
854,-1.2706,-0.469953
856,-1.32327,-0.404634
858,-1.18493,-0.405788
860,-1.36698,-0.426058
862,-1.26839,-0.480905
864,-1.26839,-0.480905
866,-1.21931,-0.414827
868,-1.37204,-0.442984
870,-1.38846,-0.43772
872,-1.29732,-0.426703
874,-1.3059,-0.452082
876,-1.33425,-0.495102
878,-1.34378,-0.44701
880,-1.4279,-0.532758
882,-1.4279,-0.532758
884,-1.4279,-0.532758
886,-1.4279,-0.532758
888,-1.36606,-0.521068
890,-1.30581,-0.460296
892,-1.41363,-0.456162
894,-1.44398,-0.422651
896,-1.29593,-0.426874
898,-1.17814,-0.384301
900,-1.20726,-0.382784
902,-1.20726,-0.382784
904,-1.25094,-0.382057
906,-1.25094,-0.382057
908,-1.25094,-0.382057
910,-1.25094,-0.382057
912,-1.25094,-0.382057
914,-1.25094,-0.382057
916,-1.25094,-0.382057
918,-1.35365,-0.391285
920,-1.3692,-0.403419
922,-1.17875,-0.388882
924,-1.0289,-0.390196
926,-1.15383,-0.368628
928,-1.17227,-0.328023
930,-1.27938,-0.359658
932,-1.17452,-0.288598
934,-1.10158,-0.261157
936,-1.0741,-0.304773
938,-1.17339,-0.28991
940,-1.201,-0.326154
942,-1.13267,-0.291884
944,-1.2494,-0.259884
946,-1.07858,-0.286771
