MDTU,plaq,Re(det),Im(det),link
250,0.0018926,4.38421e-07,2.5502e-06,4.48621
252,0.00197476,3.48716e-07,3.5972e-07,4.99096
254,0.00201579,5.25786e-07,5.48332e-07,5.47065
256,0.00172478,1.05932e-06,1.2057e-06,6.60598
258,0.0018651,1.62804e-06,2.35163e-06,6.47264
260,0.00211623,4.22829e-07,3.72632e-07,6.41756
262,0.00132277,2.35685e-07,1.95786e-07,8.34361
264,0.00139276,1.66683e-06,2.16537e-07,7.00019
266,0.00142686,4.71431e-07,5.3426e-07,5.81732
268,0.000846944,1.83802e-07,4.77899e-07,6.03122
270,0.00120315,3.02192e-07,4.22146e-07,6.04897
272,0.00171417,2.78151e-07,3.72679e-07,5.85621
274,0.00175293,7.7019e-07,4.25731e-07,6.37848
276,0.00209825,1.15377e-06,7.99162e-07,5.14698
278,0.0018086,6.40511e-07,5.08495e-07,5.19614
280,0.00102413,3.97077e-07,1.53732e-07,4.38405
282,0.00102413,3.97077e-07,1.53732e-07,4.38405
284,0.00228559,9.38092e-07,5.56206e-07,3.4992
286,0.00173561,3.32049e-07,3.32562e-07,3.3384
288,0.00135345,6.74248e-07,3.76095e-07,2.58299
290,0.00226367,3.95755e-07,1.21624e-07,1.98091
292,0.00152806,8.16839e-07,1.7736e-06,2.12101
294,0.00117922,5.27538e-07,3.1617e-07,2.03362
296,0.00207763,2.44074e-07,7.1678e-07,2.48206
298,0.000696053,7.52085e-08,4.58791e-08,2.63639
300,0.00114494,2.642e-07,2.68909e-07,2.71028
302,0.000931285,2.59516e-07,3.49025e-07,3.61928
304,0.00146802,3.01005e-07,3.08029e-07,4.02285
306,0.00164323,9.90725e-07,8.84982e-07,5.34337
308,0.00240571,8.22168e-07,4.55902e-07,5.52971
310,0.00192463,1.65724e-06,1.09306e-06,4.84922
312,0.0023518,1.02074e-06,1.09213e-06,5.03167
314,0.0023518,1.02074e-06,1.09213e-06,5.03167
316,0.00249264,7.04745e-07,2.44309e-06,5.32324
318,0.00249264,7.04745e-07,2.44309e-06,5.32324
320,0.00128903,5.15147e-07,1.07801e-06,4.61489
322,0.00199634,2.63049e-07,5.41546e-07,4.72923
324,0.00185778,8.18298e-07,1.04213e-06,4.26079
326,0.00185778,8.18298e-07,1.04213e-06,4.26079
328,0.0017632,8.98084e-07,6.83944e-07,5.09582
