MDTU,|Tr(L)|,ReTr(L),ImTr(L)
364,0.271295,0.0203414,0.270531
366,0.109999,0.103725,-0.0366175
368,0.300008,-0.299312,0.0204139
370,0.255729,-0.0864525,-0.240673
372,0.348583,-0.0396925,-0.346316
374,0.093103,-0.07433,0.0560645
376,0.215591,-0.156651,-0.14812
378,0.215591,-0.156651,-0.14812
380,0.165117,0.052211,0.156645
382,0.139393,-0.112325,-0.082543
384,0.139393,-0.112325,-0.082543
386,0.045481,-0.0423199,0.0166598
388,0.197905,-0.035289,0.194734
390,0.272886,-0.0883025,0.258204
392,0.101522,0.091694,-0.0435773
394,0.291393,0.154285,0.247196
396,0.408889,-0.101763,-0.396023
398,0.188173,0.0397309,0.18393
400,0.0485362,-0.0485205,-0.00123327
402,0.286389,0.121646,-0.259271
404,0.546661,0.06286,-0.543035
406,0.291104,0.257998,0.134829
408,0.108798,-0.107944,0.0136032
410,0.312354,-0.29098,-0.113559
412,0.263034,-0.152617,0.214231
414,0.0758622,0.070198,0.0287632
416,0.0803292,0.00912285,-0.0798095
418,0.0984838,0.0984065,-0.00390071
420,0.111373,0.0675625,0.0885395
422,0.108869,-0.071712,-0.081914
424,0.172241,0.148514,0.087238
426,0.172241,0.148514,0.087238
428,0.28146,-0.237043,-0.151756
430,0.0911632,-0.054668,-0.072953
432,0.188521,0.150262,0.113849
434,0.189239,-0.0899125,-0.166515
436,0.226777,-0.135376,-0.181938
438,0.0719134,-0.0603475,-0.0391115
440,0.143664,-0.00894385,-0.143385
442,0.141215,-0.141143,-0.00449483
444,0.103139,0.063269,0.081454
446,0.184066,-0.150269,0.1063
448,0.0644561,-0.064433,0.00172402
450,0.212482,0.0415724,0.208375
452,0.33321,0.319304,-0.095256
454,0.110735,0.106522,0.0302549
456,0.496779,0.148321,-0.47412
458,0.0626168,0.0562415,-0.0275273
460,0.0626168,0.0562415,-0.0275273
462,0.159054,-0.065121,0.145112
464,0.350214,0.348177,-0.0377154
466,0.161562,-0.062764,-0.148872
468,0.101447,0.05567,-0.0848075
470,0.067354,0.056369,-0.0368659
472,0.067354,0.056369,-0.0368659
474,0.141054,-0.07342,0.12044
476,0.180463,0.165121,-0.0728145
478,0.281561,0.281512,-0.005231
480,0.110505,-0.0476535,-0.099702
482,0.303811,-0.265856,-0.147043
484,0.295992,-0.283313,-0.0857
486,0.321388,0.248647,0.20363
488,0.240117,0.0466985,-0.235532
490,0.24923,0.108905,-0.224177
492,0.11435,-0.113879,0.0103687
494,0.327171,0.305383,0.117397
496,0.0872855,0.038664,0.078255
498,0.157817,-0.056429,-0.147384
500,0.453977,0.393213,-0.226889
502,0.279127,-0.278106,-0.0238525
504,0.177676,-0.0483022,0.170985
506,0.159188,0.0713635,-0.142296
508,0.389631,-0.196887,0.336225
510,0.368378,0.364758,0.0515135
512,0.108029,0.0707815,0.0816105
514,0.108029,0.0707815,0.0816105
516,0.339066,-0.191651,0.279707
518,0.141446,-0.077601,-0.118258
520,0.179322,0.0184707,0.178369
522,0.120879,0.0758645,-0.0941075
524,0.132696,0.102819,-0.083883
526,0.418048,-0.0447923,-0.415641
528,0.215381,-0.0058472,0.215302
530,0.0435703,0.0431096,0.00631925
532,0.221351,-0.220863,0.0146812
534,0.264501,-0.162386,0.208786
536,0.231854,0.230268,0.0270684
538,0.356041,0.074948,-0.348063
540,0.321084,-0.206524,0.24585
542,0.0746268,0.0490447,-0.0562475
544,0.228291,0.227245,-0.0218287
546,0.208275,-0.158258,0.135399
548,0.112392,-0.0886275,0.069117
550,0.123871,0.100902,0.0718535
552,0.323544,0.285105,0.152956
554,0.361083,0.06931,-0.354369
556,0.481664,-0.112175,-0.468419
558,0.114872,0.110312,-0.0320438
560,0.162074,0.084683,-0.138191
562,0.162074,0.084683,-0.138191
564,0.162074,0.084683,-0.138191
566,0.149577,-0.0708435,-0.131737
568,0.149577,-0.0708435,-0.131737
570,0.149577,-0.0708435,-0.131737
572,0.232481,0.176001,-0.151892
574,0.372593,-0.350019,0.127719
576,0.113444,-0.050727,0.101471
578,0.167667,0.0278754,0.165334
580,0.14792,0.0637965,-0.133456
582,0.0738024,-0.0477727,-0.0562545
584,0.458523,-0.0398278,0.45679
586,0.163526,-0.0647145,-0.150176
588,0.120775,0.0496286,-0.110107
590,0.301447,0.25414,-0.162122
592,0.301447,0.25414,-0.162122
594,0.210461,0.0241694,-0.209069
596,0.278869,0.191029,0.203165
598,0.417019,0.071697,0.410809
600,0.332332,-0.32646,0.0621975
602,0.182026,0.114209,0.141739
604,0.370118,-0.251861,0.271207
606,0.468627,-0.131963,-0.449663
608,0.241392,-0.187082,-0.152547
610,0.0570681,-0.0352596,0.0448723
612,0.196926,-0.178618,0.08292
614,0.170304,0.128909,0.111292
616,0.243639,-0.239748,-0.0433685
618,0.20706,0.00793095,-0.206908
620,0.271273,0.222613,-0.155025
622,0.304628,0.304627,-0.000319101
624,0.0297028,-0.0295281,0.00321675
626,0.0429511,0.0266107,0.0337144
628,0.131854,0.124858,-0.0423781
630,0.14714,-0.145353,-0.0228641
632,0.217308,-0.123343,0.178911
634,0.0625646,-0.053093,0.0330978
636,0.0306235,-0.0302162,0.0049783
638,0.1751,-0.086601,-0.152185
640,0.342729,0.0837625,0.332336
642,0.0869299,-0.082609,-0.0270657
644,0.280136,-0.152823,0.234779
646,0.579034,-0.397386,0.421147
648,0.251825,0.0412305,-0.248426
650,0.343273,-0.114766,-0.32352
652,0.194738,0.0485731,-0.188583
654,0.226525,0.225986,0.0156224
656,0.0701032,-0.053943,0.0447729
658,0.173141,0.049842,0.165812
660,0.0802374,0.0249185,0.07627
662,0.129338,-0.0515785,0.118609
664,0.162653,0.048886,0.155133
666,0.284011,0.283967,-0.00505215
668,0.151707,-0.137321,-0.064482
670,0.244147,0.0347491,0.241662
672,0.452227,0.18716,0.411681
674,0.256576,-0.205994,0.152963
676,0.189536,-0.1516,0.11376
678,0.176584,-0.162578,0.0689235
680,0.182648,-0.106326,0.148509
682,0.182648,-0.106326,0.148509
684,0.182648,-0.106326,0.148509
686,0.29945,-0.104442,0.280645
688,0.192445,0.0320037,0.189766
690,0.0925608,0.000216766,-0.0925605
692,0.0535854,0.0530465,-0.0075803
694,0.291234,-0.183243,-0.226361
696,0.192815,-0.158214,-0.11021
698,0.189882,-0.189827,0.00456521
700,0.178304,-0.130143,0.121881
702,0.0678416,-0.0243866,-0.063307
704,0.0617007,-0.055393,-0.0271771
706,0.179787,-0.175113,0.0407298
708,0.170958,0.156281,0.069302
710,0.34598,-0.24824,0.240997
712,0.0915112,0.0798105,-0.0447726
714,0.498564,0.497058,-0.038719
716,0.524599,0.376119,-0.365704
718,0.090932,-0.00347607,0.0908655
720,0.212132,-0.0529195,0.205426
722,0.316663,-0.247077,-0.198063
724,0.208021,0.189471,0.085868
726,0.0702506,-0.049065,-0.050277
728,0.067054,-0.0088415,-0.0664685
730,0.45382,0.452187,0.0384678
732,0.0189108,0.00676795,0.0176582
734,0.0189108,0.00676795,0.0176582
736,0.115956,-0.070129,0.092346
738,0.277479,0.234551,-0.148258
740,0.134787,-0.106631,-0.0824455
742,0.269935,0.0922345,-0.253688
744,0.269935,0.0922345,-0.253688
746,0.203968,-0.111869,-0.170552
748,0.352139,0.32241,0.141611
750,0.239915,-0.0732745,-0.228451
752,0.31291,0.309774,-0.0441889
754,0.121715,-0.0777875,-0.0936145
756,0.22228,-0.0848725,-0.205439
758,0.22228,-0.0848725,-0.205439
760,0.145735,-0.145571,-0.00692215
762,0.178129,0.17099,0.0499228
764,0.14426,-0.137969,-0.0421359
766,0.171344,0.125307,-0.116862
768,0.0909623,0.0785,-0.0459553
770,0.247576,0.240609,0.0583205
772,0.304638,0.3006,-0.0494366
774,0.292687,-0.181307,0.229768
776,0.385096,0.364501,0.124252
778,0.385096,0.364501,0.124252
780,0.235676,0.096036,-0.215221
782,0.174115,0.144298,0.0974375
784,0.269173,-0.100908,-0.249543
786,0.269173,-0.100908,-0.249543
788,0.269173,-0.100908,-0.249543
790,0.269173,-0.100908,-0.249543
792,0.269173,-0.100908,-0.249543
794,0.269173,-0.100908,-0.249543
796,0.176898,-0.169775,-0.0496933
798,0.281253,0.281149,-0.00761515
800,0.281253,0.281149,-0.00761515
802,0.0545016,-0.0312806,-0.0446312
804,0.280714,0.0211131,-0.279919
806,0.417207,-0.118735,0.399954
808,0.111915,-0.109747,-0.0219177
810,0.174482,-0.14228,-0.100997
812,0.346537,0.167119,0.303578
814,0.326273,-0.085732,0.314808
816,0.253771,0.249213,-0.0478847
818,0.14192,-0.11228,-0.0868025
820,0.12185,0.120993,0.0144309
822,0.443544,0.0162996,-0.443244
824,0.443544,0.0162996,-0.443244
826,0.137849,0.125404,0.0572385
828,0.171283,0.168995,0.0279039
830,0.20932,0.000280874,0.209319
832,0.265865,0.00375056,0.265839
834,0.2188,-0.217453,0.024239
836,0.119005,0.118042,0.0151079
838,0.125786,-0.101199,-0.0747045
840,0.196191,-0.189046,-0.0524645
842,0.0841835,-0.0667355,0.051315
844,0.261503,0.0762925,-0.250126
846,0.376946,-0.265176,-0.267899
848,0.239235,-0.105457,0.214737
850,0.108727,-0.108186,0.0108364
852,0.132855,-0.0200906,0.131327
854,0.0808647,-0.0536385,0.0605145
856,0.0386707,0.0383332,-0.0050977
858,0.284189,0.0444755,-0.280687
860,0.218921,0.0683415,-0.20798
862,0.102437,-0.0947475,0.0389378
864,0.102437,-0.0947475,0.0389378
866,0.0105003,0.00872385,0.00584385
868,0.17839,0.177973,0.0121928
870,0.0987237,0.091215,-0.037765
872,0.0801361,0.07557,0.0266641
874,0.426453,0.242331,-0.350909
876,0.287029,0.256144,0.12952
878,0.203269,-0.201157,-0.0292197
880,0.218107,0.215392,0.0343087
882,0.218107,0.215392,0.0343087
884,0.218107,0.215392,0.0343087
886,0.218107,0.215392,0.0343087
888,0.135436,-0.105099,0.0854235
890,0.286014,-0.278926,-0.0632785
892,0.0838295,0.083188,-0.0103513
894,0.25503,-0.0147264,-0.254604
896,0.277295,0.257347,0.103272
898,0.146336,-0.133786,-0.0592915
900,0.110444,-0.0988515,-0.0492565
902,0.110444,-0.0988515,-0.0492565
904,0.410639,-0.40701,0.0544675
906,0.410639,-0.40701,0.0544675
908,0.410639,-0.40701,0.0544675
910,0.410639,-0.40701,0.0544675
912,0.410639,-0.40701,0.0544675
914,0.410639,-0.40701,0.0544675
916,0.410639,-0.40701,0.0544675
918,0.243949,0.127414,0.208031
920,0.298035,-0.178894,-0.238373
922,0.176261,0.152645,-0.0881325
924,0.366365,-0.279597,-0.236746
926,0.249119,-0.211322,0.131921
