MDTU,min_min,min_max,max_min,max_max
1940,-4.98423,1.76013,-2.03062,1.78802
1942,-3.94189,1.72403,-2.00731,1.78052
1944,-4.22974,1.62811,-2.0224,1.76277
1946,-4.22974,1.62811,-2.0224,1.76277
1948,-5.02196,1.63745,-1.9974,1.70379
1950,-5.02196,1.63745,-1.9974,1.70379
1952,-3.98743,1.61996,-2.14572,1.79512
1954,-3.98743,1.61996,-2.14572,1.79512
1956,-3.80982,1.6661,-2.3857,1.70214
1958,-4.22705,1.57742,-1.83939,1.6521
1960,-4.15847,1.55869,-1.76172,1.63819
1962,-4.97194,1.53901,-1.94942,1.56645
1964,-5.46203,1.47872,-1.92356,1.53679
1966,-4.48744,1.54694,-2.04859,1.58571
1968,-4.59012,1.51136,-2.03131,1.59472
1970,-3.50397,1.5401,-2.15474,1.61223
1972,-3.96342,1.3895,-2.07306,1.44081
1974,-4.62084,1.43683,-2.09435,1.51952
1976,-4.7397,1.55788,-1.8206,1.63118
1978,-3.23979,1.56953,-1.71766,1.61175
1980,-4.39506,1.57924,-1.83706,1.69708
1982,-4.36374,1.55255,-2.46103,1.64852
1984,-4.49555,1.58798,-2.09774,1.62359
1986,-4.49555,1.58798,-2.09774,1.62359
1988,-4.22067,1.63405,-2.18358,1.67858
1990,-4.38987,1.63543,-2.07382,1.67374
1992,-4.45634,1.6705,-1.92632,1.74969
1994,-3.86207,1.61421,-2.1363,1.65674
1996,-4.06136,1.60509,-2.11573,1.63116
1998,-4.92943,1.54053,-1.82612,1.59232
2000,-4.04284,1.54501,-2.01084,1.62492
