MDTU,plaq,Re(det),Im(det),link
228,0.173185,2.12501e-11,3.05903e-11,0.521833
230,0.169955,1.77091e-11,1.89488e-11,0.514383
232,0.179995,2.44198e-11,1.88915e-11,0.521003
234,0.167381,8.16713e-12,5.98235e-12,0.516345
236,0.167381,8.16713e-12,5.98235e-12,0.516345
238,0.142303,9.5869e-11,1.57454e-11,0.518307
240,0.165756,1.39021e-11,1.8416e-11,0.523716
242,0.17433,1.17566e-11,4.80929e-12,0.519435
244,0.17433,1.17566e-11,4.80929e-12,0.519435
246,0.164818,1.46954e-11,1.50244e-11,0.543905
248,0.15055,6.76484e-11,7.71969e-11,0.534518
250,0.171911,1.74672e-11,2.40616e-11,0.538534
252,0.178187,9.88135e-12,2.13223e-11,0.534121
254,0.178187,9.88135e-12,2.13223e-11,0.534121
256,0.157409,1.41346e-11,4.41334e-12,0.54011
258,0.137347,2.07847e-11,1.34871e-11,0.518687
260,0.134652,1.38662e-11,1.52501e-11,0.509459
262,0.165478,1.6934e-11,2.20214e-11,0.520069
264,0.15061,3.25188e-11,1.73206e-11,0.520843
266,0.156607,4.48928e-12,9.07096e-12,0.511432
268,0.166161,1.43947e-11,5.22388e-12,0.510263
270,0.159607,6.05866e-12,6.65495e-12,0.496685
272,0.167625,2.49518e-11,9.63051e-12,0.504635
274,0.167625,2.49518e-11,9.63051e-12,0.504635
276,0.176226,9.48044e-12,1.17637e-11,0.497281
278,0.146165,9.83858e-12,1.10881e-11,0.505262
280,0.146165,9.83858e-12,1.10881e-11,0.505262
282,0.169244,3.67386e-11,2.62324e-11,0.519539
284,0.18352,2.40856e-11,2.96844e-11,0.50911
286,0.151884,1.56911e-11,1.42381e-11,0.508317
288,0.177414,1.51154e-11,1.43913e-11,0.525761
290,0.148568,1.12476e-11,1.32364e-11,0.510444
292,0.148568,1.12476e-11,1.32364e-11,0.510444
294,0.16874,3.07961e-11,5.31516e-11,0.512798
296,0.16874,3.07961e-11,5.31516e-11,0.512798
298,0.199616,2.01302e-11,2.51676e-11,0.510332
300,0.167918,9.81378e-11,6.80922e-11,0.513316
302,0.169416,1.73874e-11,1.12571e-11,0.509927
304,0.157194,3.58211e-11,3.14098e-11,0.511195
306,0.167987,2.92199e-11,2.79789e-11,0.50216
308,0.168187,8.8289e-12,9.09093e-12,0.497714
310,0.159459,4.73069e-11,2.09674e-11,0.508108
312,0.169287,1.02872e-11,1.49729e-11,0.514984
314,0.188333,7.16926e-12,1.06603e-11,0.507032
316,0.146136,7.30698e-12,3.93225e-12,0.511379
318,0.160026,9.41501e-12,7.5645e-12,0.535104
320,0.160026,9.41501e-12,7.5645e-12,0.535104
322,0.187733,9.18762e-12,6.64208e-12,0.5388
324,0.128936,1.072e-11,9.89417e-12,0.560726
326,0.152945,1.16218e-11,7.04671e-12,0.574482
328,0.150685,8.46224e-12,1.24722e-11,0.591592
330,0.16024,6.55215e-12,7.4351e-12,0.592436
332,0.156174,6.2009e-11,5.43607e-11,0.561499
334,0.156174,6.2009e-11,5.43607e-11,0.561499
336,0.183999,1.7638e-11,1.02308e-11,0.548175
338,0.183999,1.7638e-11,1.02308e-11,0.548175
340,0.165864,7.65828e-12,8.96119e-12,0.547976
342,0.159428,7.11869e-12,1.06811e-11,0.537376
344,0.160824,5.19295e-11,1.46463e-11,0.552482
346,0.167283,5.61262e-11,1.2521e-10,0.538049
348,0.167283,5.61262e-11,1.2521e-10,0.538049
350,0.197372,3.05987e-11,2.13445e-11,0.524261
352,0.176225,4.88401e-11,2.62717e-11,0.51871
354,0.167913,1.78205e-11,1.4659e-11,0.534439
356,0.167913,1.78205e-11,1.4659e-11,0.534439
358,0.162575,2.54575e-11,1.94566e-11,0.536839
360,0.151774,9.12067e-12,1.43908e-11,0.552445
362,0.189641,2.09671e-11,1.28427e-11,0.547745
364,0.168755,6.04958e-12,6.27091e-12,0.525063
366,0.131607,2.64476e-11,4.67833e-11,0.546037
368,0.153119,9.8598e-12,8.31782e-12,0.574989
370,0.188817,1.70872e-11,2.21643e-11,0.565123
372,0.142785,5.55592e-12,3.48975e-12,0.539203
374,0.142785,5.55592e-12,3.48975e-12,0.539203
376,0.142785,5.55592e-12,3.48975e-12,0.539203
378,0.187094,5.26405e-11,1.65644e-11,0.548647
380,0.187094,5.26405e-11,1.65644e-11,0.548647
382,0.187094,5.26405e-11,1.65644e-11,0.548647
384,0.185024,1.51053e-11,9.88041e-12,0.522043
386,0.168153,1.36127e-11,7.1625e-12,0.548376
388,0.152086,7.08563e-12,9.8659e-12,0.532354
390,0.196652,1.17112e-11,5.85942e-12,0.521835
392,0.196652,1.17112e-11,5.85942e-12,0.521835
394,0.196652,1.17112e-11,5.85942e-12,0.521835
396,0.15739,1.82537e-11,1.87508e-11,0.5183
398,0.160966,3.45614e-11,1.83477e-11,0.520544
400,0.171143,1.82559e-11,8.90526e-12,0.514586
402,0.183661,2.73537e-11,2.15373e-11,0.528382
404,0.163155,1.55875e-11,9.25038e-12,0.526565
406,0.172356,1.92997e-11,9.2037e-12,0.530588
408,0.186661,1.71518e-11,2.26837e-11,0.532149
410,0.186661,1.71518e-11,2.26837e-11,0.532149
412,0.161033,1.4017e-11,1.50708e-11,0.546145
414,0.161033,1.4017e-11,1.50708e-11,0.546145
416,0.161033,1.4017e-11,1.50708e-11,0.546145
418,0.161033,1.4017e-11,1.50708e-11,0.546145
420,0.1595,3.29994e-11,4.83274e-11,0.527603
422,0.1595,3.29994e-11,4.83274e-11,0.527603
424,0.165949,1.03943e-11,1.28214e-11,0.525625
426,0.165949,1.03943e-11,1.28214e-11,0.525625
428,0.158269,1.31012e-11,1.1675e-11,0.51846
430,0.160125,8.06128e-12,6.89458e-12,0.523471
432,0.15418,7.69944e-12,1.06328e-11,0.527249
434,0.160454,1.78877e-11,1.5865e-11,0.521095
436,0.142539,1.50284e-11,1.41595e-11,0.513372
438,0.135576,6.44197e-12,4.36593e-12,0.495609
440,0.170577,2.27187e-11,1.84522e-10,0.50698
442,0.157849,1.33819e-11,1.35063e-11,0.506864
444,0.137722,1.56215e-11,1.6182e-11,0.51408
446,0.158724,2.41135e-11,2.88587e-11,0.50303
448,0.158724,2.41135e-11,2.88587e-11,0.50303
450,0.16019,8.19147e-12,6.13242e-12,0.50212
452,0.176144,4.58112e-12,5.11813e-12,0.515418
454,0.125293,1.55891e-11,2.35362e-11,0.517257
456,0.151936,1.1968e-11,6.21871e-12,0.514635
458,0.150695,1.10977e-11,1.0129e-11,0.51139
460,0.150695,1.10977e-11,1.0129e-11,0.51139
462,0.174243,1.79261e-11,1.16562e-11,0.507857
464,0.163726,1.41215e-11,2.1142e-11,0.506794
466,0.140785,1.15623e-11,2.26865e-11,0.514301
468,0.128002,2.48877e-11,8.50275e-12,0.512529
470,0.157446,1.32806e-11,1.97021e-11,0.50904
472,0.157446,1.32806e-11,1.97021e-11,0.50904
474,0.178537,5.34645e-12,5.19464e-12,0.514783
476,0.169867,1.14092e-11,1.22305e-11,0.513499
478,0.16786,7.22282e-12,5.89297e-12,0.527094
480,0.164344,4.65935e-11,3.99838e-11,0.574899
482,0.164344,4.65935e-11,3.99838e-11,0.574899
484,0.187408,1.78114e-11,2.05207e-11,0.54211
486,0.142716,1.04625e-11,1.21464e-11,0.546275
488,0.166012,1.09463e-11,2.15363e-11,0.529918
490,0.183929,1.48504e-11,2.14613e-11,0.514999
492,0.170923,7.31697e-12,9.55634e-12,0.51795
494,0.185499,1.55767e-11,2.00948e-11,0.536383
496,0.185499,1.55767e-11,2.00948e-11,0.536383
498,0.145686,1.2269e-11,1.01931e-11,0.529302
500,0.18989,2.32496e-12,3.93666e-12,0.540341
502,0.157159,6.61946e-12,3.18001e-12,0.556225
504,0.189665,1.04689e-11,8.35524e-12,0.556027
506,0.189665,1.04689e-11,8.35524e-12,0.556027
508,0.145367,9.00162e-12,1.01084e-11,0.550802
