t,e^(-dS)
457,1.61591
458,0.676448
459,0.59458
460,2.273
461,1.0255
462,0.97303
463,0.784272
464,0.944575
465,1.16311
466,1.85688
467,1.94391
468,0.463152
469,0.540965
470,0.358796
471,0.36204
472,0.478595
473,1.39906
474,0.497032
475,0.652529
476,0.904204
477,0.697049
478,2.0834
479,1.35785
480,0.849421
481,1.64115
482,0.405636
483,0.406366
484,0.459416
485,0.965663
486,0.637118
487,0.367512
488,2.07156
489,0.385505
490,1.61156
491,1.19614
492,0.434135
493,0.857529
494,1.39612
495,0.60951
496,0.745053
497,0.650639
498,1.8254
499,0.488019
500,0.944566
501,0.919082
502,0.918439
503,1.7984
504,0.676583
505,1.13202
506,1.10478
507,0.614221
508,2.20582
509,0.949272
510,0.437534
511,1.38639
512,0.731689
513,2.12782
514,1.12288
515,0.354871
516,1.72754
517,1.18353
518,1.30826
519,0.757979
520,0.678005
521,0.619712
522,1.11405
523,0.787257
524,1.17445
525,1.98496
526,0.343695
527,0.950678
528,0.703843
529,2.53882
530,1.18436
531,0.603868
532,0.790808
533,2.13507
534,0.246597
535,0.474829
536,0.187871
537,0.172907
538,0.659416
539,0.137381
540,0.817585
541,0.344039
542,0.588134
543,1.00996
544,0.44357
545,1.39571
546,0.801717
547,0.775382
548,0.822423
549,2.03135
550,0.287653
551,0.646165
552,0.715839
553,0.839373
554,0.380526
555,0.694613
556,0.350989
557,0.673882
558,0.963666
559,1.13474
560,0.959973
561,0.706593
562,0.821437
563,0.905761
564,1.38458
565,0.553386
566,1.41157
567,0.765979
568,1.40284
569,1.07675
570,0.839625
571,0.833185
572,1.80237
573,0.892793
574,1.10179
575,1.11695
576,0.226502
577,0.666443
578,0.805171
579,1.14499
580,0.326933
581,2.7456
582,0.810584
583,1.92823
584,0.827207
585,0.454662
586,1.34111
587,1.07271
588,1.21969
589,0.848148
590,0.794534
591,0.705182
592,1.25671
593,0.58234
594,0.97916
595,2.22021
596,0.254361
597,1.5909
598,0.832269
599,1.94332
600,0.26237
601,1.19602
602,1.61285
603,1.24222
604,0.883645
605,0.860364
606,1.10794
607,1.38542
608,1.4547
609,0.292585
610,0.59583
611,0.684067
612,1.06889
613,0.975671
614,0.791362
615,1.23664
616,1.06731
617,0.910228
618,0.580538
619,4.53126
620,0.306972
621,0.492185
622,1.34447
623,0.802278
624,0.9393
625,0.869532
626,0.771052
627,0.872494
628,2.63847
629,0.23457
630,0.6722
631,1.01318
632,0.921125
633,0.750137
634,0.977048
635,0.842485
636,0.996133
637,0.702437
638,0.684135
639,1.7362
640,0.54777
641,0.837194
642,2.29332
