MDTU,ssplaq,stplaq
1504,0.0620843,0.0413942
1506,0.0825656,0.0492018
1508,0.0684671,0.0476278
1510,0.0542088,0.0357327
1512,0.0818193,0.0568913
1514,0.0781328,0.048517
1516,0.0875919,0.0512545
1518,0.0833967,0.0540698
1520,0.0485694,0.0415188
1522,0.0485694,0.0415188
1524,0.0634429,0.0480454
1526,0.0624053,0.0451554
1528,0.09375,0.0581043
1530,0.102861,0.0622038
1532,0.0812659,0.0555182
1534,0.0641378,0.0391906
1536,0.0702401,0.0452463
1538,0.0565732,0.0346363
1540,0.0396218,0.0320791
1542,0.0404749,0.0290775
1544,0.0620387,0.0465084
1546,0.0961831,0.0585828
1548,0.0961831,0.0585828
1550,0.0646309,0.0473182
1552,0.0736094,0.0517564
1554,0.108629,0.0674981
1556,0.0883646,0.0607501
1558,0.0674788,0.0482649
1560,0.0556119,0.0377782
1562,0.0539095,0.0382351
1564,0.056531,0.0357831
1566,0.0304391,0.0285331
1568,0.0333051,0.0258628
1570,0.0340591,0.0292264
1572,0.0340591,0.0292264
1574,0.0341421,0.0270527
1576,0.0341421,0.0270527
1578,0.0341421,0.0270527
1580,0.0341421,0.0270527
1582,0.0334867,0.0274404
1584,0.0360492,0.0340753
1586,0.0334453,0.0334886
1588,0.0432869,0.0363452
1590,0.0270152,0.0274948
1592,0.029521,0.0272476
1594,0.0294578,0.0280004
1596,0.0341865,0.0278331
1598,0.0356067,0.0309105
1600,0.0339192,0.0322038
1602,0.0579843,0.0398346
1604,0.0614634,0.0454594
1606,0.0486369,0.0373293
1608,0.0486369,0.0373293
1610,0.0465276,0.0339541
1612,0.047146,0.0384426
1614,0.0409287,0.0414278
1616,0.0649066,0.0473686
1618,0.0557136,0.0443839
1620,0.0473324,0.0334268
1622,0.064077,0.0415797
1624,0.0460168,0.039922
1626,0.0742361,0.0484468
1628,0.0742361,0.0484468
1630,0.0828718,0.0532621
1632,0.0787188,0.0527822
1634,0.0891085,0.0563889
1636,0.122524,0.074739
1638,0.157282,0.0901273
1640,0.157282,0.0901273
1642,0.157282,0.0901273
1644,0.179641,0.105966
1646,0.190102,0.108777
1648,0.184974,0.109313
1650,0.192008,0.113196
1652,0.192008,0.113196
1654,0.188678,0.105063
1656,0.192087,0.111054
1658,0.190604,0.106878
1660,0.104219,0.0661305
1662,0.12058,0.0721662
1664,0.194494,0.104164
1666,0.194494,0.104164
1668,0.201729,0.10335
1670,0.173889,0.0959913
1672,0.196858,0.106074
1674,0.195244,0.107655
1676,0.180512,0.098307
1678,0.154586,0.082201
1680,0.17075,0.0925116
1682,0.17075,0.0925116
1684,0.150487,0.0824363
1686,0.150328,0.0931927
1688,0.150328,0.0931927
1690,0.117581,0.0734301
1692,0.140696,0.0856709
1694,0.235611,0.129588
1696,0.1826,0.106755
1698,0.14373,0.084824
1700,0.108425,0.0688562
1702,0.131737,0.07477
1704,0.124624,0.0700017
1706,0.114504,0.0679648
1708,0.144546,0.0811342
1710,0.143776,0.086773
1712,0.143776,0.086773
1714,0.127526,0.072798
1716,0.164874,0.0941396
1718,0.150754,0.0860382
1720,0.140058,0.0849331
1722,0.12776,0.069376
1724,0.0873625,0.0599299
1726,0.103443,0.0646471
1728,0.102249,0.065282
1730,0.16237,0.093876
1732,0.161967,0.0946594
1734,0.144992,0.0915899
1736,0.139933,0.0764176
1738,0.15386,0.084828
1740,0.201742,0.107107
1742,0.168094,0.0832368
1744,0.187031,0.111948
1746,0.220061,0.124413
1748,0.196262,0.108697
1750,0.185486,0.10153
1752,0.188037,0.106953
1754,0.131595,0.0784376
1756,0.111656,0.0636622
1758,0.0860139,0.0536685
1760,0.0860139,0.0536685
1762,0.0879305,0.0581497
1764,0.109466,0.0676913
1766,0.171901,0.0957457
1768,0.181665,0.107612
1770,0.181665,0.107612
1772,0.124956,0.0690377
1774,0.0885573,0.0556018
1776,0.0885573,0.0556018
1778,0.0932384,0.0557033
1780,0.137003,0.0810948
1782,0.128961,0.0744332
1784,0.0934796,0.06226
1786,0.0912288,0.0610437
1788,0.0537315,0.0407332
1790,0.0592741,0.0465146
1792,0.0757951,0.0506888
1794,0.0727042,0.0457818
1796,0.0802406,0.0598446
1798,0.108033,0.0675536
1800,0.0833338,0.0554739
1802,0.0833338,0.0554739
1804,0.0623236,0.0447442
1806,0.0860053,0.0527003
1808,0.112061,0.0610964
1810,0.0748039,0.0519127
1812,0.0791457,0.0460259
1814,0.0775426,0.0572376
1816,0.081865,0.0511661
1818,0.0927136,0.058514
1820,0.107756,0.0663305
1822,0.105897,0.070343
1824,0.105897,0.070343
1826,0.108339,0.067576
1828,0.117844,0.0648872
1830,0.0983352,0.0620269
1832,0.0979429,0.0594038
1834,0.0979429,0.0594038
1836,0.0979429,0.0594038
1838,0.106715,0.0661716
1840,0.137974,0.0815293
1842,0.16972,0.0981535
1844,0.167483,0.0912185
1846,0.167483,0.0912185
1848,0.205861,0.112138
1850,0.198826,0.11855
1852,0.243893,0.129299
1854,0.214832,0.112034
1856,0.166045,0.0963653
1858,0.166045,0.0963653
1860,0.139699,0.0810364
1862,0.145647,0.0864349
1864,0.150089,0.0855591
1866,0.0978525,0.0624801
1868,0.0978525,0.0624801
1870,0.072569,0.0446205
1872,0.072569,0.0446205
1874,0.072569,0.0446205
1876,0.072569,0.0446205
1878,0.0378985,0.0295921
1880,0.0309289,0.0317831
1882,0.0357509,0.027861
1884,0.0401812,0.0311287
1886,0.0362056,0.0319236
1888,0.0329839,0.02851
1890,0.0404014,0.037624
1892,0.0543727,0.0437386
1894,0.0798985,0.0466115
1896,0.0543272,0.0413956
1898,0.069101,0.0472292
1900,0.0985558,0.064538
1902,0.112215,0.0711638
1904,0.10043,0.0587804
1906,0.0800804,0.0519242
1908,0.0909496,0.0580098
1910,0.0642905,0.042086
1912,0.0579213,0.0410755
1914,0.102928,0.0614445
1916,0.109058,0.0708
1918,0.109058,0.0708
1920,0.0976755,0.0662206
1922,0.130446,0.0799469
1924,0.170816,0.100355
1926,0.118444,0.0681239
1928,0.128441,0.0738445
1930,0.132873,0.0722894
1932,0.158321,0.0876677
1934,0.119077,0.073174
1936,0.0896843,0.0633327
1938,0.0933992,0.0577091
1940,0.113679,0.0598954
1942,0.120299,0.0729568
1944,0.120919,0.0739532
1946,0.120919,0.0739532
1948,0.0858897,0.0586503
1950,0.0740162,0.0471758
1952,0.0740162,0.0471758
1954,0.0597061,0.0395258
1956,0.0963247,0.0587093
1958,0.0963247,0.0587093
1960,0.0963247,0.0587093
1962,0.0963247,0.0587093
1964,0.08664,0.0579131
1966,0.107787,0.0671619
1968,0.107787,0.0671619
1970,0.0876305,0.0563088
1972,0.0910939,0.0535624
1974,0.0736375,0.0495786
1976,0.0914336,0.0602926
1978,0.0914336,0.0602926
1980,0.107736,0.0605555
1982,0.0927598,0.0564981
1984,0.101473,0.0631725
1986,0.101473,0.0631725
1988,0.101473,0.0631725
1990,0.0862311,0.0550293
1992,0.0703571,0.0428803
1994,0.0713616,0.0468549
1996,0.0713616,0.0468549
1998,0.0537262,0.0406763
2000,0.0551786,0.0379678
