MDTU,min_min,min_max,max_min,max_max
2,-3.74698,0.100004,-0.127145,0.686588
4,-4.89054,0.127546,-0.227144,0.909114
6,-5.19362,0.228285,-0.227715,0.989063
8,-4.74622,0.267111,-0.508147,0.959109
10,-4.27873,0.085736,-0.317632,0.867004
12,-4.71781,0.137147,-0.317833,0.893709
14,-4.71781,0.137147,-0.317833,0.893709
16,-4.71781,0.137147,-0.317833,0.893709
18,-4.67867,0.19845,-0.280294,0.92651
20,-4.89339,0.183101,-0.279653,0.836461
22,-4.71949,0.325831,-0.448742,1.00058
24,-4.67769,0.263231,-0.351747,0.986375
26,-5.04223,0.399543,-0.293051,0.973829
28,-4.73337,0.142333,-0.366761,0.972814
30,-3.69831,0.142714,-0.283661,0.983754
32,-4.45477,0.252295,-0.308375,1.03025
34,-5.32503,0.177433,-0.367114,0.983759
36,-3.76212,0.147798,-0.358411,0.832566
38,-3.76212,0.147798,-0.358411,0.832566
40,-3.98123,0.0167677,-0.243919,0.800598
42,-4.69847,0.151141,-0.327288,0.795425
44,-3.89938,-0.13656,-0.353398,0.799775
46,-4.64455,-0.283786,-0.332484,0.711727
48,-4.52775,-0.18169,-0.308593,0.733437
50,-4.18447,0.148952,-0.214019,0.829856
52,-4.40216,-0.112477,-0.478397,0.785079
54,-5.28649,-0.0869238,-0.327072,0.763258
56,-4.3202,0.0212911,-0.362539,0.804265
58,-5.48847,-0.114697,-0.352341,0.759207
60,-4.1411,-0.22916,-0.363988,0.792577
62,-4.26442,-0.333267,-0.354138,0.803184
64,-4.23308,0.108976,-0.421699,0.933609
66,-5.69695,-0.147108,-0.329901,0.804429
68,-4.29894,-0.264728,-0.332596,0.84277
70,-5.08612,-0.247087,-0.505949,0.720291
72,-4.93184,-0.0512511,-0.349351,0.930236
74,-4.14024,0.25263,-0.373042,0.927454
76,-5.08237,0.223166,-0.326567,0.867947
78,-6.18932,0.148104,-0.485867,0.922571
80,-5.96523,0.172044,-0.360681,1.0078
82,-4.31332,0.137308,-0.336078,0.914673
84,-4.09271,0.129653,-0.281835,0.892653
86,-4.06941,0.165577,-0.36156,0.924346
88,-4.62561,0.0968853,-0.271269,0.921005
90,-4.08336,-0.0230885,-0.34544,0.795773
92,-4.02177,-0.108676,-0.341041,0.877688
94,-4.53366,-0.134245,-0.303188,0.782345
96,-4.36204,-0.270929,-0.352506,0.958366
98,-4.89435,-0.189368,-0.534097,0.757677
100,-4.15553,-0.102359,-0.412951,0.847254
102,-5.09848,0.0475883,-0.355715,0.928321
104,-3.97289,0.0634409,-0.337616,0.825158
106,-4.41902,-0.126388,-0.603887,0.851371
108,-4.30054,0.133596,-0.377272,0.756593
110,-4.52015,-0.204964,-0.241602,0.776682
112,-4.54573,-0.267526,-0.451524,0.669458
114,-3.9694,-0.0148304,-0.381491,0.767338
116,-5.69055,-0.260999,-0.370024,0.696656
118,-4.61169,-0.604949,-0.322112,0.603674
120,-4.3697,-0.574556,-0.298661,0.64085
122,-5.48202,-0.516737,-0.424654,0.68505
124,-4.93993,-0.408721,-0.296439,0.600689
126,-4.54069,-0.205903,-0.378257,0.789037
128,-7.42512,-0.767146,-0.381578,0.661754
130,-5.2708,-0.647247,-0.381213,0.698024
132,-4.24798,-0.320693,-0.506832,0.715892
134,-4.21598,-0.310056,-0.4663,0.857136
