MDTU,min_width,max_width
2,0.749569,0.161373
4,0.936878,0.272069
6,1.05238,0.28537
8,1.03451,0.301316
10,0.904443,0.281245
12,0.904915,0.292619
14,0.904915,0.292619
16,0.904915,0.292619
18,0.975565,0.310391
20,0.959142,0.296781
22,0.986868,0.32485
24,0.995049,0.319674
26,0.976613,0.304185
28,0.989206,0.33007
30,0.903625,0.326351
32,0.899769,0.32088
34,0.931983,0.300223
36,0.873479,0.306646
38,0.873479,0.306646
40,0.85011,0.252925
42,0.848433,0.263994
44,0.795915,0.252956
46,0.7503,0.215525
48,0.754866,0.21882
50,0.788607,0.226593
52,0.752722,0.233114
54,0.819775,0.23634
56,0.811224,0.243853
58,0.757554,0.237915
60,0.703994,0.246345
62,0.770421,0.234861
64,0.920803,0.260794
66,0.844314,0.241606
68,0.788735,0.247108
70,0.82515,0.245773
72,0.890736,0.249375
74,0.856598,0.285853
76,0.816058,0.268617
78,0.91711,0.289029
80,1.09557,0.310868
82,0.945627,0.325081
84,0.82373,0.274194
86,0.778689,0.279552
88,0.967808,0.309548
90,0.839483,0.252112
92,0.787852,0.254442
94,0.878476,0.233351
96,0.79202,0.243899
98,0.806784,0.239216
100,0.738672,0.253275
102,0.804693,0.240072
104,0.772117,0.255613
106,0.843085,0.256097
108,0.809984,0.250338
110,0.763127,0.193786
112,0.786458,0.202897
114,0.723554,0.238421
116,0.729235,0.202956
118,0.67769,0.167582
120,0.693452,0.195384
122,0.702895,0.20453
124,0.760517,0.173274
126,0.723309,0.20361
128,0.798944,0.169046
130,0.704531,0.188219
132,0.693994,0.207501
134,0.724111,0.247436
136,0.839959,0.232107
138,0.869151,0.257991
140,0.840851,0.256266
142,0.902123,0.283693
144,0.928766,0.308801
146,0.835791,0.247116
148,0.881124,0.243741
150,0.802917,0.216689
152,0.724742,0.20789
154,0.788976,0.192401
156,0.788976,0.192401
158,0.693839,0.209687
160,0.76876,0.215563
162,0.787968,0.240056
164,0.696194,0.230565
166,0.696194,0.230565
168,0.817932,0.240638
170,0.825693,0.255777
172,0.846623,0.266579
174,0.82428,0.272165
176,0.82428,0.272165
178,0.793847,0.251489
180,0.793847,0.251489
182,0.74028,0.231509
184,0.677178,0.203674
186,0.720546,0.194583
188,0.785796,0.237671
190,0.815471,0.226393
192,0.661767,0.216213
194,0.73807,0.197876
196,0.783891,0.198051
198,0.735998,0.225214
200,0.797433,0.200899
202,0.780983,0.217766
204,0.688244,0.208034
206,0.643955,0.187765
208,0.824579,0.207887
210,0.824579,0.207887
212,0.715092,0.226031
214,0.842325,0.240171
216,0.77134,0.219407
218,0.834466,0.230934
220,0.757117,0.220801
222,0.760762,0.267827
224,0.822996,0.239206
226,0.820775,0.242521
228,0.702319,0.223935
230,0.719562,0.201514
232,0.658706,0.190441
234,0.680559,0.189458
236,0.680559,0.189458
238,0.692945,0.225843
240,0.720488,0.239834
242,0.733762,0.22015
244,0.760237,0.214665
246,0.726029,0.197169
248,0.686916,0.176014
250,0.68162,0.176201
252,0.656217,0.172915
254,0.689209,0.167024
256,0.654589,0.18419
258,0.573202,0.165614
260,0.645904,0.169682
262,0.609542,0.169501
264,0.616341,0.156078
266,0.754922,0.185786
268,0.737335,0.188694
270,0.749856,0.182078
272,0.712189,0.200479
274,0.728467,0.221998
276,0.688736,0.21322
278,0.728386,0.203291
280,0.692978,0.187921
282,0.668696,0.175338
284,0.645634,0.19103
286,0.651798,0.177203
288,0.682455,0.188004
290,0.716507,0.19207
292,0.716507,0.19207
294,0.716507,0.19207
296,0.716507,0.19207
298,0.725503,0.186379
300,0.720742,0.187296
302,0.677659,0.185203
304,0.841081,0.191794
306,0.731178,0.211535
308,0.798672,0.232326
310,0.728958,0.198937
312,0.708685,0.208105
314,0.843301,0.205926
316,0.76923,0.209548
318,0.729054,0.205225
320,0.729054,0.205225
322,0.684349,0.187337
324,0.619383,0.217801
326,0.715931,0.188925
328,0.67196,0.175867
330,0.673439,0.18487
332,0.693889,0.203142
334,0.695694,0.203335
336,0.709902,0.183114
338,0.661193,0.198688
340,0.699588,0.191954
342,0.730135,0.196982
344,0.687119,0.193184
346,0.705558,0.198717
348,0.783414,0.216448
350,0.708097,0.193721
352,0.793172,0.230799
354,0.773729,0.224257
356,0.674215,0.222177
358,0.779942,0.231684
360,0.62499,0.174926
362,0.699058,0.207586
364,0.756969,0.210043
366,0.664658,0.200945
368,0.682579,0.204966
370,0.692407,0.214037
372,0.829181,0.222553
374,0.707009,0.216187
376,0.707009,0.216187
378,0.680164,0.200394
380,0.721998,0.181915
382,0.699142,0.218902
384,0.797363,0.250637
386,0.817748,0.223948
388,0.732052,0.238133
390,0.85711,0.223153
392,0.85711,0.223153
394,0.683095,0.204829
396,0.724659,0.219666
