MDTU,|det-1|^2,1-Re(det),Im(det)
696,0.999998,0.999999,8.7411e-07
698,0.999999,0.999999,-5.55053e-07
700,1.00001,1,2.79118e-07
702,1,1,-4.07209e-07
704,0.999997,0.999999,5.99371e-07
706,1,1,6.09212e-07
708,1,1,-3.68225e-07
710,1,1,-2.19657e-06
712,1,1,-4.22842e-07
714,1,1,-4.22842e-07
716,1,1,2.31882e-06
718,1,1,-5.55393e-07
720,0.999997,0.999999,-4.13892e-07
722,1,1,-9.50331e-08
724,1,1,-9.72499e-07
726,1,1,5.96378e-07
728,0.999999,0.999999,2.16967e-06
730,1,1,1.93009e-07
732,1,1,-5.6226e-07
734,1,1,-4.93901e-07
736,0.999996,0.999998,-1.73879e-06
738,0.999999,0.999999,-1.11493e-06
740,0.999999,1,-4.48029e-08
742,0.999997,0.999998,-1.82374e-06
744,1,1,-1.35707e-06
746,0.999999,0.999999,-9.27471e-08
748,0.999999,0.999999,-9.27471e-08
750,1,1,1.63516e-06
752,0.999999,0.999999,-4.17571e-07
754,0.999999,1,5.237e-07
756,1,1,-8.31177e-07
758,0.999994,0.999997,2.05175e-06
760,0.999999,1,-2.41194e-07
762,0.999999,0.999999,-9.52427e-08
764,0.999998,0.999999,-3.13254e-06
766,1,1,-5.20991e-07
768,0.999998,0.999999,1.06551e-06
770,1,1,-1.56941e-08
772,1,1,1.1729e-06
774,1,1,-1.43062e-06
776,1,1,-1.43062e-06
778,0.999999,0.999999,-9.92494e-07
780,0.999999,0.999999,-9.92494e-07
782,0.999998,0.999999,4.12275e-08
784,1,1,-3.07513e-08
786,0.999999,0.999999,-1.10377e-06
788,1,1,1.34046e-07
790,1,1,-2.08268e-07
792,0.999998,0.999999,-1.20351e-07
794,0.999992,0.999996,1.29498e-06
796,0.999999,1,-7.09093e-07
798,1,1,2.33118e-06
800,1,1,7.66195e-07
802,0.999997,0.999998,2.64667e-06
804,0.999997,0.999998,2.64667e-06
806,1.00001,1,1.82988e-07
808,0.999996,0.999998,-5.3893e-06
810,1,1,2.75906e-07
812,0.999999,1,-7.21073e-07
814,1,1,8.2442e-07
816,0.999998,0.999999,2.86651e-07
818,1,1,4.66017e-07
820,0.999999,0.999999,1.79587e-06
822,1,1,-7.14148e-07
824,1,1,1.46834e-06
826,0.999998,0.999999,1.15059e-06
