MDTU,plaq,Re(det),Im(det),link
2,0.404041,0.000822032,0.000661038,0.922555
4,0.155986,1.66246e-05,1.76122e-05,0.880007
6,0.142407,4.25117e-06,5.74143e-06,0.899004
8,0.158813,4.49929e-06,7.7524e-06,0.956299
10,0.14306,6.7379e-06,5.31318e-06,0.928275
12,0.127328,9.03845e-06,5.51884e-06,0.921589
14,0.127328,9.03845e-06,5.51884e-06,0.921589
16,0.127328,9.03845e-06,5.51884e-06,0.921589
18,0.147329,8.09615e-06,4.64402e-06,0.952451
20,0.155905,1.10842e-05,9.26363e-06,0.901841
22,0.115659,2.73511e-06,2.96873e-06,0.944651
24,0.118194,1.62436e-06,2.22014e-06,0.934702
26,0.163076,1.8221e-05,2.12655e-05,0.947864
28,0.164171,8.10688e-06,8.22428e-06,0.989041
30,0.143174,5.35318e-06,6.45452e-06,0.98823
32,0.140289,4.09582e-06,3.38073e-06,0.959572
34,0.18374,1.50009e-05,5.57607e-06,0.877288
36,0.145167,9.90933e-06,4.339e-06,0.8888
38,0.145167,9.90933e-06,4.339e-06,0.8888
40,0.147816,4.52654e-06,5.47844e-06,0.784927
42,0.134157,9.36058e-06,2.13286e-05,0.787057
44,0.162406,1.14439e-05,6.17239e-06,0.77561
46,0.17252,7.68444e-06,1.08261e-05,0.690768
48,0.145075,5.89208e-06,5.92001e-06,0.680312
50,0.145521,3.9892e-06,1.55081e-05,0.6827
52,0.139742,3.2657e-06,1.09767e-05,0.710945
54,0.156415,3.17785e-06,2.62442e-06,0.707448
56,0.134369,5.05341e-06,4.01635e-06,0.715697
58,0.175367,5.07771e-06,5.4138e-06,0.675013
60,0.151305,7.50286e-06,1.08835e-05,0.694934
62,0.148199,4.58432e-06,2.94065e-06,0.728611
64,0.136874,9.50445e-06,5.29904e-06,0.784137
66,0.139417,8.26829e-06,3.50625e-06,0.736552
68,0.13292,7.40899e-06,7.49898e-06,0.729298
70,0.150454,7.42645e-06,7.81766e-06,0.700973
72,0.138421,9.89493e-06,2.35687e-05,0.791769
74,0.119421,3.36314e-06,2.93086e-06,0.814169
76,0.145016,7.66016e-06,6.5222e-06,0.790737
78,0.130806,6.71838e-06,4.70015e-06,0.867451
80,0.139765,2.23721e-06,2.98391e-06,0.884556
82,0.143081,6.07081e-06,3.77599e-06,0.930703
84,0.13994,1.22941e-05,1.13294e-05,0.831518
86,0.139475,6.60833e-06,9.96808e-06,0.847951
