t,deltaS
1,-1.095
2,-0.8162
3,-0.7118
4,-0.3702
5,-0.08811
6,-0.08545
7,0.2476
8,0.3736
9,0.2004
10,0.08424
11,-0.001392
12,0.1178
13,-0.354
14,0.1243
15,-0.2493
16,0.009537
17,-0.03764
18,0.1133
19,0.1299
20,0.1057
21,-0.3572
22,0.3223
23,-0.1891
24,-0.01643
25,0.147
26,-0.03655
27,0.3479
28,-0.1444
29,-0.2142
30,0.08559
31,0.1734
32,-0.1397
33,-0.1898
34,0.1951
35,0.1326
36,-0.1375
37,0.1823
38,-0.3576
39,0.3111
40,-0.01902
41,-0.03076
42,-0.2308
43,0.4924
44,0.02667
45,0.2514
46,-0.2605
47,-0.1305
48,-0.1092
49,0.3014
50,-0.01744
51,-0.0443
52,0.5736
53,-0.3969
54,0.3468
55,-0.3048
56,0.0982
57,-0.08266
58,-0.2373
59,0.6395
60,-0.179
61,-0.02856
62,0.02047
63,-0.3936
64,0.2697
65,-0.03307
66,0.1177
67,0.1199
68,-0.02904
69,0.08298
70,-0.2234
71,-0.1481
72,0.1733
73,-0.1237
74,0.3493
75,-0.53
76,-0.04792
77,-0.09873
78,0.2579
79,-0.134
80,0.218
81,0.0445
82,-0.2544
83,0.2783
84,0.1183
85,-0.003664
86,-0.03132
87,0.1816
88,0.3754
89,-0.0592
90,0.6377
91,-0.2944
92,0.3304
93,0.2451
94,-0.07277
95,-0.1997
96,0.3639
97,-0.06157
98,0.08207
99,0.1576
100,-0.4069
101,0.1572
102,-0.119
103,-0.1446
104,0.1355
105,0.03566
106,-0.1481
107,0.1585
108,0.1152
109,-0.199
110,0.1181
111,-0.3674
112,-0.08061
113,-0.01269
114,0.12
115,-0.04231
116,-0.04717
117,0.1163
118,0.1028
119,-0.3832
120,0.2833
121,0.229
122,-0.3161
123,-0.003642
124,0.04097
125,0.00402
126,0.02639
127,-0.1615
128,-0.05229
129,0.003808
130,0.4597
131,0.1582
132,-0.185
133,0.009543
134,-0.2114
135,0.329
136,-0.344
137,0.05099
138,0.2553
139,-0.1104
140,-0.134
141,0.3552
142,-0.192
143,0.3377
144,-0.02244
145,-0.4312
146,0.547
147,0.4106
148,0.2695
149,0.1037
150,-0.0672
151,0.339
152,0.06277
153,0.08097
154,-0.1732
155,-0.4494
156,-0.1014
157,-0.3919
158,0.3388
159,-0.1903
160,0.1846
161,0.01305
162,0.3677
163,-0.2618
164,0.1929
165,0.2637
166,-0.1657
167,-0.174
168,0.005779
169,-0.05088
170,0.1166
171,-0.2355
172,0.1284
173,-0.1274
174,0.1
175,0.1589
176,0.04198
177,-0.1996
178,-0.3434
179,0.38
180,0.1418
181,-0.08575
182,-0.2456
183,0.03841
184,-0.009462
185,0.1368
186,-0.4075
187,-0.2715
188,0.3488
189,0.1399
190,-0.2352
191,0.116
192,0.1048
193,0.1035
