MDTU,min_width,max_width
532,0.978741,0.303027
534,1.0443,0.312139
536,0.975737,0.297126
538,0.995116,0.329656
540,1.14485,0.324433
542,1.09078,0.315027
544,1.12972,0.329176
546,1.02253,0.309893
548,0.967267,0.281955
550,1.02301,0.29666
552,1.04835,0.289011
554,1.03824,0.296463
556,1.08855,0.303877
558,1.04559,0.287424
560,1.04559,0.287424
562,1.04559,0.287424
564,1.04559,0.287424
566,1.04559,0.287424
568,0.985386,0.263776
570,0.936225,0.259448
572,0.941604,0.277443
574,0.952084,0.291626
576,1.07095,0.300166
578,1.07588,0.32305
580,1.07772,0.328923
582,1.0652,0.331201
584,1.07201,0.338508
586,1.07201,0.338508
588,1.02709,0.318032
590,1.07653,0.315593
592,1.06114,0.322395
594,1.07527,0.31571
596,1.0667,0.316969
598,0.93796,0.269217
600,0.97138,0.262292
602,0.936073,0.267901
604,0.936073,0.267901
606,0.936073,0.267901
608,0.903204,0.263443
610,0.997187,0.261399
612,1.00315,0.266679
614,0.960648,0.259048
616,0.960648,0.259048
618,0.837676,0.228915
620,0.908957,0.251297
622,0.843319,0.220929
624,0.76929,0.219173
626,0.847574,0.21454
628,0.966173,0.26463
630,0.975682,0.289238
632,0.975682,0.289238
634,1.01904,0.288508
636,0.961845,0.264101
638,0.990997,0.290942
640,0.939237,0.270925
642,0.939237,0.270925
644,0.973561,0.271634
646,0.94068,0.26894
648,0.94068,0.26894
650,0.94068,0.26894
652,1.0376,0.303405
654,1.00209,0.284312
656,1.02669,0.290762
658,0.940613,0.281213
660,1.02794,0.268469
662,0.960704,0.286208
664,0.916214,0.281681
666,0.920965,0.270305
668,1.01054,0.273944
670,1.01054,0.273944
672,0.986619,0.284463
674,0.985489,0.28328
676,1.00983,0.296258
678,0.97222,0.287475
680,0.97222,0.287475
682,0.96855,0.298066
684,0.989246,0.302825
686,1.08662,0.308657
688,1.12085,0.316406
690,1.12085,0.316406
692,1.09887,0.314738
694,1.09887,0.314738
696,1.09887,0.314738
698,1.09887,0.314738
700,1.09742,0.327686
702,1.09742,0.327686
704,1.09742,0.327686
706,1.08233,0.321177
708,1.10245,0.320932
710,1.10245,0.320932
712,1.13791,0.339197
714,1.08694,0.328959
716,1.03814,0.327164
718,0.99471,0.309214
720,0.99471,0.309214
722,1.03904,0.315157
724,1.03904,0.315157
726,1.08426,0.301369
728,1.11442,0.327757
730,1.17753,0.368236
732,1.17753,0.368236
734,1.16172,0.366082
736,1.35673,0.397405
738,1.29654,0.392862
740,1.17783,0.374836
742,1.24067,0.372096
744,1.24025,0.386024
746,1.20109,0.394337
748,1.20109,0.394337
750,1.24028,0.390689
752,1.18482,0.377849
754,1.18482,0.377849
756,1.15802,0.369191
758,1.18443,0.364439
760,1.13881,0.343811
762,1.18222,0.367071
764,1.09418,0.336421
766,1.25369,0.36719
768,1.25369,0.36719
770,1.25369,0.36719
772,1.25369,0.36719
774,1.25369,0.36719
776,1.25369,0.36719
778,1.26368,0.380867
780,1.23722,0.408104
782,1.27112,0.421321
784,1.31242,0.40419
786,1.11645,0.388324
788,1.29154,0.389353
790,1.21519,0.374208
792,1.20811,0.373299
794,1.16835,0.360478
796,1.05204,0.318948
798,1.17168,0.359045
800,1.17168,0.359045
802,1.14483,0.346144
804,1.14483,0.346144
806,1.16898,0.347354
808,1.06108,0.321488
810,1.1167,0.308141
812,1.16376,0.312096
814,1.06029,0.319484
816,0.965605,0.298202
818,1.03552,0.282636
820,0.9888,0.274339
822,0.905103,0.296782
824,1.07557,0.330276
826,1.08175,0.328588
828,1.03515,0.320905
830,1.16155,0.314782
832,1.04745,0.311856
834,1.04745,0.311856
836,1.06489,0.298627
838,1.06489,0.298627
840,1.01594,0.308696
842,1.01594,0.308696
844,1.01594,0.308696
846,1.03841,0.293067
848,1.08257,0.303877
850,1.08464,0.329402
852,1.00052,0.297336
854,0.972057,0.279719
856,1.05259,0.302269
858,1.05259,0.302269
860,1.08031,0.303246
862,1.01509,0.274429
864,1.0466,0.292708
866,1.0466,0.292708
868,1.00668,0.304708
870,1.00668,0.304708
872,1.00668,0.304708
874,1.17068,0.357653
876,1.17068,0.357653
878,1.15848,0.365067
880,1.20028,0.3485
882,1.16744,0.338632
884,1.14151,0.335928
886,1.14151,0.335928
888,1.04509,0.349005
890,1.22206,0.376181
892,1.22206,0.376181
894,1.20274,0.378356
896,1.20274,0.378356
898,1.20274,0.378356
900,1.24114,0.36652
902,1.14682,0.364024
904,1.14682,0.364024
906,1.14682,0.364024
908,1.22488,0.376221
910,1.19625,0.368887
912,1.09728,0.328738
914,1.29403,0.36811
916,1.1386,0.344986
918,1.1386,0.344986
920,1.09239,0.337554
922,1.15589,0.343494
924,1.1176,0.343126
926,1.07292,0.340627
928,1.11711,0.331526
930,1.09295,0.347657
932,1.05371,0.327656
934,1.22433,0.319485
936,1.04707,0.308328
938,1.01151,0.309459
940,1.06516,0.301539
942,0.979991,0.300798
944,0.979991,0.300798
946,1.0791,0.301893
948,1.08919,0.297733
950,1.05888,0.293709
952,1.05888,0.293709
954,1.17461,0.332131
956,1.18779,0.342616
958,1.10378,0.335154
960,1.12435,0.341281
962,1.12249,0.353846
964,1.16672,0.352615
966,1.18694,0.336329
968,1.18694,0.336329
970,1.13661,0.345623
972,1.13661,0.345623
974,1.28197,0.352688
976,1.13885,0.351905
978,1.16512,0.327089
980,1.09674,0.307351
982,0.994288,0.308822
984,1.1422,0.318199
986,1.15288,0.354773
988,1.08309,0.346836
990,1.08309,0.346836
992,1.13654,0.352172
994,1.19556,0.34882
996,1.03663,0.330397
998,0.987432,0.297637
1000,0.987432,0.297637
1002,1.09469,0.313956
1004,1.10923,0.337782
1006,1.10923,0.337782
1008,1.03193,0.313543
1010,0.974675,0.290406
1012,1.00582,0.287186
1014,0.952202,0.285334
1016,0.912309,0.246724
1018,0.881767,0.221068
1020,0.985881,0.260644
1022,0.915815,0.2467
1024,0.919967,0.235342
1026,0.919967,0.235342
1028,0.919967,0.235342
1030,0.887354,0.234678
1032,0.887354,0.234678
1034,0.932942,0.254817
1036,0.958985,0.272006
1038,0.930305,0.251424
1040,0.866208,0.254793
1042,0.978319,0.249393
1044,0.959112,0.262608
1046,1.03658,0.31581
1048,1.03658,0.31581
1050,1.0935,0.313307
1052,1.16634,0.33596
1054,1.09996,0.304685
1056,1.12951,0.346191
1058,1.09959,0.33538
1060,1.09959,0.33538
1062,1.20783,0.346195
1064,1.23263,0.371784
1066,1.13592,0.358131
1068,1.21801,0.345519
1070,1.20407,0.369922
1072,1.24524,0.374138
1074,1.2458,0.387634
1076,1.2458,0.387634
1078,1.30081,0.397588
1080,1.29215,0.406732
1082,1.29215,0.406732
1084,1.29215,0.406732
1086,1.3171,0.398646
1088,1.3171,0.398646
1090,1.3171,0.398646
1092,1.3171,0.398646
1094,1.3171,0.398646
1096,1.3171,0.398646
1098,1.24769,0.397217
1100,1.24769,0.397217
1102,1.31758,0.410205
1104,1.31758,0.410205
1106,1.31758,0.410205
1108,1.31758,0.410205
1110,1.31094,0.402438
1112,1.31271,0.396702
1114,1.28865,0.405699
1116,1.28699,0.398579
1118,1.30455,0.42451
1120,1.38478,0.448166
1122,1.37455,0.459052
1124,1.3748,0.463097
1126,1.38448,0.477832
1128,1.38272,0.441685
1130,1.30878,0.419414
1132,1.30878,0.419414
1134,1.35553,0.427786
1136,1.27507,0.408751
1138,1.32593,0.414765
1140,1.32593,0.414765
1142,1.24742,0.392098
1144,1.28942,0.401359
1146,1.28942,0.401359
1148,1.28942,0.401359
1150,1.31675,0.417232
1152,1.33378,0.426968
1154,1.38778,0.4547
1156,1.4084,0.428019
1158,1.38918,0.432605
1160,1.30832,0.42696
1162,1.33329,0.424333
1164,1.26191,0.433864
1166,1.26051,0.421669
1168,1.31426,0.44115
1170,1.34691,0.439361
1172,1.33226,0.431629
1174,1.33226,0.431629
1176,1.3275,0.416468
1178,1.28519,0.414789
1180,1.28519,0.414789
1182,1.24837,0.410527
1184,1.20164,0.412351
1186,1.25864,0.41368
1188,1.21539,0.415349
1190,1.21539,0.415349
1192,1.33758,0.415248
1194,1.24242,0.40394
1196,1.34291,0.423342
1198,1.34291,0.423342
1200,1.45318,0.436231
1202,1.4102,0.45631
1204,1.37752,0.451576
1206,1.43558,0.472121
1208,1.41736,0.47614
1210,1.44935,0.485203
1212,1.46596,0.491235
1214,1.42786,0.486771
