MDTU,link
2,1.11851
4,1.22084
6,1.21318
8,1.43796
10,1.61621
12,1.65546
14,1.65546
16,1.61747
18,1.45159
20,1.45159
22,1.45159
24,1.32386
26,1.32386
28,1.32386
30,1.37213
32,1.14062
34,1.13785
36,1.13785
38,1.13785
40,1.13785
42,1.23276
44,1.33191
46,1.33191
48,1.3347
50,1.40075
52,1.49191
54,1.33034
56,1.19072
58,1.09461
60,1.14081
62,1.16505
64,1.17755
66,1.13294
68,1.26631
70,1.38995
72,1.38615
74,1.1555
76,1.1555
78,1.1555
80,1.1555
82,1.04412
84,1.14529
86,1.24247
88,1.19904
90,1.41224
92,1.41224
94,1.41224
96,1.35927
98,1.20299
100,1.23122
102,1.28922
104,1.18827
106,1.10291
108,1.08011
110,1.02202
112,1.16634
114,1.29423
116,1.04512
118,1.02236
120,1.05901
122,1.00327
124,0.967806
126,0.885351
128,0.959429
130,0.843423
132,1.02103
134,1.29959
136,1.46626
138,1.59685
140,1.50091
142,1.4593
144,1.49458
146,1.73142
148,1.72989
150,1.68098
152,1.64081
154,1.78024
156,1.78024
158,1.95462
160,1.96659
162,2.31016
164,2.10368
166,2.10368
168,2.10368
170,2.00511
172,1.47627
174,1.3721
176,1.57936
178,1.54985
180,1.54985
182,1.22262
184,1.29125
186,1.42202
188,1.48645
190,1.73912
192,1.83525
194,1.54495
196,1.54495
198,1.3787
200,1.23629
202,1.38234
204,1.29191
206,1.24082
208,1.11291
210,1.11291
212,1.15038
214,1.15038
216,1.15038
218,1.15038
220,1.15038
222,1.07318
224,1.03235
226,0.981375
228,1.0632
230,0.893628
232,0.965705
234,0.965705
236,0.965705
238,1.23441
240,1.40133
242,1.20327
244,1.09386
246,1.09386
248,1.09386
250,1.13169
252,1.16022
254,1.13598
256,1.07406
258,1.13489
260,1.07982
262,0.979119
264,0.915213
266,0.9151
268,0.817836
270,0.743884
272,0.761189
274,0.867326
276,0.867326
278,0.867326
280,0.867326
282,0.897825
284,0.897825
286,0.98942
288,1.13541
290,1.13541
292,1.18421
294,1.18421
296,1.18421
298,1.20742
300,0.991127
302,1.12238
304,1.16054
306,1.0534
308,1.18527
310,1.04443
312,1.10496
314,1.10496
316,1.13631
318,1.02172
320,1.02172
322,1.02172
324,1.02172
326,1.20299
328,1.23114
330,1.02792
332,0.996885
334,0.98131
336,0.986634
338,0.84334
340,0.96452
342,0.96452
344,1.11397
346,1.08474
348,1.11355
350,1.07681
352,1.3093
354,1.3093
356,1.11931
358,1.21428
360,1.44626
362,1.44626
364,1.42225
366,1.39205
368,1.59326
370,1.59326
372,1.59326
374,1.72406
376,1.91189
378,1.91189
380,1.72571
382,1.80128
384,1.98546
386,2.08814
388,1.94046
390,1.97179
392,2.08342
394,2.23949
396,2.26096
398,2.33767
400,2.32119
402,2.32119
404,2.66627
406,2.66627
408,2.66627
410,3.04284
412,3.30639
414,3.30639
416,3.30639
418,3.442
420,3.67863
422,3.26083
424,2.75298
426,2.51406
428,2.67712
430,2.67712
432,2.54259
434,2.54259
436,2.73513
438,2.33963
440,2.34311
442,2.05094
444,1.89095
446,1.80627
448,1.85183
450,2.20563
452,2.04171
454,2.23721
456,2.17917
458,1.86998
460,1.86998
462,1.81274
464,1.87779
466,1.91643
468,2.03143
470,2.03143
472,1.71533
474,1.75474
476,1.79864
478,1.79864
480,2.06224
482,1.9664
484,1.58876
486,1.55109
488,1.89749
490,1.89552
492,1.88586
494,2.13698
496,2.13698
498,2.12437
500,2.12437
502,2.17517
504,2.17517
506,2.09215
508,2.06284
510,1.98468
512,1.83536
514,1.83536
516,2.00723
518,2.00723
520,2.19697
522,2.19697
524,2.19697
526,2.19697
528,2.19697
530,2.19697
532,2.19697
534,2.24249
536,1.99951
538,2.29021
540,2.36506
542,2.26801
544,2.39278
546,2.1251
548,1.87598
550,2.0722
552,1.80957
554,2.06256
556,2.09256
558,2.09769
560,2.09769
562,2.09769
564,2.09769
566,2.09769
568,1.78789
570,1.6362
572,1.80347
574,1.85408
576,2.2087
578,2.32941
580,2.46029
582,2.26284
584,2.43141
586,2.43141
588,2.27815
590,2.3451
592,2.43508
594,2.41921
596,2.14078
598,1.81405
600,1.58356
602,1.63618
604,1.63618
606,1.63618
608,1.602
610,1.65781
612,1.72503
614,1.55034
616,1.55034
618,1.37165
