MDTU,|det-1|^2,1-Re(det),Im(det)
2,1,1,-6.45358e-07
4,1,1,-2.58746e-08
6,1,1,8.44495e-09
8,1,1,5.22763e-09
10,1,1,-6.98368e-08
12,1,1,-3.17328e-08
14,1,1,-3.17328e-08
16,1,1,-2.55745e-08
18,1,1,3.0868e-08
20,1,1,3.0868e-08
22,1,1,3.0868e-08
24,1,1,8.5363e-08
26,1,1,8.5363e-08
28,1,1,8.5363e-08
30,1,1,2.41235e-08
32,1,1,-4.19212e-08
34,1,1,-3.07508e-09
36,1,1,-3.07508e-09
38,1,1,-3.07508e-09
40,1,1,-3.07508e-09
42,1,1,-1.33853e-07
44,1,1,2.40939e-08
46,1,1,2.40939e-08
48,1,1,4.60903e-08
50,1,1,-1.40271e-08
52,1,1,5.73479e-09
54,1,1,4.84127e-08
56,1,1,9.60311e-09
58,1,1,1.47886e-08
60,1,1,3.40174e-08
62,1,1,-4.95707e-08
64,1,1,-1.40865e-08
66,1,1,1.26344e-07
68,1,1,-1.56508e-09
70,1,1,-6.74965e-09
72,1,1,2.94967e-09
74,1,1,-8.88118e-10
76,1,1,-8.88118e-10
78,1,1,-8.88118e-10
80,1,1,-8.88118e-10
82,1,1,-3.60613e-07
84,1,1,7.40793e-08
86,1,1,3.5215e-09
88,1,1,-3.14801e-08
90,1,1,6.4097e-08
92,1,1,6.4097e-08
94,1,1,6.4097e-08
96,1,1,1.73351e-08
98,1,1,-4.26577e-08
100,1,1,3.93003e-09
102,1,1,6.46539e-08
104,1,1,-2.2511e-08
106,1,1,-3.61254e-09
108,1,1,5.35562e-08
110,1,1,-9.52011e-08
112,1,1,6.47789e-08
114,1,1,-4.9092e-09
116,1,1,-1.50031e-08
118,1,1,7.47056e-08
120,1,1,-2.27709e-09
122,1,1,-5.97536e-08
124,1,1,-4.70336e-08
126,1,1,-2.2044e-08
128,1,1,-4.13226e-08
130,1,1,1.51939e-08
132,1,1,2.9376e-08
134,1,1,1.46619e-08
136,1,1,-1.35353e-08
138,1,1,1.89686e-08
140,1,1,2.7237e-08
142,1,1,3.1175e-08
144,1,1,-3.8508e-08
146,1,1,-6.42107e-08
148,1,1,-8.1259e-08
150,1,1,-1.25754e-07
152,1,1,1.64628e-08
154,1,1,-3.0621e-09
156,1,1,-3.0621e-09
158,1,1,9.67822e-08
160,1,1,1.7538e-08
162,1,1,3.31373e-08
164,1,1,1.34321e-08
166,1,1,1.34321e-08
168,1,1,1.34321e-08
170,1,1,-1.53926e-08
172,1,1,-3.20351e-08
174,1,1,1.40557e-08
176,1,1,1.61933e-08
178,1,1,-3.45563e-08
180,1,1,-3.45563e-08
182,1,1,1.37431e-08
184,1,1,-7.87997e-08
186,1,1,4.76143e-08
188,1,1,-3.48566e-08
190,1,1,-8.35434e-08
192,1,1,-6.83903e-08
194,1,1,-1.43818e-09
196,1,1,-1.43818e-09
198,1,1,-5.7772e-08
200,1,1,-5.34203e-08
202,1,1,-2.95375e-08
