MDTU,|Tr(L)|,ReTr(L),ImTr(L)
300,0.00183861,9.98523e-05,-0.00183589
302,0.00519905,-0.00514544,0.000744688
304,0.00678332,-0.00630845,-0.00249336
306,0.000604955,0.00015867,-0.000583776
308,0.00759981,0.00173557,0.00739898
310,0.00152511,0.00146226,-0.000433318
312,0.00201965,0.00186429,-0.000776796
314,0.00201965,0.00186429,-0.000776796
316,0.00281391,-0.00167625,0.00226015
318,0.00213727,6.27547e-05,0.00213635
320,0.00213727,6.27547e-05,0.00213635
322,0.00213727,6.27547e-05,0.00213635
324,0.00213727,6.27547e-05,0.00213635
326,0.00308493,0.00303075,0.000575627
328,0.00500449,0.00198,0.00459615
330,0.000918511,0.000354817,0.000847211
332,0.00552856,-0.00478726,-0.00276534
334,0.00424881,0.0036895,0.00210712
336,0.000922403,0.000895467,0.000221286
338,0.00309904,0.00282824,0.00126692
340,0.00518233,-0.0026278,-0.00446668
342,0.00518233,-0.0026278,-0.00446668
344,0.000378355,1.4794e-07,-0.000378355
346,0.00150839,0.0014957,0.000195316
348,0.003463,-0.00278499,-0.00205819
350,0.00375094,0.000829319,-0.00365811
352,0.00303679,0.00139464,0.00269761
354,0.00303679,0.00139464,0.00269761
356,0.00324609,-0.00307751,-0.00103249
358,0.00205338,-0.00202,-0.000368773
360,0.00398348,0.000833568,0.00389528
362,0.00398348,0.000833568,0.00389528
364,0.00259742,-0.000223358,-0.0025878
366,0.00437235,0.00388591,0.00200429
368,0.00274323,0.000647385,-0.00266575
370,0.00274323,0.000647385,-0.00266575
372,0.00274323,0.000647385,-0.00266575
374,0.00308259,-0.00286343,0.00114156
376,0.00589578,-0.00536453,-0.00244582
378,0.00589578,-0.00536453,-0.00244582
380,0.00221473,-0.000228638,0.0022029
382,0.00682492,-0.00680053,0.00057644
384,0.000728553,-0.00017537,-0.000707131
386,0.00677475,0.00655346,-0.00171738
388,0.00177314,0.00175962,-0.000218549
390,0.0012401,0.00114099,0.000485798
392,0.00631208,0.00367993,0.00512841
394,0.00223837,0.00198604,0.00103245
396,0.00214939,0.00214061,-0.000194168
398,0.00522924,0.00332466,0.00403628
400,0.00130335,0.000550352,0.00118146
402,0.00130335,0.000550352,0.00118146
404,0.000670613,-1.55318e-06,0.000670611
406,0.000670613,-1.55318e-06,0.000670611
408,0.000670613,-1.55318e-06,0.000670611
410,0.00472462,-0.00452132,-0.00137102
412,0.00230843,0.0022543,0.000496957
414,0.00230843,0.0022543,0.000496957
416,0.00230843,0.0022543,0.000496957
418,0.00273982,0.00163164,0.00220099
420,0.00268243,-0.00198332,-0.00180607
422,0.00150947,-0.00136468,-0.000645092
424,0.00165865,0.000156221,-0.00165127
426,0.0015239,-3.12455e-05,0.00152358
428,0.00167312,0.00149721,0.000746783
430,0.00167312,0.00149721,0.000746783
432,0.00374509,0.0037386,-0.000220317
434,0.00374509,0.0037386,-0.000220317
436,0.00402539,-0.00359999,-0.00180106
438,0.00507884,0.00443715,0.00247109
440,0.0016788,0.00120034,0.0011737
442,0.00271637,0.00243623,-0.00120143
444,0.00390375,0.00343249,0.00185938
446,0.0039233,-0.0016774,-0.00354663
448,0.000891583,0.000859959,0.000235349
450,0.00187859,0.000244906,0.00186256
452,0.00544905,0.00543229,-0.000427005
454,0.00552296,-0.0052805,-0.00161845
456,0.00391619,-0.00203494,0.00334598
458,0.00354163,0.00277555,0.00219988
460,0.00354163,0.00277555,0.00219988
462,0.00175697,-0.000665872,0.0016259
464,0.00287004,-0.000437479,0.0028365
466,0.00422929,0.00305403,0.00292571
468,0.00579057,-0.00578809,-0.000169727
470,0.00579057,-0.00578809,-0.000169727
472,0.00177784,-0.00162115,-0.000729782
474,0.00716882,-0.00261976,0.006673
476,0.00361915,-0.00357325,0.000574519
478,0.00361915,-0.00357325,0.000574519
480,0.00282559,0.00282499,-5.82604e-05
482,0.00451325,0.00449707,-0.000381799
484,0.00271817,-0.00268065,0.000450042
486,0.00176931,-0.00167785,-0.000561486
488,0.00424024,-0.00422255,-0.000386926
490,0.00694952,-0.00170928,-0.00673603
492,0.00377111,-0.00343751,0.00155073
494,0.00585757,-0.000255068,-0.00585201
496,0.00585757,-0.000255068,-0.00585201
498,0.00731061,-0.00730393,-0.000312603
500,0.00731061,-0.00730393,-0.000312603
502,0.00231254,0.000548625,-0.00224652
504,0.00231254,0.000548625,-0.00224652
506,0.0104034,0.00729614,-0.00741593
508,0.00600091,-0.00400189,-0.00447166
510,0.00269776,-0.000245549,-0.00268656
512,0.000540237,-0.000505274,-0.000191192
514,0.000540237,-0.000505274,-0.000191192
516,0.00303868,0.002813,0.00114917
518,0.00303868,0.002813,0.00114917
520,0.00204984,0.00204631,0.000120206
522,0.00204984,0.00204631,0.000120206
524,0.00204984,0.00204631,0.000120206
526,0.00204984,0.00204631,0.000120206
528,0.00204984,0.00204631,0.000120206
530,0.00204984,0.00204631,0.000120206
532,0.00204984,0.00204631,0.000120206
534,0.0018144,-0.0008037,0.00162669
536,0.00100499,0.00056161,0.000833428
538,0.000398382,0.000255875,-0.000305345
540,0.00161407,-0.00157669,-0.000345351
542,0.00508119,0.000371421,0.0050676
544,0.00554922,0.005302,0.00163787
546,0.0015773,0.000323726,-0.00154372
548,0.00223115,0.00218996,-0.000426775
550,0.00375008,-0.00374512,-0.000192781
552,0.00261899,0.00256229,0.000542018
554,0.00161202,-0.00113986,0.00113987
556,0.00408793,-0.000562237,-0.00404908
