MDTU,plaq,Re(det),Im(det),link
2,0.211805,4.98565e-06,3.88946e-06,0.753709
4,0.186606,1.12445e-06,4.82184e-07,0.739253
6,0.178315,4.96174e-07,2.18797e-07,0.719874
8,0.135308,1.01946e-07,9.89433e-08,0.795468
10,0.141221,3.74296e-07,4.41541e-07,0.84672
12,0.17598,1.29717e-07,1.09844e-07,0.867663
14,0.17598,1.29717e-07,1.09844e-07,0.867663
16,0.160741,2.74186e-07,3.36997e-07,0.86495
18,0.157435,3.17014e-07,4.79448e-07,0.814376
20,0.157435,3.17014e-07,4.79448e-07,0.814376
22,0.157435,3.17014e-07,4.79448e-07,0.814376
24,0.188727,7.51267e-07,8.17987e-07,0.769714
26,0.188727,7.51267e-07,8.17987e-07,0.769714
28,0.188727,7.51267e-07,8.17987e-07,0.769714
30,0.190352,4.17053e-07,1.82363e-07,0.783986
32,0.181563,7.29948e-07,1.0338e-06,0.715234
34,0.158225,3.28516e-07,2.52364e-07,0.692412
36,0.158225,3.28516e-07,2.52364e-07,0.692412
38,0.158225,3.28516e-07,2.52364e-07,0.692412
40,0.158225,3.28516e-07,2.52364e-07,0.692412
42,0.163928,1.28512e-06,1.11495e-06,0.732894
44,0.158873,1.885e-07,1.52434e-07,0.774749
46,0.158873,1.885e-07,1.52434e-07,0.774749
48,0.157493,1.73028e-07,4.8733e-07,0.753755
50,0.168885,2.56974e-07,4.62596e-07,0.786128
52,0.167463,2.74324e-07,2.34252e-07,0.816884
54,0.148536,1.20704e-06,3.17683e-07,0.769443
56,0.169309,2.75677e-07,2.20225e-07,0.714675
58,0.172075,2.06281e-07,1.54308e-07,0.678423
60,0.132933,2.05074e-07,3.64311e-07,0.692424
62,0.145087,2.92014e-07,2.77806e-07,0.697631
64,0.17852,3.50969e-07,1.79701e-07,0.707804
66,0.147885,4.15909e-07,6.82739e-07,0.697595
68,0.180573,1.52192e-07,2.28443e-07,0.735087
70,0.142824,3.49694e-07,1.59871e-07,0.77985
72,0.16313,2.50618e-07,2.66466e-07,0.778148
74,0.183085,3.99652e-07,2.0608e-07,0.710147
76,0.183085,3.99652e-07,2.0608e-07,0.710147
78,0.183085,3.99652e-07,2.0608e-07,0.710147
80,0.183085,3.99652e-07,2.0608e-07,0.710147
82,0.170935,3.75638e-07,2.78074e-06,0.665823
84,0.166997,3.27411e-07,1.97967e-07,0.70591
86,0.13425,3.02606e-07,3.19698e-07,0.734957
88,0.160526,2.08627e-07,2.70281e-07,0.715989
90,0.169945,2.65533e-07,2.4194e-07,0.786905
92,0.169945,2.65533e-07,2.4194e-07,0.786905
94,0.169945,2.65533e-07,2.4194e-07,0.786905
96,0.173322,2.77617e-07,3.30393e-07,0.765798
98,0.155795,2.97041e-07,2.87561e-07,0.711951
100,0.135251,1.28969e-07,1.46953e-07,0.70863
102,0.1431,5.56292e-07,6.41989e-07,0.737906
104,0.13594,2.02125e-07,2.17734e-07,0.709561
106,0.188022,3.20405e-07,1.77014e-07,0.681346
108,0.168433,3.83831e-07,4.927e-07,0.675712
110,0.161201,4.46851e-07,4.65576e-07,0.666089
112,0.1415,9.67141e-07,5.22483e-07,0.71225
114,0.185396,1.43218e-07,2.38725e-07,0.760945
116,0.188426,2.78949e-07,1.50325e-07,0.66532
118,0.169903,4.35923e-07,5.77704e-07,0.667856
120,0.153374,1.68702e-07,8.36276e-08,0.671343
122,0.181611,2.27679e-07,3.55608e-07,0.655132
124,0.190683,5.23175e-07,4.90088e-07,0.653
