t,|deltaS|
470,0.8865
471,0.2324
472,0.01867
473,0.4273
474,0.03827
475,0.8595
476,0.3904
477,0.7414
478,0.4515
479,0.6858
480,0.02543
481,0.763
482,0.5332
483,0.5143
484,0.677
485,0.5875
486,0.6024
487,0.3471
488,0.4595
489,1.076
490,0.2172
491,0.3483
492,0.1061
493,1.446
494,1.026
495,0.6012
496,0.1472
497,0.2411
498,0.299
499,1.031
500,0.6984
501,0.575
502,0.1427
503,0.5917
504,0.3978
505,0.303
506,0.1538
507,0.3036
508,0.9106
509,0.8966
510,0.06198
511,0.6779
512,0.4467
513,1.115
514,0.5931
515,0.4355
516,0.1951
517,0.5701
518,0.2649
519,0.3775
520,0.2293
521,0.3787
522,0.09932
523,1.193
524,0.9055
525,0.5888
526,1.58
527,0.02147
528,0.7923
529,0.3978
530,0.2558
531,0.2742
532,0.4714
533,0.06191
534,0.6399
535,0.1787
536,0.04191
537,0.2284
538,0.65
539,0.1451
540,0.1266
541,0.5066
542,1.066
543,0.4876
544,1.376
545,1.103
546,0.8377
547,1.436
548,0.4445
549,0.3675
550,0.9407
551,0.9911
552,1.131
553,0.6777
554,0.9551
555,0.02102
556,0.7913
557,0.5766
558,0.3315
559,0.487
560,0.2636
561,0.7471
562,1.365
563,0.05927
564,0.3263
565,0.7086
566,0.9026
567,0.3941
568,0.1777
569,0.2349
570,0.612
571,0.6079
572,0.6409
573,0.1474
574,0.903
575,0.6459
576,0.8071
577,0.1095
578,0.04955
579,1.38
580,1.026
581,0.1963
582,0.7626
583,0.1839
584,0.3803
585,0.9195
586,0.1347
587,0.2266
588,0.1944
589,0.03398
590,1.036
591,0.2913
592,0.4167
593,0.2724
594,0.4597
595,0.4055
596,0.5937
597,0.8598
598,0.7673
599,0.8593
600,1.577
601,0.7003
602,1.047
603,0.2428
604,0.4033
605,0.8381
606,0.6021
607,0.2744
608,0.07518
609,0.6969
610,0.5567
611,2.117
612,0.9047
613,0.7592
614,0.823
615,0.6728
616,0.09591
617,0.7836
618,0.01308
619,0.4737
620,0.2486
621,0.1613
622,0.1065
623,0.6662
624,0.4293
625,0.711
626,0.6001
627,0.7443
628,0.6502
629,0.3201
630,0.5159
631,0.09408
632,0.1763
633,0.6872
634,0.8515
635,0.6503
636,0.9322
637,0.6668
638,0.7162
639,1.356
640,0.1451
641,1.838
642,0.1126
643,1.153
644,1.51
645,0.03414
646,1.672
647,0.3674
648,1.214
649,0.377
650,0.6414
651,0.5841
652,1.006
653,0.6572
654,0.2028
655,0.2251
656,0.1866
657,0.3777
658,0.3681
659,1.075
660,0.6118
661,0.6408
662,0.6372
663,0.06972
664,0.06658
665,1.067
666,0.1179
667,0.08548
668,1.706
669,1.51
670,0.4261
671,1.088
672,0.657
673,0.8425
674,0.6274
675,0.8468
676,0.1289
677,0.4262
678,0.2444
679,0.6245
680,1.189
681,0.8741
682,0.8683
683,1.117
684,0.9807
685,0.314
686,0.5668
687,0.2733
688,1.43
689,0.8034
690,1.107
691,0.6119
692,0.1191
