MDTU,plaq,Re(det),Im(det),link
1,0,0,0,1
2,0,0,0,1
3,0,0,0,1
4,0,0,0,1
5,0,0,0,1
6,0,0,0,1
7,0,0,0,1
8,0,0,0,1
9,0,0,0,1
10,0,0,0,1
11,0,0,0,1
12,0,0,0,1
13,0,0,0,1
14,0,0,0,1
15,0,0,0,1
16,0,0,0,1
17,0,0,0,1
18,0,0,0,1
19,0,0,0,1
20,0,0,0,1
21,0,0,0,1
22,0,0,0,1
23,0,0,0,1
24,0,0,0,1
25,0,0,0,1
26,0,0,0,1
27,0,0,0,1
28,0,0,0,1
29,0,0,0,1
30,0,0,0,1
31,0,0,0,1
32,0,0,0,1
33,0,0,0,1
34,0,0,0,1
35,0,0,0,1
36,0,0,0,1
37,0,0,0,1
38,0,0,0,1
39,0,0,0,1
40,0,0,0,1
41,0,0,0,1
42,0,0,0,1
43,0,0,0,1
44,0,0,0,1
45,0,0,0,1
46,0,0,0,1
47,0,0,0,1
48,0,0,0,1
49,0,0,0,1
50,0,0,0,1
51,0,0,0,1
52,0,0,0,1
53,0,0,0,1
54,0,0,0,1
55,0,0,0,1
56,0,0,0,1
57,0,0,0,1
58,0,0,0,1
59,0,0,0,1
60,0,0,0,1
61,0,0,0,1
62,0,0,0,1
63,0,0,0,1
64,0,0,0,1
65,0,0,0,1
66,0,0,0,1
67,0,0,0,1
68,0,0,0,1
69,0,0,0,1
70,0,0,0,1
71,0,0,0,1
72,0,0,0,1
73,0,0,0,1
74,0,0,0,1
75,0,0,0,1
76,0.0216719,3.15504e-08,3.49016e-08,0.540876
77,0.00761437,3.47589e-11,2.26603e-11,0.513644
78,0.00369696,9.94345e-13,1.70214e-12,0.560333
79,0.00283558,9.11346e-13,9.55731e-13,0.567715
80,0.0029774,4.87461e-13,8.99097e-13,0.652901
81,0.00228162,2.78655e-13,3.23671e-13,0.657158
82,0.00234018,3.77432e-13,2.92732e-13,0.648732
83,0.00232093,4.39369e-13,6.47536e-13,0.640751
84,0.00232775,2.37621e-13,2.09251e-13,0.742584
85,0.00234921,5.07821e-13,4.84476e-13,0.804326
86,0.00237241,4.11889e-13,2.09936e-13,0.856899
87,0.00194937,5.50497e-13,4.27846e-13,0.858132
88,0.00261357,2.61798e-13,2.0166e-13,0.882107
89,0.00234282,2.08496e-13,1.55065e-13,0.855893
90,0.00222713,6.77228e-13,7.8319e-13,0.877862
91,0.00196929,4.37909e-13,2.77554e-13,0.823901
92,0.00243776,3.06128e-13,1.58716e-13,0.786047
93,0.00220125,3.40673e-13,2.34737e-13,0.793707
94,0.00241444,2.34519e-13,2.32188e-13,0.854174
95,0.00262441,1.22533e-12,4.72112e-13,0.863537
96,0.00238066,3.26851e-13,4.24015e-13,0.836376
97,0.00272682,3.70377e-13,5.59641e-13,0.825206
98,0.0026104,4.61785e-13,7.81736e-13,0.824596
99,0.00256335,3.58074e-13,3.76071e-13,0.856228
100,0.00225727,7.91806e-13,6.99112e-13,0.866008
101,0.00228489,4.8854e-13,1.09453e-12,0.86319
102,0.00232225,3.71676e-13,3.83422e-13,0.824601
103,0.00256006,4.75197e-13,4.63779e-13,0.759922
104,0.00248645,5.78425e-13,4.67657e-13,0.745815
105,0.00183561,3.2892e-13,2.75634e-13,0.761498
106,0.00262508,6.23467e-13,8.03052e-13,0.766283
107,0.00249884,2.34206e-13,2.86897e-13,0.795095
108,0.00205415,2.17532e-13,2.10977e-13,0.756566
109,0.0022435,4.78967e-13,4.26354e-13,0.801522
110,0.00216378,4.02199e-13,4.2626e-13,0.781978
111,0.00206924,7.81293e-13,5.72042e-13,0.834576
112,0.00302285,4.5934e-13,6.01207e-13,0.803117
113,0.00203813,4.31606e-13,5.29965e-13,0.796191
114,0.00219784,9.93405e-13,5.02399e-13,0.739311
115,0.00195453,6.71717e-13,6.52509e-13,0.751906
116,0.00197082,3.58321e-13,3.04507e-13,0.67357
117,0.00290119,7.88786e-13,8.17519e-13,0.760124
118,0.00206982,5.27639e-13,1.5304e-12,0.840228
119,0.00197488,4.55428e-13,6.85975e-13,0.886929
120,0.00273514,3.37457e-13,3.51698e-13,0.924978
121,0.00267924,3.91752e-13,3.46384e-13,0.893543
122,0.00293537,1.381e-12,3.67796e-13,0.947983
123,0.00245515,7.13553e-13,5.10519e-13,0.874318
124,0.00197935,6.77667e-13,4.35437e-13,0.832431
125,0.0023029,3.48297e-13,6.44908e-13,0.775464
126,0.00183888,4.99816e-13,2.4007e-13,0.747672
127,0.00219894,2.62663e-13,2.98087e-13,0.802895
128,0.00277561,6.03104e-13,7.13079e-13,0.844762
129,0.00262854,3.87013e-13,4.42845e-13,0.831457
130,0.00204288,3.36602e-13,2.54923e-13,0.891204
131,0.00271328,3.94076e-13,9.89583e-13,0.88748
132,0.00245379,6.2488e-13,9.30231e-13,0.797671
133,0.00239765,3.32613e-13,5.57387e-13,0.848285
134,0.00195678,4.15965e-13,3.68597e-13,0.837884
135,0.00280549,4.46845e-13,4.58681e-13,0.888649
136,0.00264957,5.56467e-13,5.52049e-13,1.01332
137,0.00223189,4.53907e-13,5.06289e-13,1.00158
138,0.0026593,5.84748e-13,3.97324e-13,1.03021
139,0.00192386,3.79999e-13,6.099e-13,1.01903
140,0.00242136,1.48095e-12,1.08631e-12,0.94646
141,0.00253056,4.95351e-13,2.73545e-12,0.907671
142,0.00248161,7.14232e-13,4.67175e-13,0.87858
143,0.0024915,7.86772e-13,5.56454e-13,0.86427
144,0.00299214,2.80152e-13,5.31002e-13,0.837793
145,0.00231459,1.82011e-12,3.63648e-13,0.840583
146,0.00255526,2.91403e-13,3.66003e-13,0.867983
147,0.00253908,3.15376e-13,2.48912e-13,0.929042
148,0.00191969,9.54505e-13,4.54624e-13,0.917168
149,0.00257217,5.94757e-13,6.44553e-13,0.933153
150,0.0022766,4.48435e-13,3.89885e-13,0.870532
151,0.00230163,6.21208e-13,5.06218e-13,0.849538
152,0.00198062,1.60832e-13,2.0518e-13,0.854391
153,0.00229249,2.95654e-13,3.38123e-13,0.889359
154,0.00215729,4.00693e-13,5.08833e-13,0.854728
155,0.00206118,6.46213e-13,6.38522e-13,0.856274
156,0.00221215,3.14747e-13,2.91646e-13,0.912716
157,0.00290067,5.14282e-13,6.74145e-13,0.855588
158,0.00237059,3.03846e-13,3.60233e-13,0.785815
159,0.00283713,5.94784e-13,3.83862e-13,0.75787
160,0.00238337,6.0511e-13,2.55549e-13,0.780611
161,0.00193737,5.64698e-13,2.95834e-13,0.790486
162,0.00195337,3.63813e-13,4.27866e-13,0.791735
163,0.00187058,2.76567e-13,4.76477e-13,0.781719
164,0.00225992,4.01235e-13,4.79215e-13,0.725472
165,0.00220264,2.30477e-13,2.46636e-13,0.703032
166,0.00292614,2.94358e-13,2.94574e-13,0.665969
167,0.00258893,8.76156e-13,5.17626e-13,0.653142
168,0.00273829,4.78761e-13,4.05474e-13,0.681264
169,0.00260508,3.70333e-13,3.24712e-13,0.674826
