MDTU,energy
1,192
2,192
3,192
4,192
5,192
6,192
7,192
8,192
9,192
10,192
11,192
12,192
13,192
14,192
15,192
16,192
17,192
18,192
19,192
20,192
21,192
22,192
23,192
24,192
25,192
26,192
27,192
28,192
29,192
30,192
31,192
32,192
33,192
34,192
35,192
36,192
37,192
38,192
39,192
40,192
41,192
42,192
43,192
44,192
45,192
46,192
47,192
48,192
49,192
50,192
51,192
52,192
53,192
54,192
55,192
56,192
57,192
58,192
59,192
60,192
61,192
62,192
63,192
64,192
65,192
66,192
67,192
68,192
69,192
70,192
71,192
72,192
73,192
74,192
75,192
76,48.5512
77,62.663
78,76.8787
79,82.5611
80,85.1234
81,85.4621
82,84.5474
83,89.4681
84,87.7826
85,88.128
86,88.9731
87,92.4053
88,84.2916
89,83.7867
90,87.7312
91,84.9048
92,82.3401
93,86.3706
94,84.9524
95,94.8948
96,88.8598
97,86.0799
98,87.3795
99,89.867
100,87.492
101,84.7782
102,88.1624
103,85.1477
104,86.9355
105,88.4519
106,88.046
107,90.4408
108,88.5007
109,92.8496
110,88.841
111,86.1928
112,85.502
113,81.3386
114,88.9907
115,87.7445
116,82.5687
117,88.5622
118,88.6405
119,87.1824
120,82.8812
121,85.1424
122,84.1216
123,86.5519
124,91.1446
125,87.1362
126,95.8735
127,85.7943
128,84.1661
129,88.2069
130,82.1183
131,90.7967
132,79.2925
133,84.1482
134,87.3036
135,81.3674
136,78.849
137,86.4297
138,83.176
139,87.2089
140,85.139
141,92.3671
142,87.5439
143,90.7882
144,78.9883
145,88.5917
146,87.5675
147,86.3065
148,93.1739
149,86.7848
150,87.3293
151,84.2024
152,91.5487
153,89.2549
154,88.6539
155,81.6194
156,86.8985
157,79.5612
158,87.1618
159,87.0066
160,91.4029
161,80.2921
162,91.458
163,99.7991
164,89.7325
165,85.9571
166,88.6261
167,89.7824
168,90.355
169,92.4721
170,88.3724
171,86.149
172,88.2163
173,86.8748
174,82.623
175,82.7819
176,91.6615
177,85.4852
178,89.6721
179,91.9636
180,89.6498
181,85.6097
182,89.1141
183,81.9799
184,86.1318
185,93.1725
186,88.3869
187,89.5835
188,93.9091
189,88.0755
190,84.4773
191,86.0377
192,89.5561
193,90.3829
194,80.8363
195,90.9612
196,84.8478
197,85.9417
198,89.8146
199,96.1342
200,92.0967
201,88.3381
202,84.6417
203,84.4314
204,89.0269
205,85.3418
206,90.2523
207,83.6117
208,88.0616
209,87.7073
210,86.3671
211,84.9252
212,90.4454
213,87.0004
214,88.3664
215,90.9169
216,87.1005
217,88.3768
218,89.4189
219,88.6
220,85.7191
221,85.1687
222,85.2113
223,85.1302
224,82.4479
225,87.2567
226,87.2556
227,82.4424
228,83.9283
229,84.4077
230,88.9138
231,86.8295
232,85.0508
233,82.1682
234,90.9657
235,92.0406
236,90.409
237,85.5437
238,85.7451
239,81.9654
240,85.3921
241,84.9578
242,92.3217
243,88.4856
244,84.8409
245,86.469
246,88.7018
247,89.058
248,85.3481
249,85.9311
250,87.5985
251,86.3649
252,84.7224
253,85.7423
254,81.4171
255,87.4665
256,93.9058
257,87.4784
258,86.9329
259,88.1857
260,87.8742
261,86.0081
262,93.3546
263,88.3341
264,87.0796
265,88.2707
266,86.2391
267,90.7773
268,84.8159
269,86.72
270,93.1933
271,89.5369
272,85.9834
273,85.9782
274,90.8534
275,90.2217
276,93.5855
277,91.9238
278,87.286
279,87.5753
280,83.2486
281,83.3757
282,87.6405
283,85.2918
284,86.949
285,89.042
286,86.2508
287,93.7009
288,92.0125
289,90.0264
290,85.6431
291,82.8792
292,83.8535
293,82.6594
294,87.4248
295,85.8028
296,88.6506
297,82.6588
298,88.9857
299,86.1731
300,89.863
301,81.9781
302,88.5878
303,83.1058
304,84.1271
305,87.3979
306,87.3523
307,85.3856
308,86.153
309,86.424
310,83.2663
311,82.3063
312,79.8595
313,87.0925
314,85.9567
315,89.2717
316,88.375
317,85.858
318,93.6334
319,86.5718
320,89.4294
321,83.9701
322,85.0329
323,87.7189
324,87.4623
325,90.4681
326,83.8591
327,82.8373
328,87.5045
329,91.5126
330,90.7854
331,85.5639
332,97.3824
333,92.2167
334,83.7623
335,81.6128
336,84.4061
337,87.6298
338,90.6033
339,86.611
340,86.44
341,82.2114
342,82.2114
343,83.5429
344,89.8767
345,83.1735
346,86.5465
347,91.2063
348,87.5669
349,93.2031
350,92.9825
351,89.4777
