t,G,F1,F2,F3
1,0.1574,0,null,null
2,0.1584,0,null,null
3,0.1586,0,null,null
4,0.1585,0,null,null
5,0.1588,0,null,null
6,0.1576,0,null,null
7,0.1555,0,null,null
8,0.1585,0,null,null
9,0.1576,0,null,null
10,0.1604,0,null,null
11,0.1579,0,null,null
12,0.1562,0,null,null
13,0.1567,0,null,null
14,0.1571,0,null,null
15,0.1573,0,null,null
16,0.1576,0,null,null
17,0.1563,0,null,null
18,0.1576,0,null,null
19,0.1562,0,null,null
20,0.1583,0,null,null
21,0.1586,0,null,null
22,0.16,0,null,null
23,0.158,0,null,null
24,0.1582,0,null,null
25,0.1581,0,null,null
26,0.1571,0,null,null
27,0.1566,0,null,null
28,0.1581,0,null,null
29,0.1591,0,null,null
30,0.1558,0,null,null
31,0.1558,0,null,null
32,0.159,0,null,null
33,0.1572,0,null,null
34,0.1612,0,null,null
35,0.1606,0,null,null
36,0.16,0,null,null
37,0.1562,0,null,null
38,0.1587,0,null,null
39,0.1559,0,null,null
40,0.1548,0,null,null
41,0.1551,0,null,null
42,0.1563,0,null,null
43,0.1575,0,null,null
44,0.155,0,null,null
45,0.1545,0,null,null
46,0.1582,0,null,null
47,0.1615,0,null,null
48,0.1567,0,null,null
49,0.1579,0,null,null
50,0.157,0,null,null
51,0.1558,0,null,null
52,0.158,0,null,null
53,0.1573,0,null,null
54,0.1559,0,null,null
55,0.1587,0,null,null
56,0.1551,0,null,null
57,0.1555,0,null,null
58,0.1609,0,null,null
59,0.1597,0,null,null
60,0.1559,0,null,null
61,0.1573,0,null,null
62,0.1564,0,null,null
63,0.1566,0,null,null
64,0.1569,0,null,null
65,0.1587,0,null,null
66,0.1565,0,null,null
67,0.1552,0,null,null
68,0.158,0,null,null
69,0.1578,0,null,null
70,0.1581,0,null,null
71,0.1601,0,null,null
72,0.1607,0,null,null
73,0.1557,0,null,null
74,0.1542,0,null,null
75,0.1577,0,null,null
76,0.1582,0,null,null
77,0.1165,0,null,null
78,0.1068,0,null,null
79,0.104,0,null,null
80,0.1053,0,null,null
81,0.1054,0,null,null
82,0.1049,0,null,null
83,0.1051,0,null,null
84,0.1063,0,null,null
85,0.1063,0,null,null
86,0.1063,0,null,null
87,0.1056,0,null,null
88,0.1054,0,null,null
89,0.1068,0,null,null
90,0.1056,0,null,null
91,0.106,0,null,null
92,0.1063,0,null,null
93,0.1061,0,null,null
94,0.1045,0,null,null
95,0.1045,0,null,null
96,0.103,0,null,null
97,0.1053,0,null,null
98,0.104,0,null,null
99,0.1037,0,null,null
100,0.1044,0,null,null
101,0.1061,0,null,null
102,0.1041,0,null,null
103,0.1063,0,null,null
104,0.1059,0,null,null
105,0.1063,0,null,null
106,0.1048,0,null,null
107,0.1065,0,null,null
108,0.1061,0,null,null
109,0.1055,0,null,null
110,0.106,0,null,null
111,0.1063,0,null,null
112,0.1063,0,null,null
113,0.1077,0,null,null
114,0.1053,0,null,null
115,0.106,0,null,null
116,0.1048,0,null,null
117,0.1065,0,null,null
118,0.1055,0,null,null
119,0.1051,0,null,null
120,0.1088,0,null,null
121,0.1049,0,null,null
122,0.1071,0,null,null
123,0.1058,0,null,null
124,0.1058,0,null,null
125,0.1055,0,null,null
126,0.1053,0,null,null
127,0.1044,0,null,null
128,0.1052,0,null,null
129,0.1083,0,null,null
130,0.1064,0,null,null
131,0.1053,0,null,null
132,0.1049,0,null,null
133,0.1077,0,null,null
134,0.105,0,null,null
135,0.1075,0,null,null
136,0.1058,0,null,null
137,0.1057,0,null,null
138,0.1079,0,null,null
139,0.1072,0,null,null
140,0.1056,0,null,null
141,0.1041,0,null,null
142,0.1039,0,null,null
143,0.1047,0,null,null
144,0.1058,0,null,null
145,0.1071,0,null,null
146,0.1052,0,null,null
147,0.1056,0,null,null
148,0.1062,0,null,null
149,0.1054,0,null,null
150,0.1065,0,null,null
151,0.1046,0,null,null
152,0.1051,0,null,null
153,0.1035,0,null,null
154,0.1025,0,null,null
155,0.1055,0,null,null
156,0.1045,0,null,null
157,0.1049,0,null,null
158,0.1051,0,null,null
159,0.1052,0,null,null
160,0.1067,0,null,null
161,0.1069,0,null,null
162,0.1053,0,null,null
163,0.1034,0,null,null
164,0.1045,0,null,null
165,0.1046,0,null,null
166,0.1057,0,null,null
167,0.1064,0,null,null
168,0.1057,0,null,null
169,0.1062,0,null,null
170,0.106,0,null,null
171,0.1049,0,null,null
172,0.1061,0,null,null
173,0.1067,0,null,null
174,0.1072,0,null,null
175,0.107,0,null,null
176,0.1061,0,null,null
177,0.1064,0,null,null
178,0.1049,0,null,null
179,0.1053,0,null,null
180,0.1055,0,null,null
181,0.1047,0,null,null
182,0.1036,0,null,null
183,0.1036,0,null,null
184,0.1057,0,null,null
185,0.1043,0,null,null
186,0.106,0,null,null
187,0.1066,0,null,null
188,0.1029,0,null,null
189,0.1054,0,null,null
190,0.1077,0,null,null
191,0.1073,0,null,null
192,0.1059,0,null,null
193,0.1048,0,null,null
194,0.1049,0,null,null
195,0.1059,0,null,null
196,0.1046,0,null,null
197,0.1048,0,null,null
198,0.1033,0,null,null
199,0.1038,0,null,null
200,0.1072,0,null,null
201,0.1054,0,null,null
202,0.1055,0,null,null
203,0.1059,0,null,null
204,0.1046,0,null,null
205,0.1046,0,null,null
206,0.1056,0,null,null
207,0.1049,0,null,null
208,0.1059,0,null,null
209,0.1048,0,null,null
210,0.1031,0,null,null
211,0.1051,0,null,null
212,0.1044,0,null,null
213,0.1056,0,null,null
214,0.1052,0,null,null
215,0.1047,0,null,null
216,0.1057,0,null,null
217,0.1077,0,null,null
218,0.106,0,null,null
219,0.1065,0,null,null
220,0.1067,0,null,null
221,0.106,0,null,null
222,0.1034,0,null,null
223,0.1071,0,null,null
224,0.1053,0,null,null
225,0.1065,0,null,null
226,0.1051,0,null,null
227,0.1059,0,null,null
228,0.1051,0,null,null
