t,deltaS
1,5.878
2,5.794
3,5.875
4,5.9
5,5.848
6,5.857
7,5.661
8,5.958
9,5.898
10,5.795
11,5.867
12,5.816
13,5.826
14,5.745
15,5.92
16,5.902
17,5.973
18,5.789
19,5.875
20,6.064
21,5.949
22,5.656
23,5.928
24,5.939
25,5.733
26,5.985
27,5.759
28,5.694
29,5.775
30,5.789
31,5.831
32,5.911
33,5.871
34,5.887
35,5.815
36,5.98
37,5.781
38,6.058
39,5.794
40,5.668
41,5.831
42,5.828
43,5.862
44,5.776
45,5.695
46,5.827
47,5.794
48,5.873
49,5.792
50,5.789
51,5.857
52,5.828
53,5.889
54,5.806
55,5.884
56,5.928
57,5.752
58,5.829
59,5.816
60,5.906
61,5.701
62,5.801
63,5.88
64,5.831
65,5.845
66,5.857
67,5.843
68,5.894
69,5.776
70,5.996
71,5.849
72,5.731
73,5.747
74,5.766
75,5.896
76,5.998
77,0.1215
78,-0.02127
79,0.02935
80,0.02397
81,-0.01681
82,0.001866
83,0.008765
84,0.04464
85,-0.04129
86,-0.01234
87,-0.01471
88,-0.001835
89,0.02706
90,0.004843
91,0.005834
92,-0.03778
93,0.03803
94,0.004481
95,0.0698
96,0.008976
97,-0.06
98,0.0231
99,-2.921e-05
100,-0.006073
101,-0.01126
102,0.02207
103,-0.08516
104,0.04736
105,-0.005256
106,-0.008274
107,-0.0004551
108,0.006312
109,0.05455
110,-0.07713
111,0.03532
112,0.0192
113,-0.01644
114,0.02921
115,-0.0447
116,0.01619
117,0.03322
118,-0.04081
119,0.007965
120,-0.02386
121,0.01852
122,-0.05734
123,0.09478
124,-0.01752
125,-0.03523
126,0.03408
127,-0.02595
128,-0.02886
129,0.0177
130,-0.01396
131,0.1158
132,-0.06265
133,-0.08126
134,0.0586
135,-0.04576
136,0.03673
137,-0.009096
138,-0.04229
139,-0.008738
140,0.0008876
141,0.03082
142,0.001594
143,0.02109
144,-0.1013
145,0.0952
146,0.03829
147,-0.04725
148,0.009422
149,-0.02413
150,0.008319
151,-0.01163
152,0.01664
153,0.0499
154,-0.01461
155,-0.05617
156,0.0455
157,-0.03994
158,0.02637
159,0.001499
160,0.03065
161,-0.06882
162,0.01787
163,0.0472
164,-0.01712
165,-0.01187
166,-0.02776
167,0.004007
168,0.05313
169,0.006507
170,-0.007358
171,-0.05956
172,-0.004687
173,-0.02731
174,0.04381
175,-0.008476
176,0.056
177,-0.08009
178,0.02988
179,0.03262
180,0.006107
181,-0.03013
182,0.003878
183,-0.05979
184,0.03524
185,0.03305
186,-0.06451
187,0.027
188,-0.0006054
189,-0.03231
190,-0.05548
191,0.03732
192,0.01299
193,0.04218
194,-0.06358
195,0.05784
196,-0.03
197,0.00972
198,0.01007
199,0.02634
200,-0.03691
201,-0.06651
202,0.06265
203,-0.02269
204,0.028
205,-0.07685
206,0.0921
207,-0.07569
208,0.04068
209,0.02758
210,0.0006718
211,-0.05054
212,0.08515
213,-0.02156
214,-0.005961
215,-0.01822
216,-0.02363
217,0.004104
218,-0.009125
219,-0.005322
220,0.02263
221,-0.01276
222,0.007694
223,-0.0457
224,0.003568
225,-0.02077
226,0.004933
227,-0.02057
228,-0.02996
229,-0.007103
230,0.04403
231,-0.002316
232,-0.05782
233,0.03635
234,0.0562
235,-0.002433
236,0.0173
237,-0.03332
238,-0.03281
239,0.04179
240,0.02245
241,-0.01398
242,0.02493
243,-0.03273
244,-0.006032
245,-0.006897
246,-0.01999
247,0.0397
248,-0.05998
249,0.08457
250,-0.004989
251,-0.02455
252,0.008642
253,-0.0545
254,0.01961
255,-0.01174
256,0.06664
257,-0.0462
258,-0.01247
259,-0.004904
260,-0.0001113
261,-0.02335
262,0.06706
263,0.07586
264,-0.02975
265,0.00741
266,-0.02833
267,0.01502
268,-0.006187
269,-0.005101
270,0.02142
271,-0.02154
272,-0.01918
273,0.02866
274,0.04196
275,-0.04294
276,0.0645
277,-0.02953
278,-0.002953
279,-0.01999
280,0.03955
281,0.001805
282,-0.07437
283,0.03386
284,0.07757
285,-0.03194
286,-0.009389
287,-0.01479
288,0.1002
289,-0.04068
290,-0.04562
291,0.02197
292,-0.008064
293,0.02408
294,-0.01696
295,0.07614
296,-0.01076
297,0.008705
298,0.02224
299,-0.04498
300,0.0186
301,-0.05272
302,0.0351
303,-0.04467
304,0.03349
305,0.06484
306,-0.05853
307,0.06203
308,-0.04061
309,-0.009185
310,-0.004574
311,-0.006185
312,0.06719
313,0.001738
314,0.03447
315,0.01899
316,0.02125
317,-0.0605
318,0.03552
319,-0.01686
320,-0.05381
321,-0.03626
322,0.02085
323,0.01606
324,-0.005701
325,0.001086
326,-0.04992
327,0.04022
328,0.03595
329,0.01937
330,0.005445
331,-0.03932
332,0.03155
333,0.01145
334,-0.06898
335,0.006362
336,-0.01568
337,0.00473
338,0.07686
339,-0.1085
340,0.05553
341,0.01116
342,0.05657
343,-0.006269
344,0.05534
345,-0.03427
346,0.03778
347,-0.05106
348,-0.07233
349,0.04829
350,0.03065
351,-0.0124
352,-0.0006633
353,-0.01073
354,-0.005602
355,0.06169
356,0.0341
357,-0.03547
358,-0.04381
359,0.01923
360,0.05302
361,-0.02946
362,0.007079
363,-0.04264
364,0.02052
365,0.06145
366,-0.002877
367,0.02556
368,-0.05222
369,-0.02957
370,-0.01084
371,-0.006007
372,-0.05386
373,-0.0199
374,0.0283
375,0.0299
376,-0.0149
377,-0.06095
378,0.01964
379,-0.02008
380,0.05791
381,-0.02612
382,0.03165
383,-0.01604
384,-0.01611
385,0.04979
386,-0.002401
387,0.0422
388,-0.02629
389,-0.03012
390,0.01666
391,0.03214
392,0.01622
393,-0.06734
394,-0.01236
395,0.03847
396,0.01629
397,0.05446
398,-0.02691
399,-0.02721
400,0.006752
401,0.03087
402,-0.04231
403,0.04778
404,0.0414
405,-0.03506
406,-0.04466
407,-0.001991
408,-0.02965
409,0.0005761
410,0.009839
411,-0.03726
412,-0.03039
413,-0.04904
414,-0.01189
415,-0.004925
416,-0.01866
417,0.01581
418,-0.03928
419,0.04395
420,0.03922
421,-0.04363
422,0.00522
423,0.008222
424,0.0411
425,-0.01215
426,-0.02163
427,-0.003943
428,0.03272
429,0.01317
430,-0.0031
431,-0.008565
432,-0.06165
433,0.04321
434,0.07395
435,-0.02146
436,0.03042
437,0.0187
438,-0.03959
439,0.02548
440,-0.01552
441,0.03057
442,0.0107
443,-0.03034
444,-0.05482
445,0.04291
446,0.001649
447,-0.0123
448,0.05763
449,-0.0268
450,-0.02366
451,0.02553
452,-0.03927
453,0.002754
454,0.09866
455,-0.07561
456,-0.01202
457,0.01985
458,0.04546
459,0.001931
460,-0.02788
461,-0.0809
462,0.05154
463,0.0606
464,-0.01276
465,-0.01757
466,-0.03169
467,0.07149
468,0.05295
469,-0.07686
470,-0.04057
471,0.0883
472,0.009235
473,-0.003379
474,-0.02266
475,-0.000626
476,0.01559
477,0.009943
478,-0.01736
479,-0.0167
480,0.02776
481,-0.006612
482,-0.01386
483,0.008902
484,0.01041
485,-0.03067
486,-0.01215
487,-0.006878
488,-0.01771
489,0.02598
490,-0.01265
491,-0.03021
492,0.01203
493,-0.04238
494,0.02852
495,0.08927
496,0.03455
497,-0.05487
498,-0.03827
499,-0.02391
500,0.08975
501,0.04029
502,-0.02547
503,-0.02047
504,-0.04564
505,-0.04008
506,0.09345
507,0.01567
508,-0.08658
509,-0.009701
510,0.03135
511,-0.06835
512,-0.001776
513,0.05123
514,0.01294
515,-0.04161
516,-0.04963
517,0.008732
518,0.03712
519,-0.0123
520,-0.04732
521,0.003151
522,-0.03607
523,-0.04242
524,0.003379
525,-0.04374
526,0.05906
527,-0.03667
528,0.02145
529,-0.003681
530,0.03169
531,-0.00689
532,-0.09823
533,0.04674
534,0.02555
535,0.0121
536,0.03703
537,0.04194
538,0.03208
539,-0.009178
540,-0.07413
541,-0.02419
542,-0.03402
543,-0.01669
544,0.005923
545,0.0882
546,-0.02279
547,-0.03185
548,0.09243
549,-0.0641
550,0.02973
551,-0.04484
552,0.07228
553,-0.02987
554,-0.0301
555,0.06534
556,0.04705
557,-0.01112
558,0.00493
559,0.02288
560,0.03222
561,-0.0408
562,0.0505
563,-0.07112
564,0.05611
565,-0.0932
566,0.03579
567,-0.037
568,0.001961
569,0.03762
570,0.07729
571,0.05687
572,-0.04407
573,-0.008189
574,-0.06174
575,0.03231
576,0.002745
577,0.03771
578,-0.04738
579,-0.01694
580,0.008818
581,-0.02978
582,0.0008721
583,0.04576
584,-0.03
585,-0.01142
586,0.002933
587,-0.04795
588,-0.05346
589,0.07804
590,-0.02438
591,-0.01537
592,-0.08787
593,0.03184
594,0.0001278
595,0.001
596,-0.03153
597,0.07
598,-0.1033
599,0.05923
600,0.05493
601,-0.01801
602,-0.03228
603,0.01804
604,-0.0344
605,-0.007132
606,0.07637
607,-0.01122
608,-0.07537
609,0.02217
610,0.007334
611,0.03345
612,0.04937
613,0.01546
614,0.03806
615,-0.06245
616,0.01278
617,0.01513
618,0.01695
619,0.0391
620,0.004761
621,-0.07392
622,-0.006118
623,0.005223
624,-0.008464
625,0.0304
626,-0.01954
627,-0.04784
628,-0.004821
629,0.001376
630,0.0304
631,0.007223
632,-0.04123
633,0.02877
634,-0.02727
635,0.06569
636,-0.01179
637,0.01234
638,-0.03254
639,0.02595
640,-0.03652
641,0.02331
642,0.0002061
643,-0.00418
644,0.02974
645,0.04872
646,-0.03023
647,0.02874
648,-0.02843
649,0.02896
650,-0.06769
651,-0.00756
652,0.05776
653,0.01441
654,-0.01436
655,-0.02657
656,0.05317
657,0.05689
658,0.01204
659,-0.04911
660,0.03615
661,0.003162
662,-0.03349
663,-0.0258
664,0.02908
665,-0.01302
666,-0.01322
667,0.03599
668,-0.03955
669,0.03891
670,0.01755
671,-0.08768
672,0.0454
673,-0.02429
674,0.08305
675,-0.05845
676,-0.03493
677,0.02464
678,-0.03577
679,0.02707
680,-0.002967
681,0.02728
682,-0.01555
683,-0.0289
684,-0.002645
685,0.03245
686,0.0158
687,-0.03888
688,0.04741
689,-0.03251
690,-0.007316
691,-0.04959
692,0.01139
693,-0.04691
694,0.03474
695,0.03029
696,0.0001444
697,0.06823
698,-0.05871
699,0.002536
700,0.01097
701,0.004329
702,0.06392
703,-0.03922
704,0.08696
705,-0.04872
706,0.01869
707,0.002032
708,-0.05017
709,0.04191
710,-0.012
711,-0.009274
712,0.003858
713,-0.03292
714,0.02934
