MDTU,min_width,max_width
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,1.06348,0.373559
77,1.40375,0.513837
78,1.57743,0.614575
79,1.57611,0.638122
80,1.60569,0.67205
81,1.65667,0.675984
82,1.62509,0.691519
83,1.64002,0.687427
84,1.72574,0.720406
85,1.64155,0.737096
86,1.71187,0.756755
87,1.66934,0.770321
88,1.70883,0.745695
89,1.71916,0.74212
90,1.75046,0.749879
91,1.67077,0.736883
92,1.63977,0.720401
93,1.6541,0.737013
94,1.71019,0.731586
95,1.71288,0.747604
96,1.68337,0.745364
97,1.68106,0.734136
98,1.68226,0.731131
99,1.69075,0.747563
100,1.67789,0.746406
101,1.64585,0.75696
102,1.73553,0.737653
103,1.7392,0.713968
104,1.67731,0.714335
105,1.68779,0.728132
106,1.6873,0.728559
107,1.65573,0.727973
108,1.68189,0.729471
109,1.6607,0.728521
110,1.65894,0.737838
111,1.6939,0.728472
112,1.62467,0.729207
113,1.62715,0.730457
114,1.61842,0.721375
115,1.64326,0.717782
116,1.6373,0.694729
117,1.61737,0.713933
118,1.6623,0.747161
119,1.73859,0.752125
120,1.74012,0.737493
121,1.69665,0.750158
122,1.73893,0.759607
123,1.72666,0.746416
124,1.78001,0.738467
125,1.60861,0.731504
126,1.68362,0.718646
127,1.65343,0.72658
128,1.65919,0.740198
129,1.67567,0.743122
130,1.7091,0.75597
131,1.7087,0.754614
132,1.59249,0.727125
133,1.64939,0.733637
134,1.68981,0.741088
135,1.65829,0.741998
136,1.7373,0.76564
137,1.72287,0.781414
138,1.75663,0.789376
139,1.67196,0.787315
140,1.75683,0.75547
141,1.71858,0.759196
142,1.68768,0.750441
143,1.61296,0.746959
144,1.71031,0.736505
145,1.70445,0.743671
146,1.76177,0.74895
147,1.72227,0.746999
148,1.72518,0.758874
149,1.69066,0.76183
150,1.66216,0.751459
151,1.71588,0.745066
152,1.69371,0.74646
153,1.76879,0.758564
154,1.71522,0.749297
155,1.6968,0.730998
156,1.75775,0.760771
157,1.67235,0.732825
158,1.69996,0.718577
159,1.68563,0.704629
160,1.67183,0.730642
