t,e^(-dS)
1,0.00280038
2,0.00304577
3,0.00280879
4,0.00273944
5,0.00288566
6,0.00285981
7,0.00347904
8,0.00258508
9,0.00274493
10,0.00304273
11,0.00283135
12,0.0029795
13,0.00294985
14,0.00319873
15,0.0026852
16,0.00273397
17,0.00254659
18,0.00306104
19,0.00280879
20,0.00232508
21,0.00260845
22,0.00349647
23,0.0026638
24,0.00263466
25,0.00323735
26,0.00251621
27,0.00315426
28,0.0033661
29,0.0031042
30,0.00306104
31,0.00293514
32,0.00270948
33,0.00282005
34,0.00277529
35,0.00298248
36,0.00252883
37,0.00308563
38,0.00233907
39,0.00304577
40,0.00345477
41,0.00293514
42,0.00294396
43,0.00284555
44,0.0031011
45,0.00336274
46,0.0029469
47,0.00304577
48,0.00281442
49,0.00305187
50,0.00306104
51,0.00285981
52,0.00294396
53,0.00276975
54,0.00300944
55,0.00278363
56,0.0026638
57,0.00317642
58,0.00294102
59,0.0029795
60,0.00272306
61,0.00334262
62,0.00302453
63,0.00279479
64,0.00293514
65,0.00289433
66,0.00285981
67,0.00290013
68,0.00275593
69,0.0031011
70,0.00248869
71,0.00288278
72,0.00324383
73,0.00319234
74,0.00313226
75,0.00275042
76,0.00248371
77,0.885591
78,1.0215
79,0.971077
80,0.976315
81,1.01695
82,0.998136
83,0.991273
84,0.956342
85,1.04215
86,1.01242
87,1.01482
88,1.00184
89,0.973303
90,0.995169
91,0.994183
92,1.0385
93,0.962684
94,0.995529
95,0.93258
96,0.991064
97,1.06184
98,0.977165
99,1.00003
100,1.00609
101,1.01132
102,0.978172
103,1.08889
104,0.953744
105,1.00527
106,1.00831
107,1.00046
108,0.993708
109,0.946911
110,1.08018
111,0.965296
112,0.980983
113,1.01658
114,0.971212
115,1.04571
116,0.98394
117,0.967326
118,1.04165
119,0.992067
120,1.02415
121,0.98165
122,1.05902
123,0.909573
124,1.01767
125,1.03586
126,0.966494
127,1.02629
128,1.02928
129,0.982456
130,1.01406
131,0.890653
132,1.06465
133,1.08465
134,0.943084
135,1.04682
136,0.963936
137,1.00914
138,1.0432
139,1.00878
140,0.999113
141,0.96965
142,0.998407
143,0.979131
144,1.10661
145,0.909191
146,0.962434
147,1.04838
148,0.990622
149,1.02442
150,0.991716
151,1.0117
152,0.983498
153,0.951325
154,1.01472
155,1.05778
156,0.95552
157,1.04075
158,0.973975
159,0.998502
160,0.969815
161,1.07124
162,0.982289
163,0.953897
164,1.01727
165,1.01194
166,1.02815
167,0.996001
168,0.948257
169,0.993514
170,1.00739
171,1.06137
172,1.0047
173,1.02769
174,0.957136
175,1.00851
176,0.945539
177,1.08338
178,0.970562
179,0.967906
180,0.993912
181,1.03059
182,0.99613
183,1.06161
184,0.965374
185,0.96749
186,1.06664
187,0.973361
188,1.00061
189,1.03284
190,1.05705
191,0.963368
192,0.987094
193,0.958697
194,1.06564
195,0.943801
196,1.03045
197,0.990327
198,0.989981
199,0.974004
200,1.0376
201,1.06877
202,0.939272
203,1.02295
204,0.972388
205,1.07988
206,0.912014
207,1.07863
208,0.960136
209,0.972797
210,0.999328
211,1.05184
212,0.918375
213,1.02179
214,1.00598
215,1.01839
216,1.02391
217,0.995904
218,1.00917
219,1.00534
220,0.977624
221,1.01284
222,0.992336
223,1.04676
224,0.996438
225,1.02099
226,0.995079
227,1.02078
228,1.03041
229,1.00713
230,0.956925
231,1.00232
232,1.05952
233,0.964303
234,0.94535
235,1.00244
236,0.982849
237,1.03388
238,1.03335
239,0.959071
240,0.9778
241,1.01408
242,0.975378
243,1.03327
244,1.00605
245,1.00692
246,1.02019
247,0.961078
248,1.06182
249,0.918907
250,1.005
251,1.02485
252,0.991395
253,1.05601
254,0.980581
255,1.01181
256,0.935532
257,1.04728
258,1.01255
259,1.00492
260,1.00011
261,1.02362
262,0.935139
263,0.926946
264,1.0302
265,0.992617
266,1.02874
267,0.985092
268,1.00621
269,1.00511
270,0.978808
271,1.02177
272,1.01937
273,0.971747
274,0.958908
275,1.04388
276,0.937536
277,1.02997
278,1.00296
279,1.02019
280,0.961222
281,0.998197
282,1.07721
283,0.966707
284,0.925362
285,1.03246
286,1.00943
287,1.0149
288,0.904656
289,1.04152
290,1.04668
291,0.97827
292,1.0081
293,0.976208
294,1.0171
295,0.926686
296,1.01082
297,0.991333
298,0.978005
299,1.04601
300,0.981572
301,1.05413
302,0.965509
303,1.04568
304,0.967065
305,0.937217
306,1.06028
307,0.939855
308,1.04145
309,1.00923
310,1.00458
311,1.0062
312,0.935018
313,0.998264
314,0.966117
315,0.981189
316,0.978974
317,1.06237
318,0.965103
319,1.017
320,1.05528
321,1.03693
322,0.979366
323,0.984068
324,1.00572
325,0.998915
326,1.05119
327,0.960578
328,0.964689
329,0.980816
330,0.99457
331,1.0401
332,0.968943
333,0.988615
334,1.07141
335,0.993658
336,1.0158
337,0.995281
338,0.926019
339,1.1146
340,0.945984
341,0.988902
342,0.945
343,1.00629
344,0.946163
345,1.03486
346,0.962925
347,1.05239
348,1.07501
349,0.952857
350,0.969815
351,1.01248
352,1.00066
353,1.01079
354,1.00562
355,0.940174
356,0.966475
357,1.03611
358,1.04478
359,0.980954
360,0.948361
361,1.0299
362,0.992946
363,1.04356
364,0.979689
365,0.9404
366,1.00288
367,0.974764
368,1.05361
369,1.03001
370,1.0109
371,1.00603
372,1.05534
373,1.0201
374,0.972097
375,0.970543
376,1.01501
377,1.06285
378,0.980552
379,1.02028
380,0.943735
381,1.02646
382,0.968846
383,1.01617
384,1.01624
385,0.951429
386,1.0024
387,0.958678
388,1.02664
389,1.03058
390,0.983478
391,0.968371
392,0.983911
393,1.06966
394,1.01244
395,0.962261
396,0.983842
397,0.946996
398,1.02728
399,1.02758
400,0.993271
401,0.969602
402,1.04322
403,0.953343
404,0.959445
405,1.03568
406,1.04567
407,1.00199
408,1.03009
409,0.999424
410,0.990209
411,1.03796
412,1.03086
413,1.05026
414,1.01196
415,1.00494
416,1.01884
417,0.984314
418,1.04006
419,0.957002
420,0.961539
421,1.0446
422,0.994794
423,0.991812
424,0.959733
425,1.01222
426,1.02187
427,1.00395
428,0.96781
429,0.986916
430,1.0031
431,1.0086
