t,|deltaS|
1,2.097
2,5.796
3,1.661
4,1.244
5,0.1714
6,0.002944
7,0.9468
8,0.1196
9,0.656
10,0.03249
11,0.3901
12,0.1688
13,0.2066
14,0.2357
15,0.1356
16,0.08947
17,0.4353
18,0.1885
19,0.1165
20,0.2032
21,0.02045
22,0.01834
23,0.1032
24,0.5137
25,0.04575
26,0.09294
27,0.2852
28,0.08256
29,0.5388
30,0.49
31,0.4907
32,0.02977
33,0.4322
34,0.6013
35,0.3734
36,0.2909
37,0.6345
38,0.08253
39,0.3266
40,0.07362
41,0.05192
42,0.01421
43,0.09548
44,0.2548
45,0.4553
46,0.9367
47,0.2897
48,0.8257
49,0.5094
50,0.9629
51,0.6044
52,0.3957
53,0.06362
54,0.1037
55,0.31
56,0.4696
57,0.8471
58,0.1664
59,0.04602
60,0.4529
61,0.4625
62,0.198
63,0.0647
64,0.1019
65,0.1919
66,0.9265
67,0.6016
68,0.5068
69,0.2924
70,0.5323
71,0.5469
72,0.124
73,0.1095
74,0.3692
75,0.3896
76,0.1782
77,0.0271
78,0.02574
79,0.0472
80,0.7063
81,0.1176
82,0.3128
83,0.4494
84,0.4923
85,0.4372
86,0.09747
87,0.5144
88,0.8075
89,0.7529
90,0.1043
91,0.1463
92,0.22
93,0.2025
94,0.1729
95,0.02347
96,0.3078
97,0.2153
98,1.019
99,0.5604
100,0.6644
101,1.073
102,0.1261
103,0.2686
104,0.04722
105,0.4534
106,0.007535
107,0.7386
108,0.1877
109,0.34
110,0.1892
111,0.7
112,0.08094
113,0.7833
114,0.4856
115,0.04352
116,0.5722
117,0.4135
118,0.3713
119,0.02702
120,0.6433
121,1.269
122,1.342
123,1.268
124,1.668
125,1.129
126,1.215
127,0.2099
128,0.2421
129,0.09407
130,0.1083
131,0.3193
132,0.3687
133,0.03271
134,0.02747
135,0.8767
136,0.02936
137,0.4353
138,0.5641
139,0.4717
140,0.1855
141,0.3108
142,0.5457
143,0.2998
144,0.482
145,0.457
146,0.1301
147,0.1885
148,0.5114
149,0.1973
150,0.2218
151,0.2412
152,0.7519
153,0.3254
154,0.6541
155,0.2649
156,0.5421
157,0.3467
158,0.4223
159,0.9184
160,0.5503
161,0.1251
162,0.3934
163,0.1317
164,0.9991
165,0.317
166,0.2352
167,0.3928
168,0.004184
169,0.3944
170,0.4472
171,0.7951
172,1.29
173,0.7343
174,0.4292
175,0.04592
176,0.3853
177,0.3936
178,0.03194
179,0.2851
180,1.316
181,0.6548
182,1.031
183,0.998
184,0.3158
185,0.1126
186,1.194
187,0.9893
188,0.7105
189,0.6049
190,0.2173
191,1.075
192,1.51
193,0.5365
194,0.06719
195,0.6409
196,0.5488
197,1.124
198,0.4066
199,0.07543
200,0.4347
201,0.2777
202,0.02954
203,0.5864
204,0.205
205,0.5917
206,0.5219
207,0.4127
208,0.04081
209,0.5673
210,0.371
211,0.7508
212,0.9283
213,0.01348
214,0.5064
215,0.04967
216,0.02054
217,0.02758
218,0.4855
219,0.2173
220,0.1805
221,0.5601
222,0.6893
223,0.6269
224,0.6068
225,0.8075
226,0.1265
227,0.2116
228,0.2925
229,0.9492
230,1.21
231,1.271
232,0.9453
233,0.0164
234,0.142
235,0.4069
236,0.1935
237,0.8968
238,0.1043
239,0.2547
240,0.2306
241,0.4656
242,0.0951
243,0.1633
244,0.4786
245,0.06994
246,0.08041
247,0.3493
248,0.3523
249,0.51
250,0.3019
251,0.1504
252,0.3757
253,1.012
254,0.08378
255,0.7355
256,1.307
257,0.5206
258,0.5736
259,0.09215
260,0.3043
261,0.4986
262,0.5581
263,0.9447
264,1.676
265,0.7718
266,0.6636
267,0.8701
268,0.06231
269,0.5375
270,0.1015
271,0.04671
272,0.01234
273,0.5763
274,0.5586
275,0.9175
276,0.3036
277,0.08447
278,0.5444
279,0.1921
280,0.3663
281,0.6797
282,0.9662
283,0.8187
284,0.4209
285,0.1117
286,0.3501
287,0.4954
288,0.651
289,0.3194
290,1.406
291,0.3771
292,0.6704
293,0.6435
294,1.251
295,0.6715
296,0.0075
297,0.01286
298,0.2482
299,0.3823
300,0.327
301,0.5421
302,0.07099
303,0.9563
304,0.3637
305,0.1693
306,0.4716
307,0.2445
308,0.2275
309,0.0621
310,0.4298
311,0.03116
312,0.2256
313,0.1574
314,0.2223
315,0.3227
316,0.9977
317,0.5964
318,0.04433
319,1.202
320,1.796
321,0.6248
322,0.02126
323,0.6018
324,0.2104
325,0.2268
326,0.3689
327,0.238
328,0.2836
329,0.2237
330,0.2236
331,0.0584
332,0.5634
333,0.3374
334,0.7291
335,0.3282
336,0.3995
337,0.3783
338,0.3372
339,0.6971
340,1.059
341,0.3703
342,0.2507
343,0.5653
344,0.04515
345,0.5972
346,0.07316
347,0.1344
348,0.1306
349,0.3791
350,0.5022
351,1.103
352,0.6384
353,0.05757
354,1.527
355,0.5861
