MDTU,|Tr(Lx)|
798,0.00236569
800,0.00236569
802,0.00516989
804,0.00516989
806,0.00516989
808,0.00265248
810,0.00265248
812,0.00507558
814,0.000845024
816,0.00452294
818,0.00156306
820,0.000901325
822,0.00377669
824,0.000916636
826,0.00300823
828,0.00141532
830,0.000693335
832,0.00643971
834,0.00643971
836,0.00343101
838,0.00343101
840,0.00314676
842,0.00296446
844,0.00291032
846,0.000815082
848,0.00176693
850,0.00176693
852,0.00166277
854,0.00222037
856,0.00479951
858,0.00255172
860,0.00324173
862,0.00328042
864,0.00328042
866,0.00328042
868,0.00250396
870,0.00250396
872,0.00251579
874,0.00457585
876,0.00457585
878,0.00161251
880,0.00161251
882,0.00500549
884,0.00500549
886,0.00220466
888,0.00343071
890,0.00182514
892,0.00311434
894,0.0010808
896,0.0010808
898,0.00263776
900,0.000841625
902,0.00678814
904,0.00299031
906,0.00144905
908,0.000588566
910,0.00606372
912,0.00267653
914,0.00578676
916,0.00278693
918,0.00256089
920,0.00256089
922,0.00246058
924,0.00256266
926,0.000508411
928,0.00491602
930,0.00323915
932,0.00389419
934,0.00389419
936,0.00285913
938,0.00285913
940,0.00187256
942,0.00172071
944,0.00172071
946,0.00233812
948,0.00452984
950,0.00391396
952,0.00518455
954,0.002083
