MDTU,min_min,min_max,max_min,max_max
2,-4.73596,-0.946033,-0.155266,0.409024
4,-4.90202,-0.818134,-0.102921,0.535028
6,-4.76062,-0.964911,-0.105007,0.519344
8,-4.98859,-1.20103,-0.171832,0.388311
10,-5.2537,-1.28364,-0.0740821,0.456967
12,-4.5547,-1.25831,-0.28708,0.475646
14,-4.5547,-1.25831,-0.28708,0.475646
16,-5.44026,-1.19428,-0.160112,0.443953
18,-5.57792,-1.11227,-0.0730733,0.413074
20,-6.47986,-1.11907,-0.222876,0.49337
22,-4.5319,-1.32888,-0.0744928,0.453425
24,-4.53331,-1.25979,-0.162611,0.432311
26,-4.53331,-1.25979,-0.162611,0.432311
28,-5.08704,-1.38274,-0.102671,0.535867
30,-4.31136,-1.18066,-0.137831,0.450793
32,-4.86577,-1.15362,-0.128581,0.372734
34,-4.26802,-1.13373,-0.110235,0.428482
36,-4.3843,-1.23211,-0.0931041,0.444437
38,-4.3843,-1.23211,-0.0931041,0.444437
40,-4.95359,-1.04616,-0.152328,0.576738
42,-5.43705,-1.235,-0.10716,0.479256
44,-5.21703,-1.20563,-0.11808,0.392878
46,-5.27973,-1.36421,-0.0696733,0.413205
48,-5.20339,-1.22634,-0.0784035,0.44452
50,-6.01446,-1.32113,-0.182401,0.391473
52,-5.11807,-1.15791,-0.157688,0.412287
54,-4.72762,-1.17742,-0.107002,0.432184
56,-6.49324,-0.764322,-0.127168,0.456695
58,-5.45218,-1.19164,-0.104391,0.392361
60,-5.45218,-1.19164,-0.104391,0.392361
62,-4.21438,-1.31585,-0.106142,0.418252
64,-4.93962,-1.18386,-0.0826953,0.40355
66,-5.86061,-1.27349,-0.12378,0.504925
68,-5.29108,-1.05576,-0.15829,0.421506
70,-4.75206,-1.1932,-0.118676,0.448927
72,-4.75126,-1.17421,-0.214559,0.421695
74,-4.75126,-1.17421,-0.214559,0.421695
76,-5.17016,-1.35157,-0.115573,0.426753
78,-4.69167,-1.3388,-0.0793935,0.522
