ReTr(L),ImTr(L)
0.00163298,0.00159831
-0.000368759,-0.0040352
0.000866831,-0.00210593
0.00574238,0.00251921
-0.00040936,-0.00494936
0.0064296,0.00446591
0.0064296,0.00446591
0.00237659,-0.00146328
0.000978757,-0.00340701
-0.00301578,-0.00199063
0.00398786,0.00382017
-9.7045e-05,0.00267565
-9.7045e-05,0.00267565
-0.00119014,-0.000198297
-0.00359836,-9.42357e-05
-0.000995111,0.000593541
-0.001698,-0.0016259
0.00359482,0.00560106
0.00359482,0.00560106
0.0017777,0.0032706
-0.000944048,-0.000119236
-0.00340781,-0.000881471
-9.65901e-05,0.000464774
-0.00174893,0.00144289
-0.000133679,-0.00265911
-0.00013386,-0.00615298
0.00110218,0.000131775
-0.00142555,0.00459041
-0.00129828,-0.0029075
-0.00129828,-0.0029075
0.00596642,0.00113606
0.000718515,0.00207804
-0.00347431,0.00405045
-0.00135852,-0.00153728
0.00398242,-0.0021236
0.00550781,-0.00561104
0.00550781,-0.00561104
-0.00239374,0.00532511
0.00149312,-0.0040223
-0.000203471,-0.00296786
-0.00106173,-0.000354661
6.88277e-05,0.000764365
-0.00173731,0.00115235
0.00194045,0.0011996
-0.00319819,0.0027214
0.000520794,0.00230835
0.000520794,0.00230835
0.00117858,-0.00277594
-0.00126018,-0.00182737
0.00017967,0.000852442
0.00111146,0.000512126
0.000228561,0.00264384
-0.00232511,-0.00332892
-0.00156754,0.00014034
0.00131686,-0.00218612
0.00131686,-0.00218612
0.00131686,-0.00218612
0.000204163,-0.000540658
-0.00269929,0.00355522
0.00103908,-0.00312484
0.00094068,-0.000595032
-0.00118433,0.00107802
-0.000768598,0.00231847
-0.00320323,-0.00140927
0.00187255,0.000806762
-0.00198244,0.00363997
0.00410814,0.00154284
0.00109733,-0.00278083
0.00129944,0.00110233
0.000775028,0.000322141
0.00125882,0.00296746
0.00241839,0.00320705
-0.00035342,-0.00138852
-0.00435895,-0.00352014
-0.000724861,-0.000314649
0.000387712,-9.87285e-05
-0.00147887,-0.00181512
-0.00147887,-0.00181512
-0.00124312,-0.000514752
-0.00113169,0.00117301
5.62005e-05,-0.00418269
0.0033798,-0.00423157
-0.000969603,-0.000486038
-0.000969603,-0.000486038
0.0020437,-0.00357903
0.00246052,0.00275408
0.00121159,-0.00122292
0.00121159,-0.00122292
-0.000227683,-0.000752276
-0.000227683,-0.000752276
0.00187066,0.00324303
0.00194238,0.00438977
-0.00243346,0.000559741
