t,G,F1,F2,F3
1,0.445,0,null,null
2,0.448,0,null,null
3,0.4396,0,null,null
4,0.4476,0,null,null
5,0.4472,0,null,null
6,0.4449,0,null,null
7,0.447,0,null,null
8,0.4437,0,null,null
9,0.4515,0,null,null
10,0.4459,0,null,null
11,0.4488,0,null,null
12,0.4493,0,null,null
13,0.4446,0,null,null
14,0.4438,0,null,null
15,0.4424,0,null,null
16,0.4464,0,null,null
17,0.4474,0,null,null
18,0.4441,0,null,null
19,0.4501,0,null,null
20,0.4413,0,null,null
21,0.4473,0,null,null
22,0.4465,0,null,null
23,0.4477,0,null,null
24,0.4464,0,null,null
25,0.4503,0,null,null
26,0.4537,0,null,null
27,0.4443,0,null,null
28,0.4461,0,null,null
29,0.4457,0,null,null
30,0.4424,0,null,null
31,0.4442,0,null,null
32,0.4486,0,null,null
33,0.443,0,null,null
34,0.4483,0,null,null
35,0.4465,0,null,null
36,0.446,0,null,null
37,0.4476,0,null,null
38,0.4492,0,null,null
39,0.445,0,null,null
40,0.4446,0,null,null
41,0.4466,0,null,null
42,0.4417,0,null,null
43,0.438,0,null,null
44,0.4406,0,null,null
45,0.4435,0,null,null
46,0.443,0,null,null
47,0.4422,0,null,null
48,0.4447,0,null,null
49,0.4482,0,null,null
50,0.4503,0,null,null
51,0.4488,0,null,null
52,0.4486,0,null,null
53,0.4465,0,null,null
54,0.4435,0,null,null
55,0.4484,0,null,null
56,0.4442,0,null,null
57,0.4472,0,null,null
58,0.4464,0,null,null
59,0.4475,0,null,null
60,0.4435,0,null,null
61,0.4472,0,null,null
62,0.4508,0,null,null
63,0.4457,0,null,null
64,0.4447,0,null,null
65,0.4438,0,null,null
66,0.4445,0,null,null
67,0.4455,0,null,null
68,0.4388,0,null,null
69,0.4422,0,null,null
70,0.4422,0,null,null
71,0.4443,0,null,null
72,0.4458,0,null,null
73,0.4448,0,null,null
74,0.4448,0,null,null
75,0.4472,0,null,null
76,0.4475,0,null,null
77,0.4453,0,null,null
78,0.4495,0,null,null
79,0.4487,0,null,null
80,0.4389,0,null,null
81,0.4376,0,null,null
82,0.439,0,null,null
83,0.4472,0,null,null
84,0.439,0,null,null
85,0.4479,0,null,null
86,0.4457,0,null,null
87,0.4436,0,null,null
88,0.443,0,null,null
89,0.4447,0,null,null
90,0.4459,0,null,null
