MDTU,min_width,max_width
2,0.668267,0.0959324
4,0.68722,0.107741
6,0.665933,0.121634
8,0.648296,0.101804
10,0.678688,0.114741
12,0.660828,0.113581
14,0.660828,0.113581
16,0.664412,0.115802
18,0.647515,0.0980031
20,0.779397,0.112896
22,0.625968,0.101149
24,0.643923,0.0987762
26,0.643923,0.0987762
28,0.607543,0.103866
30,0.571679,0.0962426
32,0.59465,0.0928202
34,0.588736,0.102088
36,0.646837,0.100739
38,0.646837,0.100739
40,0.63121,0.104161
42,0.66769,0.107245
44,0.705608,0.100342
46,0.644785,0.0979814
48,0.596077,0.108547
50,0.689536,0.107917
52,0.608186,0.103854
54,0.630609,0.0979279
56,0.649219,0.114407
58,0.718519,0.104888
60,0.718519,0.104888
62,0.604752,0.102157
64,0.623335,0.101014
66,0.683004,0.0967551
68,0.652606,0.113164
70,0.740986,0.0969948
72,0.620238,0.100575
74,0.620238,0.100575
76,0.609445,0.103657
78,0.652777,0.115139
80,0.705178,0.102466
82,0.632196,0.0978887
84,0.677533,0.100977
86,0.697204,0.108599
88,0.693854,0.104064
90,0.635352,0.103567
92,0.549897,0.104816
94,0.549897,0.104816
96,0.506645,0.102293
98,0.636546,0.109489
100,0.666111,0.103329
102,0.674375,0.10801
104,0.64837,0.097608
106,0.609189,0.0951527
108,0.637291,0.106193
110,0.638712,0.105006
112,0.638712,0.105006
114,0.638712,0.105006
116,0.614794,0.103522
118,0.772471,0.0947921
120,0.63279,0.0966693
122,0.564356,0.108228
124,0.721225,0.0994818
126,0.637772,0.100851
128,0.690519,0.110934
130,0.737481,0.0969948
132,0.63815,0.102449
134,0.62696,0.0993121
136,0.626438,0.0981156
138,0.683228,0.101514
140,0.631267,0.105816
142,0.711787,0.096174
144,0.578116,0.110776
146,0.645381,0.103787
148,0.638929,0.102949
150,0.711333,0.114835
152,0.525809,0.101263
154,0.55004,0.109904
156,0.55004,0.109904
158,0.668857,0.100209
160,0.565305,0.105312
162,0.653725,0.0980866
164,0.662801,0.108988
166,0.671612,0.105857
168,0.671612,0.105857
170,0.621889,0.0964206
172,0.532838,0.099318
174,0.659218,0.108784
176,0.659218,0.108784
178,0.651486,0.0992823
180,0.651486,0.0992823
182,0.66665,0.101939
184,0.566217,0.105867
186,0.683371,0.104858
188,0.744142,0.112039
190,0.635664,0.107879
192,0.671716,0.115078
194,0.688246,0.10996
196,0.688246,0.10996
198,0.623428,0.109655
200,0.623428,0.109655
202,0.619881,0.103058
204,0.687339,0.104875
206,0.6785,0.10793
208,0.659781,0.105982
210,0.680636,0.108401
212,0.578331,0.10872
214,0.636413,0.101606
216,0.636413,0.101606
218,0.636413,0.101606
220,0.637543,0.0969621
222,0.683955,0.0927754
224,0.617641,0.10165
226,0.672644,0.103949
228,0.808504,0.102442
230,0.70559,0.0957403
232,0.595794,0.0989942
234,0.595794,0.0989942
236,0.595794,0.0989942
