MDTU,|det-1|^2,1-Re(det),Im(det)
2,1,1,5.67835e-09
4,1,1,-9.18304e-10
6,1,1,-1.92457e-10
8,1,1,-2.59431e-09
10,1,1,-3.3361e-09
12,1,1,4.36717e-10
14,1,1,4.36717e-10
16,1,1,2.68132e-09
18,1,1,1.32759e-09
20,1,1,2.9227e-09
22,1,1,1.99932e-09
24,1,1,3.40047e-09
26,1,1,3.40047e-09
28,1,1,-2.07422e-09
30,1,1,4.58597e-09
32,1,1,-3.78517e-09
34,1,1,-1.71723e-09
36,1,1,1.53531e-09
38,1,1,1.53531e-09
40,1,1,-5.3096e-09
42,1,1,4.97337e-10
44,1,1,-2.76527e-09
46,1,1,1.21126e-09
48,1,1,-2.71736e-09
50,1,1,4.77356e-11
52,1,1,-2.42089e-11
54,1,1,4.31354e-09
56,1,1,6.93284e-10
58,1,1,-3.88715e-09
60,1,1,-3.88715e-09
62,1,1,-2.19784e-09
64,1,1,-2.78919e-09
66,1,1,2.67162e-09
68,1,1,-2.21487e-09
70,1,1,-6.29527e-10
72,1,1,-5.58166e-09
74,1,1,-5.58166e-09
76,1,1,-1.93566e-09
78,1,1,2.32714e-10
80,1,1,-1.49557e-09
82,1,1,1.58117e-09
84,1,1,-2.50805e-09
86,1,1,1.00245e-09
88,1,1,9.07899e-10
90,1,1,-1.3894e-09
92,1,1,-8.55799e-10
94,1,1,-8.55799e-10
96,1,1,9.52442e-10
98,1,1,-2.24856e-10
100,1,1,-8.26035e-10
102,1,1,3.27699e-09
104,1,1,-1.9977e-10
106,1,1,3.32568e-09
108,1,1,-1.20403e-08
110,1,1,3.35783e-09
112,1,1,3.35783e-09
114,1,1,3.35783e-09
116,1,1,-4.64198e-09
118,1,1,8.06394e-09
120,1,1,2.73421e-09
122,1,1,6.2751e-09
124,1,1,-2.59239e-09
126,1,1,-1.00975e-09
128,1,1,-9.62852e-10
130,1,1,-2.28113e-09
132,1,1,-2.11327e-09
134,1,1,4.93661e-09
136,1,1,3.63243e-09
138,1,1,-2.45455e-11
140,1,1,2.56116e-10
142,1,1,1.72472e-09
144,1,1,1.63416e-09
146,1,1,-6.78018e-10
148,1,1,9.98824e-10
150,1,1,-1.18054e-09
152,1,1,1.00447e-10
154,1,1,4.27273e-10
156,1,1,4.27273e-10
158,1,1,3.88763e-10
160,1,1,8.97457e-10
162,1,1,1.00125e-09
164,1,1,6.44543e-09
166,1,1,-3.88181e-10
