MDTU,ssplaq,stplaq
568,2.96364,1.50433
570,2.66973,1.29966
572,2.66973,1.29966
574,2.75836,1.31577
576,2.51871,1.2379
578,2.74136,1.24575
580,2.95088,1.41757
582,2.64737,1.28355
584,2.59832,1.32854
586,2.82957,1.55395
588,2.87531,1.45956
590,2.87961,1.31365
592,2.824,1.38291
594,2.79593,1.43491
596,2.62103,1.29443
598,2.86842,1.47048
600,2.86842,1.47048
602,2.62666,1.40405
604,3.17834,1.73059
606,3.17834,1.73059
608,3.44809,1.76079
610,3.33007,1.69265
612,3.45891,1.79919
614,3.64909,1.80673
616,3.48237,1.98244
618,3.83947,2.0107
620,4.2477,2.18126
622,3.94128,2.03921
624,3.94128,2.03921
626,3.69966,1.80933
628,3.65515,1.81101
630,4.01693,2.03862
632,4.30489,2.01459
634,4.5847,2.20289
636,4.06359,1.99104
638,3.88029,2.00185
640,3.71163,1.86213
642,3.47217,1.74766
644,3.66386,1.71905
646,4.1617,2.03102
648,4.13462,2.16268
650,4.13462,2.16268
652,4.12357,2.05198
654,4.00819,1.9505
656,3.61508,1.81436
658,3.40664,1.84138
660,3.44113,1.75813
662,3.64675,1.71477
664,3.16047,1.67769
666,3.83746,1.73112
668,3.38625,1.73222
670,4.1241,2.24169
672,3.71469,1.8743
674,3.57771,1.84169
676,3.66509,2.01092
678,4.19676,2.12579
680,4.04086,2.18019
682,3.75519,2.10158
684,4.53921,2.19255
686,4.53921,2.19255
688,4.75669,2.23021
690,4.57574,2.31069
692,5.00052,2.40936
694,5.2718,2.5228
696,4.34955,2.26127
698,5.03051,2.38972
700,4.73383,2.25283
702,4.73383,2.25283
704,4.98522,2.27737
706,5.14262,2.67862
708,4.12849,2.3156
710,4.20463,2.19372
712,4.52513,2.29875
714,4.70909,2.25151
716,4.32301,2.17206
718,3.9229,2.03859
720,3.9229,2.03859
722,4.14381,2.11384
724,4.14381,2.11384
726,3.93348,1.83916
728,4.17633,2.1372
730,3.99511,2.04342
732,3.99511,2.04342
734,4.11894,1.96134
736,3.78168,1.76103
738,3.78168,1.76103
740,3.9403,1.88071
742,4.47455,2.27641
744,4.80346,2.68952
746,4.54878,2.38205
748,4.54878,2.38205
750,4.74222,2.50977
752,4.74222,2.50977
754,5.04532,2.54502
756,4.89086,2.50447
758,4.89086,2.50447
760,4.96773,2.46474
762,4.83116,2.42246
764,4.76895,2.29146
766,4.71292,2.62531
768,5.38827,2.62827
770,5.16358,2.7929
772,5.33953,2.6119
774,5.92976,2.69067
776,5.92976,2.69067
778,5.46264,2.78714
780,5.39394,2.63124
782,5.28143,2.57062
784,5.31593,2.38592
786,5.63006,2.60295
788,4.74038,2.36384
790,4.53606,2.32461
792,4.24522,2.24088
794,3.92727,2.10936
796,3.92727,2.10936
798,4.08403,2.15429
800,4.61188,2.32566
802,4.31343,2.1298
804,4.31738,2.27465
806,4.4079,2.16543
808,4.34824,2.17961
810,4.04009,2.08765
812,4.0959,2.32099
814,4.08171,2.07517
816,4.20948,2.0687
818,4.11565,2.09862
820,4.54687,2.27164
822,4.45368,2.22682
824,5.0423,2.19998
826,4.87294,2.25226
828,4.84328,2.20934
830,4.83827,2.24574
832,4.89631,2.32221
834,4.72779,2.46944
836,4.56819,2.38882
838,4.77009,2.48507
840,4.61526,2.48541
842,4.61276,2.38859
844,4.70044,2.32871
846,5.30301,2.48846
848,4.75758,2.49851
850,5.0719,2.32444
852,4.55469,2.58041
854,4.87741,2.53524
856,4.87741,2.53524
858,4.6701,2.40033
860,4.65927,2.2688
862,4.3581,2.2559
864,4.24633,2.05516
866,4.24633,2.05516
868,4.45164,2.06027
870,4.74932,2.36587
872,4.74932,2.36587
874,4.91491,2.38149
876,3.97878,1.94132
878,4.27889,2.18786
880,4.22215,2.09131
882,3.79218,2.06305
884,4.71041,2.11415
886,4.61274,2.14435
888,4.25074,2.18146
890,4.54197,2.29498
892,4.20974,2.20711
894,4.14121,2.04766
896,4.14121,2.04766
898,4.14121,2.04766
900,4.52186,2.33114
902,4.99574,2.43116
904,4.69946,2.549
906,4.69946,2.549
908,4.85756,2.49337
910,4.8443,2.44925
912,5.14298,2.75093
914,4.90316,2.52065
916,4.83792,2.3962
918,4.50705,2.3005
920,4.26182,2.46432
922,4.49113,2.259
924,4.49113,2.259
926,4.32022,2.23956
928,4.75911,2.33109
930,4.74181,2.34103
932,4.3193,2.43431
934,4.3193,2.43431
936,4.3193,2.43431
938,4.69172,2.34088
940,4.55685,2.41265
942,4.80742,2.34732
944,4.37094,2.29188
946,4.66885,2.28344
948,4.91566,2.32517
950,5.06659,2.41696
952,5.48079,2.42495
954,4.97675,2.43723
956,4.16752,2.32738
958,4.16752,2.32738
960,4.16752,2.32738
962,4.03065,2.26822
964,4.76355,2.62346
966,4.76355,2.62346
968,4.88167,2.37747
970,4.15756,1.92457
972,4.55687,2.06185
974,4.75113,2.1352
976,5.13601,2.69055
978,4.97327,2.50187
980,5.09784,2.48344
982,5.08985,2.49716
984,5.08985,2.49716
986,4.94632,2.55362
988,4.3346,2.29665
990,4.28554,2.00846
992,3.9253,1.91107
994,4.12598,1.95829
996,4.1397,2.16697
998,4.71821,2.32287
1000,4.71821,2.32287
1002,4.71821,2.32287
1004,4.71821,2.32287
1006,4.03905,2.07272
1008,4.67429,2.15652
1010,3.80291,2.01009
1012,3.93711,2.03765
1014,4.14188,2.16574
1016,4.65075,2.28753
1018,4.42127,1.99306
1020,5.03242,2.39895
1022,5.11971,2.38117
1024,4.75221,2.28602
1026,4.47234,2.15087
1028,4.09154,2.01711
1030,4.19479,1.99181
1032,4.19479,1.99181
1034,4.41936,2.1255
1036,4.09081,2.15917
1038,4.53339,2.19684
1040,4.25897,2.21714
1042,4.54438,2.12944
1044,4.7534,2.2351
1046,4.61226,2.44676
1048,4.61226,2.44676
1050,4.40068,2.46225
1052,4.43912,2.27136
1054,4.19464,2.2594
1056,4.19464,2.2594
1058,4.42477,2.25073
1060,4.02865,2.17572
1062,3.96882,1.97713
1064,4.09012,2.07584
1066,4.44789,2.169
1068,4.40723,2.05486
1070,4.20033,2.11128
1072,4.47852,2.11011
1074,4.47852,2.11011
1076,4.01268,1.99659
1078,4.57589,2.05031
1080,4.04834,1.96601
1082,4.04834,1.96601
1084,4.24699,2.04208
1086,4.84799,2.20192
1088,4.76468,2.27927
1090,3.89884,2.0347
1092,3.56583,2.02776
1094,4.059,2.04493
1096,4.059,2.04493
1098,3.45656,1.82351
1100,3.20866,1.92734
1102,3.48646,1.75806
1104,3.95143,1.93818
1106,3.56463,1.71571
1108,3.29072,1.66485
1110,3.29072,1.66485
1112,3.58674,1.78971
1114,3.71264,2.01938
1116,3.48868,1.9416
1118,3.87173,2.06237
1120,3.81322,2.10956
1122,4.45766,2.06164
1124,4.55054,2.15875
1126,4.41503,2.30665
1128,4.11964,2.25216
1130,4.46122,1.85002
1132,3.81001,1.84286
1134,3.5433,1.87505
1136,3.50493,1.80014
1138,3.48384,1.84763
1140,3.63111,1.68226
1142,3.30835,1.64057
1144,3.56429,1.63921
1146,3.56429,1.63921
1148,3.8342,1.94085
1150,3.9342,1.95009
1152,3.9342,1.95009
1154,4.25066,2.13965
1156,4.19181,1.97971
1158,4.19181,1.97971
1160,4.39758,2.05327
1162,4.74466,2.28978
1164,4.52283,2.16153
1166,4.62538,2.20138
1168,3.94844,1.8949
1170,4.14886,1.93398
