MDTU,S_B
912,0.565703
914,0.54885
916,0.541689
918,0.555475
920,0.546703
922,0.544488
924,0.544488
926,0.53031
928,0.575213
930,0.569976
932,0.545209
934,0.545209
936,0.545209
938,0.582882
940,0.552248
942,0.538538
944,0.566713
946,0.544799
948,0.540763
950,0.532461
952,0.52617
954,0.538837
956,0.538441
958,0.538441
960,0.538441
962,0.556354
964,0.541151
966,0.541151
968,0.576401
970,0.518253
972,0.523399
974,0.548733
976,0.570663
978,0.557651
980,0.561347
982,0.563528
984,0.563528
986,0.566079
988,0.565076
990,0.566167
992,0.564567
994,0.535785
996,0.570269
998,0.573993
1000,0.573993
1002,0.573993
1004,0.573993
1006,0.571231
1008,0.559734
1010,0.534802
1012,0.553379
1014,0.563984
1016,0.579591
1018,0.534568
1020,0.572529
1022,0.568765
1024,0.543514
1026,0.553265
1028,0.557388
1030,0.560411
1032,0.560411
1034,0.558804
1036,0.530958
1038,0.545765
1040,0.558404
1042,0.549064
1044,0.528204
1046,0.57744
1048,0.57744
1050,0.555357
1052,0.574634
1054,0.548004
1056,0.548004
1058,0.551413
1060,0.559553
1062,0.521665
1064,0.523794
1066,0.510792
1068,0.544915
1070,0.526273
1072,0.542073
1074,0.542073
1076,0.534481
1078,0.535079
1080,0.521965
1082,0.521965
1084,0.511949
1086,0.533431
1088,0.557302
1090,0.559212
1092,0.538749
1094,0.542056
1096,0.542056
1098,0.551795
1100,0.512425
1102,0.535203
1104,0.532454
1106,0.51829
1108,0.539398
1110,0.539398
1112,0.530544
1114,0.564169
1116,0.551838
1118,0.578042
1120,0.545678
1122,0.547733
1124,0.541496
1126,0.512932
1128,0.494511
1130,0.529182
1132,0.530895
1134,0.518168
1136,0.529071
1138,0.534332
1140,0.55189
1142,0.533843
1144,0.550934
1146,0.550934
1148,0.541344
1150,0.57682
1152,0.57682
1154,0.567937
1156,0.57244
1158,0.57244
1160,0.533698
1162,0.553858
1164,0.520004
1166,0.54352
1168,0.522005
1170,0.528297
1172,0.553416
1174,0.578398
1176,0.569338
1178,0.554996
1180,0.560723
1182,0.554682
1184,0.543972
1186,0.536672
1188,0.546535
1190,0.52477
1192,0.52477
1194,0.564621
1196,0.555857
1198,0.546259
1200,0.521005
1202,0.532034
1204,0.556302
1206,0.567984
1208,0.561189
1210,0.549637
1212,0.549504
1214,0.549504
1216,0.566265
1218,0.566265
1220,0.529103
1222,0.56222
1224,0.547782
1226,0.547782
1228,0.515259
1230,0.524669
1232,0.545424
1234,0.570005
1236,0.554978
1238,0.549478
1240,0.565956
1242,0.570524
1244,0.569504
1246,0.557582
1248,0.542473
1250,0.521006
1252,0.521006
1254,0.5443
1256,0.5443
1258,0.543021
1260,0.570206
1262,0.570206
