MDTU,min_min,min_max,max_min,max_max
266,-4.66823,0.961899,-0.286104,1.34489
268,-3.80255,0.849237,-0.211006,1.27378
270,-4.63404,0.886999,-0.350079,1.30594
272,-3.93111,0.920944,-0.347833,1.29727
274,-3.98886,0.902954,-0.305179,1.33291
276,-4.33196,0.865712,-0.452763,1.38201
278,-4.33196,0.865712,-0.452763,1.38201
280,-6.00656,0.906042,-0.273747,1.27619
282,-4.89029,0.853754,-0.335202,1.36565
284,-4.89029,0.853754,-0.335202,1.36565
286,-4.21668,0.814634,-0.448295,1.28889
288,-5.68173,0.80271,-0.487833,1.29359
290,-3.95337,0.819423,-0.227459,1.3369
292,-3.95337,0.819423,-0.227459,1.3369
294,-5.80321,0.824152,-0.518763,1.28739
296,-5.80321,0.824152,-0.518763,1.28739
298,-4.17699,0.821988,-0.482986,1.25843
300,-5.86402,0.78574,-0.577126,1.23912
302,-5.86402,0.78574,-0.577126,1.23912
304,-4.492,0.752347,-0.403722,1.23195
306,-3.99311,0.713094,-0.307894,1.15127
308,-3.55869,0.68353,-0.603816,1.12897
310,-4.63785,0.691421,-0.55955,1.20147
312,-4.38939,0.673861,-0.340617,1.19124
314,-3.91085,0.867817,-0.235949,1.27703
316,-3.88578,0.584633,-0.30342,1.16204
318,-4.32372,0.7146,-0.362542,1.21558
320,-4.42928,0.681145,-0.399125,1.21714
322,-4.64956,0.725147,-0.43919,1.24049
324,-4.64699,0.742353,-0.326431,1.19894
326,-4.82619,0.708452,-0.398395,1.18955
328,-4.39903,0.749758,-0.455837,1.28842
330,-4.32377,0.7221,-0.295406,1.30384
332,-4.32377,0.7221,-0.295406,1.30384
334,-4.32377,0.7221,-0.295406,1.30384
336,-3.79306,0.653677,-0.303683,1.1621
338,-4.87687,0.783427,-0.303936,1.26581
340,-4.93536,0.634691,-0.243872,1.1835
342,-4.39029,0.66403,-0.217835,1.24277
344,-3.74991,0.534498,-0.326321,1.14886
346,-5.13979,0.527489,-0.407122,1.10117
348,-3.7042,0.600479,-0.28805,1.1238
350,-6.85053,0.603853,-0.345871,1.23781
352,-3.71045,0.501042,-0.383608,1.04075
354,-4.97164,0.636862,-0.278068,1.19785
