t,deltaS
1,-2.011
2,-1.624
3,-1.326
4,-0.5085
5,-0.535
6,0.2464
7,0.4949
8,-0.1248
9,0.2996
10,-0.01681
11,0.2924
12,-0.6745
13,1.245
14,0.6099
15,-0.2076
16,-0.8714
17,0.2063
18,0.6204
19,0.029
20,-0.03044
21,0.04143
22,0.4861
23,-0.101
24,-0.1086
25,0.0815
26,-0.3479
27,0.321
28,0.1444
29,0.1732
30,0.09747
31,-0.314
32,-0.3849
33,0.3451
34,0.6397
35,-0.5449
36,-0.2199
37,-0.1642
38,-0.04865
39,0.147
40,0.3079
41,0.8809
42,-0.3685
43,-0.5966
44,0.1508
45,0.4685
46,0.1405
47,-0.1335
48,-0.04789
49,-0.415
50,0.2635
51,-0.294
52,0.4283
53,0.08728
54,-0.04331
55,-0.5612
56,0.2379
57,0.4403
58,-0.4362
59,-0.06323
60,0.7142
61,0.09041
62,0.2655
63,-0.5261
64,-0.3097
65,-0.1437
66,0.1852
67,0.378
68,0.05612
69,0.09193
70,-0.1981
71,-0.3678
72,0.3034
73,-0.03759
74,-0.4148
75,-0.2899
76,0.8304
77,0.1206
78,-0.5263
79,0.3542
80,0.1005
81,0.1284
82,-0.3725
83,1.119
84,0.3963
85,0.5917
86,0.1261
87,0.5002
88,-0.1139
89,0.2959
90,-0.4371
91,0.1859
92,-0.1456
93,0.6619
94,0.2206
95,0.3138
96,-0.02446
97,-0.2035
98,0.6399
99,0.7954
100,-0.1915
101,-0.2451
102,0.6101
103,-0.9654
104,0.2783
105,0.04159
106,0.4894
107,-0.5613
108,1.14
109,0.505
110,0.9119
111,1.097
112,0.6326
113,-0.1638
114,0.2014
115,-0.03041
116,0.2776
117,-0.1677
118,0.7583
119,0.5684
120,0.5891
121,0.3282
122,-0.2065
123,0.3032
124,0.407
125,-0.7376
126,0.1169
127,0.1685
128,0.19
129,-0.8431
130,0.4674
131,0.5574
132,0.1934
133,-1.321
134,0.3544
135,0.337
136,0.3178
137,-0.1605
138,-0.5573
139,0.3789
140,0.04831
141,-0.2003
142,0.4989
143,0.5144
144,-0.5852
145,0.3852
146,0.6586
147,-0.2916
148,0.6334
149,0.0323
150,0.487
151,0.6466
152,0.3266
153,0.8565
154,-0.6756
155,-0.5697
156,0.728
157,-0.2248
158,-0.4492
159,-0.5187
160,0.01613
161,0.03891
162,0.2282
163,0.4265
164,-0.1495
165,-0.5755
166,0.502
167,0.1274
168,0.3465
169,-0.1762
170,0.01211
171,-0.2852
172,0.5589
173,-1.105
174,0.2135
175,-0.0522
176,0.1951
177,-0.07644
178,-0.03205
179,0.5705
180,0.2738
181,-0.7305
182,0.2964
183,-0.2787
184,-0.5275
185,0.7929
186,0.6559
187,-0.149
188,0.6176
189,-0.01307
190,-0.3812
191,0.6945
192,0.201
193,0.1769
194,0.3619
195,-0.001034
196,0.3514
197,-0.08477
198,0.3292
199,-0.5287
200,-0.3521
201,0.4927
202,0.3826
203,0.3399
204,-0.725
205,0.3571
206,0.3218
207,0.07236
208,-0.6025
209,0.6169
210,0.4891
211,0.1108
212,-0.1039
213,-0.6814
214,-0.5464
215,0.7833
216,0.1709
217,0.2292
218,0.102
219,0.2754
220,-0.7218
221,0.07092
222,0.08729
223,-0.1282
224,-0.1094
225,0.2113
226,0.4527
227,-0.2972
228,-0.2197
229,-0.3108
230,0.2155
231,-0.3366
232,-0.06663
233,0.3423
234,0.3168
235,0.0155
236,-0.5312
237,0.2188
238,-0.3719
239,0.2206
240,-0.06431
241,-0.08555
242,0.3561
243,-0.1166
244,0.2746
245,-0.0775
246,-0.08918
247,0.4036
248,-0.8217
249,0.09014
250,0.7574
251,0.7016
252,0.2963
253,0.5853
254,-0.476
255,0.5386
256,0.1056
257,0.5362
258,0.874
259,0.361
260,-0.1428
261,0.4796
262,0.3821
263,0.6039
264,0.1665
265,0.7268
266,-0.4153
267,0.1889
268,0.7606
269,-0.1889
270,-0.2481
271,-0.2017
272,-0.4591
273,-0.08466
274,0.1653
275,-0.7317
276,0.5707
277,0.254
278,0.4761
279,0.3594
280,-0.1348
281,-0.06192
282,0.02447
283,-0.3882
284,0.4391
285,-0.4075
286,0.3386
287,-0.619
288,0.2269
289,0.5729
290,0.5853
291,-0.7999
292,0.1758
293,0.1914
294,0.04418
295,0.06635
296,-0.2855
297,0.1249
298,-0.4009
299,-0.5661
300,0.3911
301,0.7123
302,-0.2244
303,0.4308
304,0.003454
305,-0.1209
306,-0.1209
307,-0.01923
308,-0.3162
309,-0.5283
310,0.2729
311,0.2596
312,0.5282
313,-0.456
314,0.5023
315,-0.3327
316,-0.01281
317,0.3087
318,0.5425
319,0.1355
320,-0.291
321,-0.2178
322,-0.1399
323,0.1413
324,0.1015
325,0.6976
326,-0.6984
327,0.2542
328,0.05756
329,0.2984
330,0.09498
331,-0.02225
332,0.2089
333,-0.4942
334,0.825
335,-0.3964
336,-0.3117
337,0.02523
338,0.2922
339,-0.3355
340,0.2314
341,-0.769
342,-0.1008
343,0.5318
344,0.595
345,-0.2615
346,0.0866
347,-0.3038
348,0.1818
349,-0.03747
350,0.3668
351,0.3186
352,0.3327
353,-0.1469
354,0.3681
355,-0.2247
356,0.1943
357,-0.02074
358,-0.2391
359,-0.2004
360,0.7327
361,0.139
362,0.6764
363,0.4463
364,-0.4798
365,0.1425
366,0.6868
367,0.1637
368,-0.06524
369,0.6052
370,0.3617
371,0.44
372,-0.1746
373,-0.6945
374,0.1605
375,-0.1126
376,0.3337
377,0.208
378,0.007344
379,0.521
380,0.4444
381,0.09036
382,-0.4158
383,-0.4091
384,0.1297
385,-0.4969
386,-0.1635
387,-0.1303
388,0.5785
389,0.6637
390,0.01565
391,0.06315
392,0.4717
393,-0.01378
394,-0.009269
395,-0.03738
396,0.1312
397,-0.02599
398,0.5282
399,-0.05929
400,-0.6691
401,0.5933
402,-0.2007
403,-0.1874
404,0.07379
405,0.1357
406,-0.1221
407,-0.1623
408,0.2182
409,0.7472
410,-0.8001
411,0.2523
412,0.1171
413,-0.1591
414,-0.1826
415,-0.1976
416,0.595
417,-0.3277
418,0.3896
419,-0.03524
420,-0.4084
421,-0.421
422,0.3094
423,0.255
424,-0.09783
425,-0.002198
426,-0.7584
427,-0.4552
428,0.5733
429,0.1422
430,0.5052
431,0.04098
432,-0.06649
433,0.1515
434,0.3892
435,-1.113
436,0.1781
437,0.7197
438,-0.5952
439,-0.3395
440,0.2713
441,0.5326
442,-0.5324
443,-0.004617
444,-0.04576
445,-0.3734
446,-0.1639
447,-0.02688
448,0.6245
449,0.6496
450,1.124
451,-0.7279
452,-0.363
453,0.3669
454,0.3925
455,0.3674
456,-0.3392
457,0.7728
458,-0.08294
459,-0.4522
460,-0.02344
461,0.1334
462,0.343
463,0.7734
464,-0.5174
465,0.1616
466,-0.3253
467,0.6108
468,0.6738
469,-0.04698
470,-0.1068
471,0.3597
472,-0.5155
473,-0.02995
474,0.1224
475,-0.1864
476,-1.011
477,0.3542
478,-0.1975
479,0.5315
480,0.5924
481,0.1542
482,-0.1482
483,0.1427
484,-0.06365
485,0.6389
486,-0.3425
487,-0.000217
488,0.02174
489,-0.4502
490,-0.1429
491,0.4624
492,0.4068
493,-0.1692
494,-0.1501
495,0.3762
496,-0.2102
497,0.3092
498,-0.302
499,-0.72
500,0.6657
501,0.9523
502,0.5577
503,0.2703
504,0.1089
505,0.8691
506,-0.3566
507,0.1077
508,0.01653
509,0.07251
510,-0.293
511,-0.2823
512,0.1908
513,-0.1185
514,-0.1661
515,0.09529
516,0.5444
517,0.9664
518,0.2016
519,0.1215
520,-0.06854
521,-0.0003334
522,0.1862
523,-1.264
524,0.4917
525,-0.2208
526,-0.1254
527,0.6398
528,0.2647
