MDTU,|Tr(Lx)|
2,0.158233
4,0.0420193
6,0.0162176
8,0.0754519
10,0.0770585
12,0.0331979
14,0.0331979
16,0.0103093
18,0.102897
20,0.0536785
22,0.0536785
24,0.102784
26,0.102784
28,0.0580386
30,0.00927804
32,0.127545
34,0.0606064
36,0.0606064
38,0.0328614
40,0.0299575
42,0.116902
44,0.0759776
46,0.0778688
48,0.0728447
50,0.0467038
52,0.0533909
54,0.0570799
56,0.11707
58,0.126871
60,0.128815
62,0.167267
64,0.027624
66,0.170849
68,0.0638047
70,0.0733579
72,0.0948283
74,0.00725511
76,0.0855121
78,0.11673
80,0.11673
82,0.105779
84,0.0918634
86,0.111937
88,0.0437716
90,0.0278367
92,0.0311625
94,0.0512839
96,0.0830235
98,0.0850393
100,0.0675892
102,0.100362
104,0.0428731
106,0.0460259
108,0.0853689
110,0.0798125
112,0.0798125
114,0.0601947
116,0.0731941
118,0.0311217
120,0.0875506
122,0.0480704
124,0.0434346
126,0.0483593
128,0.0307549
130,0.100714
132,0.0663161
134,0.178674
136,0.0208157
138,0.0783255
140,0.136971
142,0.114606
144,0.0637331
146,0.0480974
148,0.0500405
150,0.0199864
152,0.054069
154,0.0558514
156,0.0488108
158,0.105772
160,0.0668085
162,0.0399707
164,0.0290629
166,0.0290629
168,0.0290629
170,0.0838974
172,0.0770257
174,0.0770257
176,0.046866
178,0.167328
180,0.058837
182,0.139609
184,0.0308441
186,0.0308441
188,0.06318
190,0.06318
192,0.121471
194,0.108331
196,0.108331
198,0.108331
200,0.122366
202,0.0754046
204,0.0691027
206,0.0659421
208,0.0594665
210,0.0594665
212,0.0594665
214,0.0334655
216,0.0334655
218,0.0334655
220,0.0334655
222,0.0334655
224,0.0334655
226,0.10692
228,0.0489026
230,0.0322631
232,0.152783
234,0.0411776
236,0.0411776
238,0.0411776
240,0.0697017
242,0.02779
244,0.0972737
246,0.0224755
248,0.0250068
250,0.0262103
252,0.0961376
254,0.0655987
256,0.0774988
258,0.0794173
260,0.0308215
262,0.0308215
264,0.0286657
266,0.173153
268,0.0687053
270,0.0872492
272,0.0645155
274,0.095186
276,0.0837152
278,0.0837152
280,0.121249
282,0.0929108
284,0.0929108
286,0.079846
288,0.100225
290,0.0968987
292,0.0968987
294,0.132435
296,0.132435
298,0.0884887
300,0.0443771
302,0.0443771
304,0.0584025
306,0.0833382
308,0.00480391
310,0.0534033
312,0.0620355
314,0.0512191
316,0.12976
318,0.150327
320,0.172668
322,0.0498354
324,0.00370686
326,0.0600073
328,0.0153685
330,0.0406918
332,0.0406918
334,0.0406918
336,0.0532405
338,0.13884
340,0.0369466
342,0.149283
344,0.0545147
346,0.0866772
348,0.095823
350,0.0881884
352,0.124379
354,0.0887873
356,0.0353253
358,0.0629634
360,0.0917997
362,0.0504801
364,0.108835
366,0.0911712
368,0.0650144
370,0.0650144
372,0.0650144
374,0.0233525
376,0.0233525
378,0.0780856
380,0.0136404
382,0.0136404
384,0.0506519
386,0.0918061
388,0.0455379
390,0.088702
392,0.088702
394,0.0647356
396,0.0827705
398,0.0383432
400,0.0496483
402,0.0496483
404,0.100618
406,0.0452141
408,0.0725203
410,0.0725203
412,0.0390615
414,0.0709315
416,0.140839
418,0.0656156
420,0.0476623
422,0.0476623
424,0.0847545
426,0.118891
428,0.0155866
430,0.0155866
432,0.128869
434,0.0408112
436,0.067917
438,0.0542328
440,0.0549107
442,0.0820557
444,0.101294
446,0.0847877
448,0.125949
450,0.0411154
452,0.0185836
454,0.0577924
456,0.0464055
458,0.0396546
460,0.152396
462,0.058748
464,0.079851
466,0.033421
468,0.0814807
470,0.0670604
472,0.143563
474,0.0209361
476,0.0503058
478,0.0893305
480,0.0974163
482,0.0649654
484,0.0996103
486,0.0726078
488,0.11955
490,0.0487309
492,0.0534378
494,0.102737
496,0.0774934
498,0.107772
500,0.107772
502,0.107772
504,0.107772
506,0.0535002
508,0.122294
510,0.122294
512,0.0852317
514,0.0852317
516,0.0387153
518,0.0387153
520,0.10727
522,0.10727
524,0.10727
526,0.10727
528,0.137844
530,0.137844
532,0.0950054
534,0.0697516
536,0.168757
538,0.115766
540,0.103001
542,0.124844
544,0.14644
546,0.110835
548,0.12926
550,0.0668947
552,0.107418
554,0.0792847
556,0.0686713
558,0.114374
560,0.0558116
562,0.0793822
564,0.0893998
566,0.0586767
568,0.0952131
570,0.0423312
572,0.0423312
574,0.080212
576,0.0468784
578,0.0357791
580,0.0427038
582,0.174719
584,0.109274
586,0.108067
588,0.118613
590,0.0406124
592,0.118887
594,0.104313
596,0.0403206
598,0.0714304
600,0.0714304
602,0.122122
604,0.0860944
606,0.0860944
608,0.12722
610,0.114649
612,0.0688956
614,0.0315867
616,0.0481703
618,0.0820946
620,0.111428
622,0.051746
624,0.051746
626,0.14133
628,0.143411
630,0.0271443
632,0.123098
634,0.0130467
636,0.128212
638,0.0735973
640,0.0864188
642,0.100054
644,0.0364546
646,0.104596
648,0.0711297
650,0.0711297
652,0.105984
654,0.063296
656,0.107605
658,0.137508
660,0.0701282
662,0.0930326
664,0.101109
666,0.0208096
668,0.0875006
670,0.0626083
672,0.0427286
674,0.055056
676,0.00919714
678,0.0539963
680,0.0623666
682,0.124271
684,0.0247462
686,0.0247462
688,0.101236
690,0.0360137
692,0.0656175
694,0.120251
696,0.124207
698,0.0786354
700,0.0635912
702,0.0635912
704,0.0569629
706,0.139674
708,0.115794
710,0.0429029
712,0.0894075
714,0.0626616
716,0.111977
718,0.0230459
720,0.0230459
722,0.050076
724,0.050076
726,0.0735008
728,0.0395644
730,0.0223705
732,0.0223705
734,0.0822182
736,0.0377153
738,0.0377153
740,0.0381151
742,0.111359
744,0.0352858
746,0.0778775
748,0.0778775
750,0.0735408
752,0.0735408
754,0.0380432
756,0.0178541
758,0.0178541
760,0.173836
762,0.095429
764,0.0373411
766,0.0947063
768,0.122821
770,0.122298
772,0.0820902
774,0.0137501
776,0.0137501
778,0.0843934
780,0.105722
782,0.0486481
784,0.128131
786,0.0967235
788,0.0637616
790,0.0397971
792,0.0946322
794,0.00607051
796,0.00607051
798,0.132702
800,0.127363
802,0.144006
804,0.063473
806,0.0186465
808,0.0141198
810,0.0350014
812,0.108723
814,0.0440175
816,0.0844995
818,0.0348478
820,0.062281
822,0.0452058
824,0.0777909
826,0.00948215
828,0.175533
830,0.0918386
832,0.070674
834,0.0478713
836,0.0860247
838,0.151552
840,0.170038
842,0.0971559
844,0.0404383
846,0.0884393
848,0.0715447
850,0.175107
852,0.0184869
854,0.0593424
856,0.0593424
858,0.0798629
860,0.0767243
862,0.105702
864,0.070854
866,0.070854
868,0.0708949
870,0.0575865
872,0.0575865
874,0.0569801
876,0.034611
878,0.160084
880,0.0175042
882,0.00795962
884,0.120339
886,0.161736
888,0.0917599
890,0.0660108
892,0.0852947
894,0.111057
896,0.111057
898,0.111057
900,0.170017
902,0.107468
904,0.0294266
906,0.0294266
908,0.0862731
910,0.0738829
912,0.0450832
914,0.0383603
916,0.0498773
918,0.126794
920,0.0406846
922,0.0665366
924,0.0665366
926,0.0943376
928,0.0489945
930,0.0534298
932,0.0864318
934,0.0864318
936,0.0864318
938,0.070454
940,0.0595964
942,0.0915078
944,0.0935279
946,0.116698
948,0.0522516
950,0.0305892
952,0.0277843
954,0.033347
956,0.0235751
958,0.0235751
960,0.0235751
962,0.0780303
964,0.085149
966,0.085149
968,0.107152
970,0.0670553
972,0.100949
974,0.129156
976,0.0522322
978,0.0252494
980,0.0898993
982,0.125708
984,0.125708
986,0.106087
988,0.0669809
990,0.0480715
992,0.0755169
994,0.0437651
996,0.0717538
998,0.0193135
1000,0.0193135
1002,0.0193135
1004,0.0193135
1006,0.10758
1008,0.0649375
1010,0.10765
1012,0.0239142
1014,0.108615
1016,0.129917
1018,0.0156673
1020,0.0145053
1022,0.105421
1024,0.133625
1026,0.110319
1028,0.102095
1030,0.0368089
1032,0.0368089
1034,0.0563987
1036,0.0608527
1038,0.0930153
1040,0.143374
1042,0.00907605
1044,0.0553646
1046,0.0517462
1048,0.0517462
1050,0.0508723
1052,0.0417167
1054,0.2026
1056,0.2026
1058,0.0856916
1060,0.00960725
1062,0.0919529
1064,0.115652
1066,0.0353088
1068,0.107539
1070,0.0427318
1072,0.0754852
1074,0.0754852
1076,0.0523001
1078,0.112253
1080,0.0855332
1082,0.0855332
1084,0.0613898
1086,0.0568936
1088,0.0632483
1090,0.121474
1092,0.134371
1094,0.0246734
1096,0.0246734
1098,0.0720511
1100,0.0309949
1102,0.0473934
1104,0.101732
1106,0.0177649
1108,0.123105
1110,0.123105
1112,0.0683119
1114,0.119645
1116,0.0815316
1118,0.0977331
1120,0.127069
1122,0.118649
1124,0.0686912
1126,0.0545285
1128,0.132109
1130,0.11369
1132,0.04754
1134,0.0808764
1136,0.0435124
1138,0.0575034
1140,0.0803949
1142,0.111967
1144,0.0674747
1146,0.0674747
1148,0.101561
1150,0.0213992
1152,0.0213992
1154,0.00121309
1156,0.117625
1158,0.117625
1160,0.0828564
1162,0.0746617
1164,0.0364226
1166,0.109368
1168,0.0389059
1170,0.113975
1172,0.144435
1174,0.0838935
1176,0.0290246
1178,0.010498
1180,0.103515
1182,0.0267068
1184,0.106244
1186,0.0883423
1188,0.174414
1190,0.07992
1192,0.07992
1194,0.046302
1196,0.0675856
1198,0.0821868
1200,0.123754
1202,0.0867819
1204,0.0723891
1206,0.0616367
1208,0.0589282
1210,0.105142
1212,0.030596
1214,0.030596
1216,0.105717
1218,0.105717
1220,0.0473167
1222,0.0330924
1224,0.0633832
1226,0.0633832
1228,0.117081
1230,0.132411
1232,0.00669597
1234,0.124046
1236,0.18999
1238,0.0622776
1240,0.0670681
1242,0.113099
1244,0.0866893
1246,0.0323588
1248,0.0127483
1250,0.0880215
1252,0.0880215
1254,0.126197
1256,0.126197
1258,0.0799748
1260,0.111388
1262,0.111388
1264,0.0358818
1266,0.0358818
1268,0.0591468
1270,0.059458
1272,0.0506204
1274,0.0326665
1276,0.0168591
1278,0.113044
1280,0.0122644
1282,0.0379201
1284,0.0379201
1286,0.0292752
1288,0.104557
1290,0.0566431
1292,0.0566431
1294,0.0566431
1296,0.0378253
1298,0.0808777
1300,0.0233226
1302,0.0467153
1304,0.0338768
1306,0.0354326
1308,0.0726909
1310,0.0726909
1312,0.12044
1314,0.12044
1316,0.0419689
1318,0.131824
1320,0.0957461
1322,0.0791798
1324,0.0262235
1326,0.0262235
1328,0.0468223
1330,0.116738
1332,0.121713
1334,0.121713
1336,0.0864315
1338,0.0915224
1340,0.016025
1342,0.016025
1344,0.016025
1346,0.13754
1348,0.0526414
1350,0.0965417
1352,0.0683532
1354,0.127273
1356,0.107594
1358,0.114859
1360,0.087269
1362,0.11215
1364,0.187272
1366,0.0751988
1368,0.0751988
1370,0.113168
1372,0.113168
1374,0.113168
1376,0.17848
1378,0.0575432
1380,0.0678138
1382,0.100475
1384,0.0462891
1386,0.0551752
1388,0.0393401
1390,0.0907619
1392,0.177886
1394,0.0806066
1396,0.0828901
1398,0.123299
1400,0.0500149
1402,0.0804931
1404,0.0804931
1406,0.0734679
1408,0.166047
1410,0.100598
1412,0.157682
1414,0.0173858
1416,0.0633452
1418,0.0633452
1420,0.0502139
1422,0.0502139
1424,0.0730011
1426,0.0215763
1428,0.0375494
1430,0.0375494
1432,0.0423006
1434,0.0154279
1436,0.0469414
1438,0.06465
1440,0.110806
1442,0.0881368
1444,0.0881368
1446,0.0407114
1448,0.0535144
1450,0.132764
1452,0.0559163
1454,0.120149
1456,0.126153
1458,0.0805788
1460,0.100629
1462,0.0301343
1464,0.140021
1466,0.0605006
1468,0.0605006
1470,0.0638147
1472,0.00544281
1474,0.00544281
1476,0.0610474
1478,0.103549
1480,0.0887336
1482,0.0551062
1484,0.121245
1486,0.129984
1488,0.0384142
1490,0.0375346
1492,0.0263399
1494,0.0389371
1496,0.0669418
1498,0.0895613
1500,0.138577
