MDTU,ssplaq,stplaq
536,4.09419,1.78414
538,3.39032,2.228
540,3.39032,2.228
542,3.87965,1.73106
544,3.17117,1.62523
546,3.05879,1.4367
548,2.91336,1.50829
550,2.81067,1.1264
552,2.7583,1.1166
554,2.29698,1.21117
556,2.72464,1.51
558,2.84009,1.65205
560,2.31608,1.32569
562,2.31608,1.32569
564,1.82974,0.953579
566,2.85605,1.01353
568,2.01204,0.920972
570,2.68909,1.38506
572,2.42789,1.17461
574,2.68912,1.29916
576,2.68912,1.29916
578,3.02895,1.2211
580,3.02895,1.2211
582,3.33028,1.44806
584,3.11174,1.38835
586,2.25254,1.11095
588,1.95076,1.05761
590,2.64123,0.993803
592,3.34527,1.43679
594,3.34527,1.43679
596,3.01242,1.17394
598,2.33088,1.17408
600,2.7861,1.1959
602,3.48761,1.13923
604,2.42937,1.04653
606,2.14616,1.31171
608,2.7177,1.35024
610,2.00304,0.946972
612,2.00304,0.946972
614,1.64532,0.843338
616,1.54349,0.783516
618,1.46141,0.651386
620,1.7987,0.592025
622,1.7987,0.592025
624,1.97222,0.667554
626,1.72686,0.784211
628,2.53443,1.01492
630,2.1664,1.40351
632,3.04336,1.14881
634,2.80719,1.03319
636,3.93955,1.14871
638,3.93955,1.14871
640,2.77679,1.40107
642,2.25557,1.69641
644,3.19928,1.75724
646,3.7198,2.30554
648,3.27052,1.69564
650,3.69284,1.81724
652,3.85498,1.65961
654,3.85498,1.65961
656,3.85498,1.65961
658,2.11254,1.55957
660,3.23342,1.46028
662,5.15651,2.14767
664,4.33851,1.72172
666,5.41597,2.17606
668,5.55215,2.84275
670,5.90433,2.30988
672,6.94293,2.16469
674,6.7315,1.88361
676,4.41118,2.13391
678,5.2892,2.84129
680,6.48401,3.3357
682,5.83072,4.58394
684,6.93639,3.97459
686,6.62565,4.07072
688,6.86843,4.55526
690,7.70395,3.65591
692,7.27331,3.4155
694,7.02748,3.6789
696,6.98682,3.22124
698,5.55962,3.62366
700,7.45921,4.1954
702,7.70527,4.05681
704,7.11609,3.4883
706,7.83103,3.78498
708,5.93466,3.34723
710,5.55888,3.83918
712,5.35451,2.71297
714,7.84771,2.8163
716,6.65706,3.00457
718,4.84731,3.25148
720,5.29608,3.22997
722,4.87784,2.12764
724,3.85233,2.51731
726,3.84289,2.65334
728,5.0837,2.89963
730,4.29372,2.92166
732,2.92111,1.92242
734,2.92111,1.92242
736,2.46357,1.94901
738,2.86809,2.01039
740,1.83234,1.31996
742,3.13826,1.5213
744,3.13826,1.5213
746,2.73924,1.25293
748,2.73924,1.25293
750,3.06461,1.34604
752,2.6239,1.73954
754,2.6239,1.73954
756,1.36909,0.820422
758,1.79712,0.77576
760,2.14947,0.771486
762,1.47052,0.462756
764,0.984076,0.345622
766,0.688339,0.343544
768,0.509548,0.339828
770,0.59755,0.322422
772,0.717096,0.24769
774,0.427743,0.137769
776,0.433076,0.318643
778,0.433076,0.318643
780,0.291211,0.186108
782,0.512597,0.250921
784,0.715825,0.256832
786,0.715825,0.256832
788,0.945343,0.357661
790,0.945343,0.357661
792,0.945343,0.357661
794,0.822921,0.361602
796,0.887224,0.547053
798,0.503338,0.324021
800,0.520101,0.362392
802,0.520101,0.362392
804,0.607326,0.379209
806,0.815654,0.428074
808,0.952673,0.411088
810,0.784456,0.395198
812,0.795666,0.428232
814,1.02707,0.423105
816,1.19823,0.510549
818,1.16854,0.543264
820,1.14048,0.57987
822,1.44412,0.882303
824,1.62557,0.686097
826,1.12495,0.552876
828,1.12495,0.552876
830,0.983938,0.383278
832,1.2516,0.39635
834,1.10238,0.586241
836,1.00568,0.469641
838,1.01452,0.628324
840,1.18555,0.457269
842,1.56638,0.656445
844,1.27478,0.605196
846,0.826173,0.32919
848,0.937989,0.423346
850,0.877741,0.45752
852,0.838165,0.372344
854,0.778272,0.508193
856,0.818589,0.341578
858,1.03151,0.475799
860,1.33996,0.357461
862,1.08676,0.442815
864,1.1316,0.47914
866,0.726619,0.462254
868,0.953069,0.392597
870,0.997662,0.577406
872,1.42019,0.565645
874,1.11246,0.427544
876,1.06987,0.627314
878,1.16872,0.60479
880,1.16872,0.60479
882,1.16872,0.60479
884,1.16872,0.60479
886,1.16872,0.60479
888,1.16872,0.60479
890,1.20346,0.881614
892,0.966202,0.592236
