MDTU,min_width,max_width
550,1.68485,1.16267
552,1.75771,1.08124
554,1.64878,1.12639
556,1.70453,1.10394
558,1.7243,1.14175
560,1.68577,1.11789
562,1.68577,1.11789
564,1.76838,1.12371
566,1.68748,1.09779
568,1.83331,1.06426
570,1.62717,1.02076
572,1.7554,1.09224
574,1.76768,1.19286
576,1.76768,1.19286
578,1.66188,1.12536
580,1.66188,1.12536
582,1.64502,1.12807
584,1.56983,1.06896
586,1.62374,1.05739
588,1.63606,1.07594
590,1.64558,1.0986
592,1.7035,1.03399
594,1.7035,1.03399
596,1.49091,1.0746
598,1.78646,1.11033
600,1.62368,1.11214
602,1.69808,1.16838
604,1.638,1.03232
606,1.67102,1.02044
608,1.59855,1.00964
610,1.6035,1.06773
612,1.6035,1.06773
614,1.63354,1.07328
616,1.65516,1.02231
618,1.49923,1.00199
620,1.57739,1.01454
622,1.57739,1.01454
624,1.57856,0.997129
626,1.60354,1.02954
628,1.64622,1.04099
630,1.58723,1.04162
632,1.73129,1.11769
634,1.72518,1.17872
636,1.66316,1.12659
638,1.66316,1.12659
640,1.62053,1.012
642,1.66513,1.12875
644,1.81173,1.13438
646,1.73346,1.15678
648,1.68081,1.13037
650,1.64636,1.14041
652,1.68392,1.17892
654,1.68392,1.17892
656,1.68392,1.17892
658,1.79145,1.21011
660,1.84431,1.13631
662,1.74136,1.19224
664,1.83179,1.23466
666,1.86761,1.25977
668,1.78987,1.21103
670,1.80053,1.25693
672,1.86243,1.22045
674,2.00434,1.23013
676,1.77728,1.25987
678,1.76519,1.22885
680,1.83051,1.25165
682,1.92585,1.27622
684,1.77512,1.28555
686,1.86195,1.24538
688,1.94338,1.26496
690,1.82827,1.29738
692,1.83813,1.34604
694,2.0558,1.28357
696,1.94062,1.37863
698,1.91473,1.35498
700,1.95116,1.31619
702,1.96024,1.2858
704,1.84708,1.29911
706,1.91948,1.31439
708,1.88581,1.31738
710,1.88402,1.32657
712,1.83163,1.32866
714,2.06349,1.30684
716,1.93993,1.29984
718,1.92839,1.29061
720,1.86236,1.31284
722,1.84169,1.29504
724,2.0554,1.3397
726,1.77771,1.23185
728,1.83183,1.21757
