ReTr(Lx),ImTr(Lx)
0.000459276,0.00091375
0.000459276,0.00091375
0.00459331,-0.00193729
0.00459331,-0.00193729
-0.0056061,0.00319392
-0.00327419,0.000765375
0.00340033,-0.0096603
0.000444577,-0.001526
0.000444577,-0.001526
0.00438942,0.00398194
0.00438942,0.00398194
0.0011481,0.0058745
0.00150047,-0.00124559
0.00150047,-0.00124559
-0.00293164,0.00535
-0.00132903,0.00477236
0.000382893,-0.000119386
0.00466684,0.00139391
-0.00013565,-0.00425672
0.0071236,-0.00841895
0.00736985,0.00506245
0.00514705,0.00365083
0.00313027,-0.000159341
-0.000213131,-0.00333218
-0.000213131,-0.00333218
0.00072395,0.000610665
0.00396403,-0.00143496
-0.000173124,-0.00175106
-0.00129594,0.00615475
0.0016014,0.005594
-0.00098557,0.000871815
-0.00098557,0.000871815
-0.00190795,0.00621615
-0.00190795,0.00621615
-0.0069428,-0.00120261
0.0059311,-0.00132087
0.000267932,0.00384549
0.00170477,5.69595e-05
0.00964335,0.000664885
0.0060551,0.0087845
0.0060551,0.0087845
-0.00424702,0.0101011
0.00129402,-0.00051602
-0.000288966,0.00088061
0.0063766,0.000106416
-0.00202826,-0.00336251
-0.00262057,0.00195786
0.000962075,-0.0126188
-0.00465723,0.00383566
-0.00465723,0.00383566
0.006785,0.00029739
-0.00054164,0.00070935
-0.000198997,-0.00392596
-0.00739085,-0.00070615
-0.00739085,-0.00070615
-0.00151011,0.0095841
0.00285954,5.228e-05
-0.002518,-0.00349693
-0.000455871,0.00370333
0.00059584,-0.00331087
0.00096645,0.00137547
0.0096811,0.0070059
0.0096811,0.0070059
0.00325813,0.0137284
-6.73155e-05,0.00183808
0.00436038,-0.0018804
0.00722245,-0.00226358
-0.00409844,0.00298409
-0.00202079,-0.0090317
0.00332101,0.000862935
0.00332101,0.000862935
0.00332101,0.000862935
-0.00094246,0.000505595
-0.0085148,0.00393492
-0.0082874,-0.0144671
0.00223398,0.0057603
0.00379978,0.00596465
-0.00128355,-0.00689445
-0.00237726,0.00094677
0.0117546,0.0087577
0.00737785,0.0072703
-0.00177362,0.0007083
0.00234968,0.00501715
0.00234598,-0.00246889
0.000655065,0.00181376
0.0056507,0.00446802
0.00337908,-0.00105057
0.00906845,0.0056828
-0.00284792,0.0086638
-0.00345998,-0.00123128
0.0068772,-0.00417578
0.00343,-4.4344e-05
-0.00125786,0.00050754
0.00870935,0.00180055
-0.00214401,0.0036735
-0.00243164,0.00172791
0.00197246,-0.00894805
0.002529,-0.0017848
-0.00406982,0.00127101
-0.00294993,-0.000833385
-0.00135695,-0.00289033
-0.00353844,0.00246881
0.00067117,-0.000491572
0.00031624,-0.0027309
8.1634e-05,-0.00160277
-0.000922695,-4.5493e-05
0.000297741,-0.00412345
-0.000555215,-0.0056522
-0.00526495,0.00466922
-0.00324149,-0.00111081
-0.00324149,-0.00111081
0.00213294,0.0037859
-0.00079851,3.38368e-05
-0.00270898,-0.000366318
-0.00109535,-0.000351215
-0.00109535,-0.000351215
-0.00145539,-0.00180378
-0.00145539,-0.00180378
-0.0057747,-0.00498226
-0.00343658,-0.000208704
-0.00343658,-0.000208704
-0.00016608,0.00133738
-0.00132909,-0.00414714
0.0012204,0.00274753
-0.00754605,-0.000694985
-0.00607925,-0.0074873
0.00115669,0.0032262
0.00242118,0.00324875
0.00227552,-0.00165298
-0.0061104,-0.00656225
0.00348413,-0.00642385
-0.000604215,-0.0053164
-0.000604215,-0.0053164
0.00057715,0.00203732
-0.00126156,-0.00268053
-0.0052727,0.00854145
-0.0052727,0.00854145
-0.00945,0.00478536
-0.00945,0.00478536
-0.00945,0.00478536
-0.00207718,0.00746645
0.00435365,0.000199339
-0.000535125,0.00350143
-0.000909675,-0.0020276
-0.000909675,-0.0020276
0.00107553,0.000558255
0.00023307,0.00199118
-0.00087753,0.00283075
-0.00551225,0.00143728
0.00302084,-0.000260785
-0.000434163,0.00395641
-0.00177957,-0.0017089
-0.00129087,0.000296619
0.00289828,0.000456924
0.0091197,-0.00108451
0.0019737,-0.0087168
-0.00480089,0.00334292
-0.00480089,0.00334292
0.00121123,-0.00104547
-0.00307457,-0.00346363
0.0035273,0.00357994
0.00496686,4.63553e-05
0.00121979,-0.00508125
-0.00274337,0.00166627
0.00287231,-0.00194329
0.00214003,-0.00175816
0.00698675,0.00172014
-0.00672145,-0.0034731
-0.00588955,-0.00152023
-0.000316889,-0.00201132
-1.56161e-05,0.00130929
-0.00190368,-0.00228547
0.000331169,0.0057978
-0.00132671,-0.0154022
0.00368597,-0.0137965
-0.00140222,0.00157107
-0.00259261,-0.00039258
-0.0066657,-0.0063537
-0.00239937,0.0052136
0.007166,-0.000212081
1.09747e-05,0.00126952
0.00435907,-0.000526075
0.00196465,-0.00386374
0.00196465,-0.00386374
0.00196465,-0.00386374
0.00196465,-0.00386374
0.00196465,-0.00386374
0.00196465,-0.00386374
0.00143071,0.00129754
-0.00317894,-0.0057876
-0.00317894,-0.0057876
0.00251184,-0.0027777
-0.00240149,-0.000487728
0.000475356,0.00145589
-0.00249192,0.00235143
-0.000610945,-0.0002303
-0.000610945,-0.0002303
-0.000610945,-0.0002303
-0.000610945,-0.0002303
0.00327787,-0.00265149
0.00327787,-0.00265149
0.00281739,0.00112704
-0.000425825,0.00324498
-0.000425825,0.00324498
0.000214687,-0.00717235
-0.00251242,0.00206637
-0.00251242,0.00206637
-0.00251242,0.00206637
-0.00251242,0.00206637
0.00067449,-0.00672145
-0.00153751,0.0022386
0.0050931,0.00187449
-0.0076859,0.00412308
0.00178268,0.0037293
0.00178268,0.0037293
0.00385595,-0.00225371
0.00376658,0.00288915
0.00376658,0.00288915
0.00428542,-0.00193234
0.00673275,-0.0074696
0.00673275,-0.0074696
-0.000488639,-0.00076731
-0.00247368,0.000508055
-0.000469337,0.00115424
-0.00148223,0.000249347
-0.00087918,-0.00331404
0.00962945,-0.0114515
-0.00119757,0.00193063
0.00248452,-0.00510205
0.0085304,-0.00184051
0.00086441,0.00348205
0.00226389,-0.00082289
-0.01636,0.0062178
0.00068061,0.00142658
0.00047942,-0.00202009
-0.00249509,0.00460243
0.00100655,-0.00170637
-0.00403469,-0.000547535
0.0067595,-0.00485706
-0.00445339,0.00155543
0.0023498,-0.00223969
0.00559635,-0.00065617
-0.00524585,-0.006253
-0.00524585,-0.006253
-0.00077035,-0.00468606
-0.0013524,-0.000145369
-0.00411684,-0.00271721
0.00470947,-0.0090538
0.00111882,-0.00678295
-0.00220967,2.18568e-05
-0.00093143,-0.00112524
-0.00093143,-0.00112524
0.00776335,0.00505055
0.00310454,0.0072641
0.0081696,-0.00324466
-0.00709445,0.00549875
-0.00175962,0.0030807
-0.000707385,0.00494764
-0.00386434,-0.00266885
0.00199411,-0.00145606
0.00199411,-0.00145606
-0.0063555,0.000508435
-0.0063555,0.000508435
-0.0063555,0.000508435
-0.0063555,0.000508435
-0.0063555,0.000508435
-0.00276723,-0.00346658
-0.00276723,-0.00346658
0.00295342,-0.000471878
0.000328963,0.00274825
