MDTU,|det-1|^2,1-Re(det),Im(det)
1948,0.999992,0.999996,-1.89915e-05
1950,1,1,-3.92324e-06
1952,1,1,-1.27067e-05
1954,1,1,-1.27067e-05
1956,1.00006,1.00003,1.83734e-05
1958,1.00002,1.00001,-1.30544e-05
1960,1.00001,1.00001,-1.80723e-05
1962,0.999966,0.999983,-1.41049e-05
1964,0.999995,0.999998,-1.15441e-05
1966,1.00001,1.00001,7.50589e-06
1968,0.999981,0.999991,-1.57067e-07
1970,1,1,9.45555e-06
1972,0.999992,0.999996,1.21006e-05
1974,1.00001,1.00001,-3.91382e-06
1976,0.999994,0.999997,3.1637e-06
1978,1,1,-2.37908e-06
1980,0.999989,0.999994,-1.19609e-05
1982,0.999996,0.999998,1.62272e-06
1984,0.999996,0.999998,1.62272e-06
1986,1.00001,1,-8.39975e-06
1988,1.00001,1.00001,-5.06887e-06
1990,1.00001,1.00001,-5.06887e-06
1992,1.00001,1,3.98032e-07
1994,1.00001,1,3.98032e-07
1996,1.00001,1,3.98032e-07
1998,1.00001,1.00001,1.76196e-05
2000,1.00005,1.00002,2.75801e-05
