t,deltaS
439,-0.8039
440,0.6789
441,1.619
442,0.9532
443,0.9342
444,0.8894
445,-0.1015
446,0.8775
447,0.8162
448,0.4142
449,-0.6745
450,0.9905
451,-0.1855
452,0.2038
453,0.4654
454,0.4851
455,0.1569
456,0.2668
457,0.4718
458,-0.3897
459,0.2767
460,0.2859
461,0.223
462,-0.3771
463,1.036
464,0.8062
465,1.31
466,1.138
467,-0.5716
468,0.09921
469,0.2188
470,0.187
471,0.4779
472,0.1637
473,-0.5458
474,0.5574
475,-0.8072
476,0.6791
477,0.1438
478,0.3669
479,0.07675
480,-0.1066
481,0.2512
482,-0.2116
483,0.1148
484,-0.4269
485,-0.2839
486,0.1442
487,-0.1893
488,-0.2222
489,0.229
490,-0.267
491,0.6063
492,0.06226
493,0.1048
494,-0.2067
495,-0.7353
496,0.5441
497,-0.4971
498,-0.2046
499,-0.4525
500,0.6307
501,0.3936
502,1.114
503,-0.3705
504,-0.02949
505,-0.3145
506,0.2199
507,-1.237
508,0.2856
509,0.5354
510,0.3981
511,0.3946
512,-0.2794
513,0.2884
514,0.09797
515,-0.3015
516,0.8213
517,0.1747
518,-0.1656
519,0.7784
520,0.8321
521,0.8193
522,0.7167
523,0.6932
524,0.5928
525,0.7101
526,-0.6635
527,0.1504
528,-0.2631
529,0.06846
530,-0.01476
531,-0.1933
532,0.07643
533,0.5278
534,0.4145
535,0.2002
536,0.08906
537,0.5441
538,0.1886
539,-0.1823
540,-0.0993
541,0.6732
542,0.7957
543,0.3064
544,0.2048
545,-0.4314
546,0.02085
547,-0.5069
548,0.954
549,0.6935
550,-0.4193
551,-0.6563
552,1.01
553,1.146
554,0.6046
555,-0.1966
556,0.6546
557,1.21
558,0.9237
559,-0.514
560,0.7609
561,-0.4276
562,0.6327
563,0.03122
564,0.4401
565,0.09622
566,0.07131
567,-0.02707
568,0.1821
569,0.1972
570,-0.3815
571,0.2166
572,0.2684
573,0.08795
574,-0.06404
575,-0.7988
576,0.2426
577,0.003592
578,-0.2995
579,-0.1556
580,0.611
581,0.8804
582,-0.4682
583,0.7012
584,0.1796
585,0.473
586,0.1399
587,-0.01513
588,-0.1364
589,-0.5448
590,-0.0701
591,-0.4457
592,0.5172
593,0.1733
594,-0.4194
595,1.001
596,-0.215
597,0.06648
598,-0.2652
599,-0.6299
600,0.07782
601,-0.03891
602,0.1061
603,0.4457
604,0.08801
605,0.3041
606,-1.094
607,-0.0344
608,0.9293
609,0.2326
610,0.5784
611,0.1781
612,-0.06129
613,-0.5805
614,6.109e-06
615,-0.3407
616,0.2701
617,-0.8602
618,0.3807
619,0.4008
620,-0.163
621,0.1132
622,-0.3618
623,0.5964
624,0.4813
625,0.02579
626,0.4342
627,0.4971
628,-0.4473
629,-0.3671
630,-0.1946
631,0.5745
632,0.7896
633,-0.886
634,-0.8269
635,0.5961
636,0.02392
637,0.00672
638,0.1553
639,-0.08454
640,-0.3878
641,0.2448
642,0.02553
643,0.01117
644,-0.00274
645,-0.4466
646,-0.9079
647,0.9402
648,0.886
649,0.9249
650,0.3416
651,-0.4019
652,-0.2471
653,1.038
654,0.7019
655,-1.008
656,0.6337
657,0.4849
658,1.143
659,1.562
660,1.47
661,0.8608
662,-0.5461
663,0.5285
664,0.559
665,0.6051
666,-0.08025
667,-0.6977
668,0.3469
669,-0.4019
670,0.01263
671,0.03023
672,0.4719
673,0.1449
674,-0.4615
675,0.2179
676,-0.3362
677,0.5253
678,0.8634
679,0.3278
680,-0.6296
681,0.03588
682,0.2969
683,-0.4134
684,0.4351
685,-0.2249
686,0.6505
687,0.4416
688,-0.4045
689,-0.2252
690,0.2172
691,0.8613
692,0.5912
693,0.01827
694,-0.04922
695,0.001372
696,-0.4508
697,-0.1373
698,0.5282
699,0.2773
700,-0.1472
701,0.4084
702,-0.1882
703,0.05725
704,-0.5911
705,0.7435
706,0.04906
707,0.6984
708,0.05612
709,-0.439
710,-0.2971
711,0.7591
712,0.4628
713,-0.04409
714,-0.2328
715,0.621
716,0.609
717,0.2988
718,-0.7422
719,0.4837
720,-0.1324
721,0.2891
722,-0.2658
723,-0.3214
724,0.0627
725,-0.01272
726,0.3743
727,-0.1446
728,0.1203
729,0.3704
730,-0.07294
731,0.1705
732,0.4527
733,0.6806
734,-0.2292
735,0.3993
736,-0.04498
737,-0.6791
738,0.449
739,0.4606
740,0.582
741,0.4182
742,-0.0009227
743,-0.1908
744,0.1582
745,0.1785
746,-0.1392
747,0.0002328
748,0.01712
749,0.6014
750,0.3988
751,0.06123
752,0.3593
753,0.214
754,-0.4389
755,0.03906
756,0.04365
757,-0.209
758,0.27
759,0.4965
760,-0.9185
761,-0.8778
762,0.03287
763,1.256
764,0.4297
765,0.5594
766,0.1301
767,0.04106
768,0.5557
769,-0.09993
770,0.0959
771,-0.585
772,0.9588
773,-0.3232
774,-0.1623
775,0.4723
776,-0.003383
777,-0.008556
778,-0.2866
779,0.6223
780,-0.08924
781,-0.4257
782,0.09347
783,0.1428
784,-0.166
785,-0.01598
786,0.3672
787,-0.4927
788,0.00587
789,0.4675
790,0.3174
791,0.9457
792,0.6786
793,0.1799
794,0.2992
795,0.3903
796,0.3903
797,-0.9577
798,0.1287
799,0.7469
800,0.1782
801,0.1608
802,0.4133
803,0.01048
804,-0.5172
805,0.5872
806,-0.4324
807,-0.9365
808,0.8104
809,1.146
810,0.9687
811,1.432
812,-0.3267
813,0.03056
814,0.7525
815,0.002757
816,-1.067
817,0.4947
818,0.5326
819,0.07681
820,0.4407
821,-0.7976
822,0.09661
823,0.2746
824,0.7171
825,-0.209
826,0.3772
827,1.049
828,0.7618
829,0.3505
830,0.1796
831,0.09957
832,-0.1259
833,-0.3283
834,0.4527
835,0.5181
836,-0.2703
837,-2.085
838,1.875
839,4.289
840,2.316
841,3.783
842,2.887
843,15.77
844,8.153
845,2.35
846,6.108
847,3.752
848,1.568
849,11.94
850,2.396
851,0.08989
852,0.6667
853,0.171
854,-0.3295
855,0.3693
856,-0.3087
857,-0.2433
858,0.5188
859,-0.1719
860,-0.04149
861,0.3768
862,-0.5916
863,0.1334
864,0.4347
865,0.7856
866,1.434
867,0.3072
868,-0.6499
869,0.3259
870,-0.3718
871,-0.3211
872,0.3071
873,0.1251
874,0.3636
875,-0.3244
876,-0.6668
877,0.4744
878,0.2487
879,0.364
880,0.2539
881,-0.242
882,-0.08448
883,0.7168
884,0.6019
885,-0.1196
886,-0.1541
887,-0.03118
888,0.7221
889,-0.2574
890,-0.07087
891,-0.2904
892,0.2463
893,1.005
894,0.771
895,-0.343
896,0.2419
897,0.4373
898,0.6024
899,-0.6828
900,-0.4474
901,0.3607
902,-0.1915
903,0.3941
904,0.2236
905,-0.4613
906,0.3408
907,-0.5517
908,0.4883
909,0.2852
910,-0.9399
911,0.7225
912,-0.0003529
913,-0.1218
914,0.9554
915,-0.2603
916,-0.1407
917,0.3323
918,0.06384
919,0.07797
920,-0.06217
921,-0.04235
922,-0.06599
923,-0.08094
924,-0.3088
925,0.2929
926,-0.5712
927,0.3083
928,0.2325
929,0.6147
930,0.2876
931,-0.3435
932,-0.3566
933,0.2887
934,-0.1238
935,-0.3155
936,-0.007085
937,0.4924
938,0.2504
939,0.02793
940,-0.1814
941,-0.2915
942,0.3453
943,-0.1185
944,-0.6267
945,-0.1145
946,0.9995
947,0.1142
948,0.7339
949,0.7329
950,-0.2799
951,0.8053
952,0.3893
953,0.5755
954,0.8951
955,-0.4412
956,-0.5435
957,-0.2944
958,-0.2795
959,0.824
960,-1.032
961,0.541
962,1.413
963,1.357
964,1.092
965,0.445
966,1.257
967,-0.116
968,0.9946
969,0.326
970,0.4967
971,0.6359
972,-0.8866
973,-0.2368
974,-0.1985
975,0.05276
976,0.007862
977,0.5018
978,-0.07583
979,0.2259
980,-0.2173
981,0.3804
982,0.11
983,-0.2645
984,0.2688
985,-0.2675
986,-0.3874
987,0.1646
988,-0.7273
989,0.5739
990,-0.5104
991,-0.09316
992,0.6512
993,0.4578
994,-0.2862
995,0.3956
996,0.2695
997,0.5735
998,0.9568
999,0.5257
1000,0.1413
