MDTU,min_ave,max_ave
478,-0.778554,0.149306
480,-0.778554,0.149306
482,-0.704,0.171287
484,-0.759343,0.159487
486,-0.595135,0.134978
488,-0.735433,0.108287
490,-0.671782,0.189262
492,-0.660603,0.169202
494,-0.650269,0.182392
496,-0.794381,0.0887725
498,-0.74609,0.106785
500,-0.77115,0.067506
502,-0.822168,-0.0107104
504,-0.822168,-0.0107104
506,-0.770502,0.0704827
508,-0.747342,0.0463559
510,-0.867828,0.0390215
512,-0.842581,0.0115965
514,-0.842581,0.0115965
516,-0.842581,0.0115965
518,-0.814941,0.00330411
520,-0.814941,0.00330411
522,-0.787331,0.0455581
524,-0.938078,0.0277202
526,-0.981748,0.0474806
528,-0.844251,0.0510292
530,-0.844251,0.0510292
532,-0.824262,0.0723353
534,-0.824262,0.0723353
536,-0.96894,0.0669086
538,-0.717661,0.0666395
540,-0.717661,0.0666395
542,-0.77582,0.0676901
544,-0.862129,0.0277272
546,-0.908182,-0.00504893
548,-0.851343,0.000907745
550,-0.846604,-0.0318495
552,-0.965276,0.00742444
554,-0.880586,-0.0436702
556,-0.853754,0.0210279
558,-0.859308,0.00170167
560,-0.917218,-0.0273278
562,-0.917218,-0.0273278
564,-1.01151,-0.0830703
566,-0.928897,-0.0151605
568,-1.10699,-0.0555445
570,-0.850432,0.0453004
572,-0.983294,-0.018978
574,-0.92946,-0.0529929
576,-0.92946,-0.0529929
578,-0.862808,-0.0106399
580,-0.862808,-0.0106399
582,-0.768224,0.0104547
584,-0.75117,0.0335369
586,-0.895804,-0.0251094
588,-0.875741,-0.0575029
590,-0.907344,-0.0387653
592,-0.893707,0.0740716
594,-0.893707,0.0740716
596,-0.702924,-0.000424418
598,-1.01094,-0.0397837
600,-0.820708,-0.0102478
602,-0.847946,-0.018557
604,-0.921026,-0.00632253
606,-0.923272,0.0111732
608,-0.849354,0.0506628
610,-0.857045,-0.0689558
612,-0.857045,-0.0689558
614,-1.02868,-0.122724
616,-1.07376,-0.0826947
618,-0.933052,-0.118928
620,-1.01843,-0.105644
622,-1.01843,-0.105644
624,-0.985612,-0.0724243
626,-0.96517,-0.0769068
628,-0.876983,-0.0144802
630,-0.83934,0.00891507
632,-0.917566,-0.027459
634,-0.919435,-0.0627563
636,-0.81079,0.00765925
638,-0.81079,0.00765925
640,-0.832718,0.0469705
642,-0.853466,-0.00550439
644,-0.91224,0.0458024
646,-0.789652,0.0697185
648,-0.775737,0.0438417
650,-0.739534,0.0575565
652,-0.746898,0.0289497
654,-0.746898,0.0289497
656,-0.746898,0.0289497
658,-0.857603,-0.0563677
660,-0.964823,0.02545
662,-0.716224,0.0955302
664,-0.808907,0.0394673
666,-0.770875,0.08236
668,-0.723265,0.133507
670,-0.73313,0.10301
672,-0.794021,0.125761
674,-0.945467,0.112456
676,-0.697713,0.0663245
678,-0.670855,0.120769
680,-0.670834,0.155073
682,-0.705442,0.180158
684,-0.512519,0.156554
686,-0.674445,0.191644
688,-0.66781,0.203691
690,-0.581978,0.175547
692,-0.585578,0.144248
694,-0.845718,0.182915
696,-0.740702,0.0969703
698,-0.671661,0.108849
700,-0.703725,0.179229
702,-0.774234,0.190231
704,-0.636699,0.15838
706,-0.697174,0.181682
708,-0.694268,0.129527
710,-0.637798,0.11159
712,-0.669473,0.08196
714,-0.809023,0.13831
716,-0.813868,0.122588
718,-0.805323,0.12005
720,-0.711028,0.103604
722,-0.746232,0.0621279
724,-0.965938,0.00978885
726,-0.730956,0.0700257
728,-0.752279,0.129308
730,-0.65429,0.11362
732,-0.819407,0.0411399
734,-0.819407,0.0411399
736,-0.848568,0.0114253
738,-0.765134,0.0794441
740,-0.880669,-0.0545114
742,-0.908115,0.0175924
744,-0.908115,0.0175924
746,-0.834297,-0.0339737
748,-0.834297,-0.0339737
750,-0.933845,0.0407528
752,-0.769236,0.0253307
754,-0.769236,0.0253307
756,-0.980645,-0.143578
758,-1.05162,-0.0833366
760,-0.98856,-0.0190428
762,-1.01741,-0.145139
764,-0.966945,-0.171592
766,-1.13273,-0.227854
768,-1.16041,-0.232207
770,-1.15977,-0.220338
772,-1.13743,-0.243798
