MDTU,|Tr(L)|,ReTr(L),ImTr(L)
358,0.187135,-0.180491,0.0494187
360,0.173669,0.000607715,0.173668
362,0.378196,-0.295225,0.236377
364,0.164603,-0.0302086,0.161807
366,0.313846,-0.196069,0.245063
368,0.229719,-0.0267297,-0.228159
370,0.272009,-0.0297412,-0.270378
372,0.202899,-0.0907275,0.181484
374,0.202899,-0.0907275,0.181484
376,0.202899,-0.0907275,0.181484
378,0.140575,0.0135838,-0.139917
380,0.140575,0.0135838,-0.139917
382,0.11459,0.0958335,-0.0628245
384,0.238502,-0.236016,-0.0343412
386,0.161952,-0.16027,0.0232791
388,0.15601,0.077114,-0.13562
390,0.216252,0.205364,0.067754
392,0.104723,0.00427271,0.104636
394,0.104723,0.00427271,0.104636
396,0.191491,-0.190693,-0.0174612
398,0.413843,-0.386881,-0.146931
400,0.205359,0.131156,-0.158021
402,0.250971,0.203036,-0.147523
404,0.143727,0.0907425,0.11146
406,0.119186,0.113517,-0.0363224
408,0.119186,0.113517,-0.0363224
410,0.279747,0.0695265,0.270969
412,0.163944,0.090209,0.136894
414,0.385784,0.355179,0.15059
416,0.202406,0.098488,0.176828
418,0.272814,0.172013,-0.211753
420,0.516052,-0.384024,-0.344726
422,0.0911003,0.0272189,0.086939
424,0.219647,0.00278301,-0.219629
426,0.125065,0.0641715,0.107346
428,0.065981,-0.0103102,-0.0651705
430,0.231532,-0.088182,-0.214082
432,0.160122,-0.145142,0.067623
434,0.160122,-0.145142,0.067623
436,0.260527,0.060966,-0.253293
438,0.260527,0.060966,-0.253293
440,0.197244,0.194704,0.0315532
442,0.295801,0.226493,0.190261
444,0.295801,0.226493,0.190261
446,0.195803,0.0858295,-0.175988
448,0.226416,0.225326,0.022199
450,0.278415,-0.278291,0.0082951
452,0.171691,0.0670085,-0.158075
454,0.210619,0.202515,0.057862
456,0.26153,-0.179651,-0.190061
458,0.141981,-0.106804,0.0935485
460,0.0831766,-0.0368038,0.074591
462,0.477511,0.31986,-0.354552
464,0.147548,-0.061031,-0.134334
