ReTr(L),ImTr(L)
-0.138676,0.265809
0.0502315,-0.110343
0.034336,0.0672875
-0.107376,-0.0451105
-0.0263968,0.293446
-0.369941,-0.0310253
-0.369941,-0.0310253
-0.066865,0.0814045
-0.047753,0.144634
0.265149,-0.0403226
-0.198115,0.178049
-0.033474,-0.051514
0.305376,-0.0877025
-0.259479,-0.181381
0.0407815,0.201662
0.0407815,0.201662
-0.522495,-0.111662
-0.100511,-0.385725
-0.157017,-0.421299
0.080101,-0.0934125
0.080101,-0.0934125
0.154862,-0.087869
-0.468826,0.086529
-0.157648,0.00353505
0.222061,0.0341163
0.161813,0.183657
-0.148669,-0.0318012
0.287123,0.0939865
0.287123,0.0939865
0.0108357,0.0183355
0.139476,0.0117371
-0.250177,-0.066393
0.0836835,0.0618915
-0.00800955,-0.076357
0.294766,-0.454551
0.199285,-0.088711
0.199285,-0.088711
0.199285,-0.088711
0.0803855,-0.115423
-0.297218,-0.17798
0.167229,-0.0887545
0.31742,0.066152
0.253352,-0.197242
0.117317,-0.42387
0.0525295,-0.0970255
-0.250778,0.266347
-0.17053,0.0408653
-0.0451078,-0.083318
-0.187642,0.0866085
0.130172,-0.0156287
-0.0176339,-0.258723
-0.0876825,0.199755
0.113683,-0.220032
-0.0102574,0.204696
0.0209024,-0.0322839
0.109307,0.175075
0.203072,-0.409051
-0.01007,0.180562
0.108059,0.149737
0.168979,0.347247
0.0832355,-0.103505
0.0916305,0.088771
0.00615725,-0.22364
0.219598,0.091526
0.0122599,-0.0462554
-0.322096,0.0129635
0.198296,0.207025
0.00171966,-0.252612
0.43375,0.264995
-0.0931805,-0.238045
0.0712655,0.473438
0.0297057,0.071955
0.029826,0.145399
0.0529845,-0.18002
-0.12525,-0.195483
0.09975,-0.15988
0.09975,-0.15988
0.13875,0.0538625
0.206113,0.30704
-0.284932,0.45624
-0.0981545,-0.052494
-0.0981545,-0.052494
-0.215412,0.145115
-0.215412,0.145115
0.102866,0.359075
0.204451,-0.156569
0.204451,-0.156569
-0.117246,0.252904
0.191791,0.113843
0.101099,-0.486715
-0.057821,0.109647
-0.128502,0.131223
0.146583,0.0257752
-0.110751,0.294695
0.0532645,-0.0403302
-0.0170922,-0.051262
0.0856995,-0.0995375
-0.256983,-0.200568
-0.256983,-0.200568
0.128637,-0.263539
-0.158001,-0.0141457
0.170113,0.0457487
0.170113,0.0457487
-0.080194,0.077005
-0.080194,0.077005
-0.080194,0.077005
-0.0619585,-0.00224533
0.235266,-0.0319333
0.110916,0.300058
0.2857,-0.074023
0.2857,-0.074023
-0.0097796,-0.0764225
0.0649245,0.054008
-0.0289579,-0.158323
-0.060118,-0.316382
0.117677,-0.0927915
0.261526,-0.201211
0.236867,0.273637
0.178349,0.127307
-0.176762,-0.120733
0.175471,0.19433
-0.0333865,0.11583
0.023235,0.21286
0.023235,0.21286
0.307576,0.0940205
0.176056,0.19933
0.0247942,0.0403274
0.050171,-0.00262559
-0.0852365,0.56468
-0.219999,0.0341408
-0.260183,0.185118
0.0508345,0.0293768
0.120783,-0.0224469
-0.155389,0.0533935
-0.336468,0.153094
0.094209,-0.196095
0.088489,-0.0253945
0.194769,0.091163
0.00786205,-0.28266
0.267659,-0.122648
-0.0929725,0.210208
-0.115796,0.111508
-0.0267122,-0.0416122
0.07668,-0.078312
-0.146258,0.302459
0.228567,-0.200702
-0.103239,0.278917
0.299739,0.0203912
-0.139987,0.0706335
-0.139987,0.0706335
-0.139987,0.0706335
-0.139987,0.0706335
-0.139987,0.0706335
-0.139987,0.0706335
-0.33161,-0.286695
0.106894,-0.268074
0.106894,-0.268074
-0.00725925,-0.671835
-0.333828,0.0324487
0.0104805,-0.0373004
0.134969,-0.212732
-0.276651,-0.052805
-0.276651,-0.052805
-0.276651,-0.052805
-0.276651,-0.052805
0.0448867,0.153977
0.0448867,0.153977
0.103184,0.210814
0.064468,0.0651755
0.064468,0.0651755
0.143456,0.00178956
-0.409303,0.097776
-0.409303,0.097776
-0.409303,0.097776
-0.409303,0.097776
-0.484524,0.055804
-0.0753045,-0.0437077
0.155864,0.17384
0.405353,-0.273565
0.207215,0.0278604
0.207215,0.0278604
0.202489,0.207446
-0.171687,0.0838965
-0.171687,0.0838965
-0.212851,-0.179585
0.294243,0.00223837
0.294243,0.00223837
-0.191539,0.212316
-0.0207564,0.0090999
-0.111294,0.0319776
0.159129,0.240523
0.0570495,0.219855
0.209439,-0.11997
-0.275792,0.093588
0.155922,0.343091
-0.00269038,0.058793
-0.0950095,0.243656
0.154334,-0.0293499
0.0205398,-0.0586895
-0.246554,0.0347872
-0.0578625,-0.237009
-0.0762895,0.128682
0.190432,0.381331
-0.0258227,0.254719
0.30986,-0.212635
-0.31663,-0.0784875
-0.236062,0.139997
0.150845,0.035361
-0.184085,-0.258422
-0.184085,-0.258422
-0.0215027,-0.0243218
-0.340946,0.0493729
0.079687,0.122567
-0.159798,-0.17475
0.029548,-0.0337747
0.04146,-0.0299877
0.27418,-0.0122071
0.27418,-0.0122071
-0.133766,-0.0333271
0.0253723,0.062423
-0.319413,0.173018
0.092781,-0.0148446
-0.0151915,0.0177635
-0.0165607,0.140455
-0.289033,-0.257323
0.082117,0.0474367
0.082117,0.0474367
-0.077083,-0.236339
-0.077083,-0.236339
-0.077083,-0.236339
-0.077083,-0.236339
-0.077083,-0.236339
0.0961135,0.009109
0.0961135,0.009109
-0.0274534,0.0996875
-0.133196,-0.113361
-0.0245686,-0.0875135
-0.14305,-0.131529
-0.14305,-0.131529
0.095382,4.31301e-05
0.0249325,0.188878
-0.153331,0.0471029
-0.153331,0.0471029
-0.134331,0.264566
-0.250164,0.0420849
0.0520015,-0.0293581
0.0520015,-0.0293581
0.067016,0.0574385
-0.10983,-0.0361545
-0.022343,-0.00139083
-0.022343,-0.00139083
-0.022343,-0.00139083
-0.120821,0.189076
-0.076947,-0.307949
0.257215,0.084145
0.115181,0.105469
-0.186018,0.153798
-0.186018,0.153798
-0.0921465,-0.246094
-0.219883,-0.01871
0.094094,-0.17397
0.094094,-0.17397
0.094094,-0.17397
0.094094,-0.17397
0.222868,0.065933
0.222868,0.065933
0.222868,0.065933
0.222868,0.065933
0.246059,-0.139217
-0.142612,0.283614
-0.073075,-0.0251352
0.0242872,0.218207
0.221127,0.108633
0.221127,0.108633
0.221127,0.108633
0.140042,0.0243838
-0.076055,-0.113804
0.0364903,0.111672
-0.238073,0.109516
0.0063157,0.06245
-0.120489,-0.00225744
-0.178734,0.0665955
-0.077836,-0.091038
-0.0481869,-0.102257
-0.266219,0.53154
0.176712,0.0489776
0.0355456,0.0041084
0.095176,-0.197157
-0.206959,0.246894
-0.206959,0.246894
-0.206959,0.246894
-0.0314854,0.0376138
0.144782,-0.0482467
0.0761805,-0.092872
-0.143471,-0.0923085
0.008688,-0.213573
-0.0213924,0.206652
-0.0130211,-0.208036
0.237258,0.237671
-0.0063381,-0.085365
0.174778,0.132955
0.174778,0.132955
0.094916,-0.094513
-0.271381,-0.087665
-0.139966,-0.356351
0.37243,0.144276
-0.138738,0.129662
-0.088671,0.066512
-0.117001,-0.324108
0.158137,-0.0977155
-0.219104,-0.271634
0.089489,-0.0286401
0.089489,-0.0286401
-0.15359,0.0668685
0.0920585,-0.13699
0.0369958,0.087199
0.1265,0.076011
0.1265,0.076011
0.286816,0.191328
0.104508,-0.111307
-0.146167,0.11495
-0.0709035,0.0277735
0.081729,-0.214472
-0.444366,-0.21731
0.0556665,0.141595
0.058302,0.23838
-0.173813,-0.0364945
0.158596,-0.28967
-0.064683,-0.060342
0.340243,0.0111696
-0.185225,-0.227144
0.0976925,0.197277
0.0976925,0.197277
0.0976925,0.197277
0.111847,-0.0845395
-0.283156,0.0700425
0.00905445,-0.158445
-0.150343,-0.247082
-0.252898,-0.0891505
-0.0182966,-0.134791
-0.0182966,-0.134791
-0.133326,0.118435
-0.355558,0.336846
0.124199,0.060043
-0.224899,0.347901
0.102599,0.0954585
0.168424,-0.50326
0.273974,-0.14966
0.141922,0.28191
0.266333,-0.336074
-0.391109,-0.158239
0.139787,-0.12367
-0.0293033,-0.0961475
0.0491852,-0.288426
-0.0144843,-0.00906975
0.0627205,-0.48555
0.0627205,-0.48555
0.0627205,-0.48555
0.0153353,0.108241
0.0153353,0.108241
0.085529,-0.0735795
-0.038297,-0.153417
-0.038297,-0.153417
-0.302762,-0.272454
-0.133251,-0.051451
-0.133251,-0.051451
-0.133251,-0.051451
-0.133251,-0.051451
-0.133251,-0.051451
-0.133251,-0.051451
-0.174145,-0.0746285
0.15901,-0.0444027
0.15901,-0.0444027
0.0857175,0.285656
0.140908,0.253717
-0.200085,-0.283004
0.0956325,0.0254126
-0.0428875,-0.117803
-0.0051266,0.163019
-0.184352,0.11469
-0.0181927,-0.073681
0.282216,0.035025
-0.137699,0.0422766
0.0959415,0.276384
0.0605225,0.330034
0.200823,0.369757
0.200823,0.369757
-0.498016,0.235241
0.0205086,0.162699
