MDTU,plaq,Re(det),Im(det),link
242,0.0197018,4.69276e-05,4.22893e-05,1.4662
244,0.0158894,2.45115e-05,3.04578e-05,1.36816
246,0.0137671,7.8113e-05,8.97234e-05,1.69585
248,0.019576,0.000142781,5.59234e-05,2.89019
250,0.0169113,3.3257e-05,8.03906e-05,3.3104
252,0.0134019,5.86895e-05,3.78645e-05,3.79436
254,0.0200007,6.07812e-05,3.3968e-05,4.18827
256,0.0211668,8.39086e-05,2.91134e-05,5.15466
258,0.0186584,8.52535e-05,9.45853e-05,5.12997
260,0.0098884,3.18945e-05,1.63432e-05,5.13382
262,0.00918923,2.5571e-05,8.28926e-06,6.92175
264,0.00789253,2.85619e-05,3.97976e-05,5.59681
266,0.00594887,4.42315e-05,7.32907e-06,4.79488
268,0.0110556,2.99883e-05,3.35805e-05,5.09223
270,0.0127087,4.1811e-05,3.07709e-05,4.95239
272,0.0127087,4.1811e-05,3.07709e-05,4.95239
274,0.0141544,4.48071e-05,1.47499e-05,5.50708
276,0.00865887,1.08656e-05,9.06223e-06,4.29644
278,0.00865887,1.08656e-05,9.06223e-06,4.29644
280,0.0114989,3.42013e-05,4.07332e-05,3.55291
282,0.0135831,9.30477e-05,3.36506e-05,3.79129
284,0.0103887,2.4954e-05,3.01261e-05,3.02152
286,0.0112834,6.0301e-05,4.97572e-05,2.83969
288,0.0158587,6.58691e-05,8.93219e-05,2.22047
290,0.0261143,7.56367e-05,0.000185056,1.71449
292,0.021294,4.87205e-05,4.44238e-05,1.73067
294,0.022209,3.91053e-05,4.00876e-05,1.63981
296,0.00655679,5.92559e-05,3.56912e-05,1.90802
298,0.00775536,9.98958e-05,6.22659e-05,2.05283
300,0.00958068,5.22344e-05,3.99584e-05,2.0815
302,0.021498,0.000168125,9.96698e-05,2.93269
304,0.0107121,3.02807e-05,3.42595e-05,3.25022
306,0.0107121,3.02807e-05,3.42595e-05,3.25022
308,0.0107121,3.02807e-05,3.42595e-05,3.25022
310,0.0107121,3.02807e-05,3.42595e-05,3.25022
312,0.0196051,0.000108068,2.15002e-05,3.42044
314,0.0196051,0.000108068,2.15002e-05,3.42044
316,0.0196051,0.000108068,2.15002e-05,3.42044
318,0.0196051,0.000108068,2.15002e-05,3.42044
320,0.0196051,0.000108068,2.15002e-05,3.42044
322,0.0196051,0.000108068,2.15002e-05,3.42044
324,0.0181165,2.67699e-05,2.17648e-05,3.02834
326,0.0181165,2.67699e-05,2.17648e-05,3.02834
328,0.0110533,6.46489e-05,4.67696e-05,3.70523
330,0.0113972,1.35065e-05,1.23316e-05,3.68908
332,0.0120584,6.27302e-06,5.51197e-06,3.65483
334,0.0120584,6.27302e-06,5.51197e-06,3.65483
336,0.0159604,3.75585e-05,1.98652e-05,4.46569
338,0.0100431,2.11234e-05,3.26666e-05,5.06324
340,0.014577,4.05008e-05,3.49915e-05,5.55571
342,0.0160908,9.16551e-05,3.86297e-05,7.27157
344,0.0109061,7.9327e-05,1.91899e-05,7.48732
346,0.0110625,1.19202e-05,2.75313e-05,7.26624
348,0.0127429,9.07765e-05,7.03599e-05,6.72889
350,0.0122732,0.000234195,3.67016e-05,7.37248
352,0.0197815,0.000118251,9.45247e-05,7.59044
354,0.0197815,0.000118251,9.45247e-05,7.59044
356,0.0127254,3.53012e-05,4.83189e-05,7.73774
358,0.0127254,3.53012e-05,4.83189e-05,7.73774
360,0.00903672,2.41493e-05,1.69908e-05,8.65497
362,0.00756632,5.88686e-05,3.48765e-05,9.19387
364,0.0138402,3.28912e-05,5.44455e-05,10.5589
366,0.0130113,6.73757e-05,3.8887e-05,11.2854
368,0.00869738,4.90801e-05,3.96268e-05,10.783
370,0.0146687,0.000124967,3.90025e-05,12.4409
372,0.0261163,4.92656e-05,9.28344e-05,13.2976
374,0.0261163,4.92656e-05,9.28344e-05,13.2976
376,0.0261163,4.92656e-05,9.28344e-05,13.2976
378,0.0226096,8.73872e-05,3.03385e-05,14.4937
380,0.0226096,8.73872e-05,3.03385e-05,14.4937
382,0.0161733,6.42258e-05,6.11433e-05,16.0474
384,0.0188938,4.40083e-05,4.96407e-05,15.5437
386,0.0129001,8.61189e-05,5.95631e-05,14.3449
388,0.0122678,2.15395e-05,4.16137e-05,14.5695
390,0.0177008,5.09592e-05,9.60249e-06,12.0164
392,0.0111304,1.57852e-05,1.81134e-05,11.3237
394,0.0111304,1.57852e-05,1.81134e-05,11.3237
396,0.00692255,7.13275e-06,1.34874e-05,12.2484
398,0.0196466,2.97393e-05,2.32117e-05,11.5372
400,0.021637,0.000150094,0.000202741,12.6436
402,0.0192246,0.000100604,8.17855e-05,12.0205
404,0.0177457,6.02182e-05,4.82438e-05,14.5874
406,0.0274633,0.000104266,0.000152875,15.416
408,0.0274633,0.000104266,0.000152875,15.416
