t,e^(-dS)
456,0.765826
457,0.623878
458,1.47654
459,0.758282
460,0.751338
461,0.800115
462,1.45805
463,0.354871
464,0.446552
465,0.26982
466,0.320459
467,1.7711
468,0.905553
469,0.803482
470,0.829444
471,0.620084
472,0.848997
473,1.72599
474,0.572696
475,2.24162
476,0.507073
477,0.866061
478,0.692879
479,0.926121
480,1.11249
481,0.777867
482,1.23565
483,0.891544
484,1.5325
485,1.3283
486,0.865715
487,1.2084
488,1.24882
489,0.795329
490,1.30604
491,0.545365
492,0.939639
493,0.900505
494,1.22961
495,2.08611
496,0.580364
497,1.64395
498,1.22703
499,1.57224
500,0.532219
501,0.674624
502,0.328243
503,1.44846
504,1.02993
505,1.36957
506,0.802599
507,3.44526
508,0.751563
509,0.585435
510,0.671595
511,0.67395
512,1.32234
513,0.749462
514,0.906676
515,1.35189
516,0.439859
517,0.839709
518,1.1801
519,0.45914
520,0.435135
521,0.44074
522,0.488361
523,0.499974
524,0.552777
525,0.491595
526,1.94158
527,0.860364
528,1.30096
529,0.933831
530,1.01487
531,1.21325
532,0.926418
533,0.589901
534,0.660671
535,0.818567
536,0.914791
537,0.580364
538,0.828118
539,1.19997
540,1.1044
541,0.510074
542,0.451265
543,0.736092
544,0.81481
545,1.53941
546,0.979366
547,1.66014
548,0.385197
549,0.499824
550,1.5209
551,1.92765
552,0.364219
553,0.317906
554,0.546293
555,1.21726
556,0.51965
557,0.298197
558,0.397047
559,1.67197
560,0.467246
561,1.53357
562,0.531156
563,0.969262
564,0.643972
565,0.908264
566,0.931173
567,1.02744
568,0.833518
569,0.821026
570,1.46448
571,0.805252
572,0.764602
573,0.915807
574,1.06614
575,2.22287
576,0.784585
577,0.996414
578,1.34918
579,1.16836
580,0.542808
581,0.414617
582,1.59712
583,0.49599
584,0.835604
585,0.62313
586,0.869445
587,1.01525
588,1.14614
589,1.72426
590,1.07262
591,1.56158
592,0.596188
593,0.840885
594,1.52105
595,0.367512
596,1.23986
597,0.935682
598,1.30369
599,1.87742
600,0.925131
601,1.03968
602,0.899335
603,0.640376
604,0.915752
605,0.737787
606,2.98619
607,1.035
608,0.39483
609,0.79247
610,0.560795
611,0.836859
612,1.06321
613,1.78693
614,0.999994
615,1.40593
616,0.763303
617,2.36363
618,0.683383
619,0.669784
620,1.17704
621,0.892972
622,1.43591
623,0.550791
624,0.617979
625,0.97454
626,0.647783
627,0.608292
628,1.56408
629,1.44354
630,1.21482
631,0.562986
632,0.454026
633,2.42541
634,2.28622
635,0.550956
636,0.976364
637,0.993303
638,0.856158
639,1.08822
640,1.47374
641,0.782861
642,0.974793
643,0.988892
644,1.00274
645,1.56299
646,2.47911
647,0.39055
648,0.412302
649,0.396571
650,0.710632
651,1.49466
652,1.28031
653,0.354162
654,0.495643
655,2.74012
656,0.530625
657,0.615759
658,0.318861
659,0.209716
660,0.229925
661,0.422824
662,1.72651
663,0.589489
664,0.571781
665,0.54602
666,1.08356
667,2.00913
668,0.706876
669,1.49466
670,0.987449
671,0.970222
672,0.623816
673,0.865109
674,1.58645
675,0.804206
676,1.39962
677,0.591378
678,0.421726
679,0.720507
680,1.87686
681,0.964756
682,0.743118
683,1.51195
684,0.6472
685,1.2522
686,0.521785
687,0.643007
688,1.49855
689,1.25257
690,0.804769
691,0.422612
692,0.553662
693,0.981896
694,1.05045
695,0.998629
696,1.56957
697,1.14717
698,0.589665
699,0.757827
700,1.15859
701,0.664713
702,1.20707
703,0.944358
704,1.80597
705,0.475447
706,0.952124
707,0.49738
708,0.945426
709,1.55116
710,1.34595
711,0.468088
712,0.629519
713,1.04508
714,1.26213
715,0.537407
716,0.543894
717,0.741708
718,2.10055
719,0.616498
720,1.14156
721,0.748937
722,1.30447
723,1.37906
724,0.939225
725,1.0128
726,0.687771
727,1.15558
728,0.886654
729,0.690458
730,1.07567
731,0.843243
732,0.635909
733,0.506313
734,1.25759
735,0.670789
736,1.04601
737,1.9721
738,0.638266
739,0.630905
740,0.55878
741,0.658231
742,1.00092
743,1.21022
744,0.853679
745,0.836524
746,1.14935
747,0.999767
748,0.983026
749,0.548044
750,0.671125
751,0.940607
752,0.698165
753,0.807348
754,1.551
755,0.961693
756,0.957289
757,1.23244
758,0.763379
759,0.608657
760,2.50553
761,2.4056
762,0.967664
763,0.284791
764,0.650704
765,0.571552
766,0.878008
767,0.959772
768,0.573671
769,1.10509
770,0.908555
771,1.79499
772,0.383353
773,1.38154
774,1.17621
775,0.623566
776,1.00339
777,1.00859
778,1.33189
779,0.536709
780,1.09334
781,1.53066
782,0.910765
783,0.866927
784,1.18057
785,1.01611
786,0.692671
787,1.63673
788,0.994147
789,0.626567
790,0.728039
791,0.388408
792,0.507327
793,0.835354
794,0.741411
795,0.676854
796,0.676854
797,2.6057
798,0.879238
799,0.473833
800,0.836775
801,0.851462
802,0.661464
803,0.989575
804,1.67732
805,0.555882
806,1.54095
807,2.55104
808,0.44468
809,0.317906
810,0.379576
811,0.238831
812,1.38639
813,0.969902
814,0.471187
815,0.997247
816,2.90665
817,0.609754
818,0.587077
819,0.926066
820,0.643586
821,2.22021
822,0.90791
823,0.759876
824,0.488166
825,1.23244
826,0.685779
827,0.350288
828,0.466825
829,0.704336
830,0.835604
831,0.905227
832,1.13417
833,1.38861
834,0.635909
835,0.595651
836,1.31036
837,8.04459
838,0.153355
839,0.0137186
840,0.0986675
841,0.0227543
842,0.0557432
843,1.41637e-07
844,0.00028787
845,0.0953692
846,0.002225
847,0.0234708
848,0.208462
849,6.52415e-06
850,0.0910816
851,0.914032
852,0.5134
853,0.842822
854,1.39027
855,0.691218
856,1.36165
857,1.27545
858,0.595234
859,1.18756
860,1.04236
861,0.686053
862,1.80688
863,0.875115
864,0.647459
865,0.455846
866,0.238354
867,0.735503
868,1.91535
869,0.721877
870,1.45034
871,1.37864
872,0.735577
873,0.882409
874,0.695169
875,1.3832
876,1.94799
877,0.622258
878,0.779814
879,0.694891
880,0.775769
881,1.27379
882,1.08815
883,0.488312
884,0.54777
885,1.12705
886,1.16661
887,1.03167
888,0.485731
889,1.29356
890,1.07344
891,1.33696
892,0.781688
893,0.366045
894,0.46255
895,1.40917
896,0.785135
897,0.645778
898,0.547496
899,1.97941
900,1.56424
901,0.697188
902,1.21106
903,0.674287
904,0.799635
905,1.58613
906,0.711201
907,1.7362
908,0.613669
909,0.751864
910,2.55973
911,0.485537
912,1.00035
913,1.12953
914,0.384658
915,1.29732
916,1.15108
917,0.717272
918,0.938155
919,0.924992
920,1.06414
921,1.04326
922,1.06822
923,1.08431
924,1.36179
925,0.746097
926,1.77039
927,0.734695
928,0.79255
929,0.540803
930,0.750062
931,1.40987
932,1.42846
933,0.749237
934,1.13179
935,1.37094
936,1.00711
937,0.611158
938,0.778489
939,0.972456
940,1.19889
941,1.33843
942,0.708008
943,1.12581
944,1.87142
945,1.12131
946,0.368063
947,0.89208
948,0.480033
949,0.480513
950,1.323
951,0.446954
952,0.677531
953,0.562424
954,0.408567
955,1.55457
956,1.72202
957,1.34232
958,1.32247
959,0.438673
960,2.80667
961,0.582166
962,0.243412
963,0.257432
964,0.335545
965,0.640824
966,0.284506
967,1.123
968,0.369871
969,0.721805
970,0.608536
971,0.529459
972,2.42686
973,1.26719
974,1.21957
975,0.948608
976,0.992169
977,0.60544
978,1.07878
979,0.797798
980,1.24272
981,0.683588
982,0.895834
983,1.30278
984,0.764296
985,1.30669
986,1.47315
987,0.848233
988,2.06949
989,0.563324
990,1.66596
991,1.09764
992,0.52142
993,0.632674
994,1.33136
995,0.673276
996,0.763761
997,0.56355
998,0.38412
999,0.591141
1000,0.868229
