MDTU,link
936,9.48519
938,11.049
940,9.90816
942,9.90816
944,12.3088
946,12.593
948,12.593
950,13.3075
952,10.3522
954,10.3522
956,9.83133
958,8.63071
960,7.80506
962,8.1023
964,7.17523
966,9.19456
968,9.04724
970,6.85502
972,7.40998
974,8.62491
976,9.5288
978,9.02705
980,8.73889
982,9.71764
984,8.59105
986,9.54789
988,7.93291
990,7.11341
992,6.97419
994,7.6977
996,9.14849
998,7.43082
1000,7.43082
1002,9.51312
1004,8.2168
1006,10.0008
1008,7.77565
1010,6.6128
1012,6.59381
1014,6.77996
1016,6.77996
1018,7.9118
1020,8.41677
1022,7.50707
1024,8.29496
1026,6.75842
1028,6.90322
1030,6.34937
1032,5.75723
1034,5.75723
1036,6.95381
1038,6.95381
1040,6.95381
1042,6.95381
1044,6.95381
1046,6.5968
1048,6.5968
1050,4.77572
1052,4.45286
1054,4.09119
1056,3.39032
1058,3.39032
1060,1.8923
1062,1.28677
1064,1.13611
1066,1.13611
1068,1.13969
1070,1.20879
1072,1.91805
1074,1.91805
1076,1.79875
1078,1.617
1080,1.33409
1082,1.33409
1084,1.33409
1086,2.04757
1088,2.62228
1090,2.70371
1092,2.35301
1094,3.57901
1096,3.57901
1098,4.70158
1100,5.51482
1102,4.23063
1104,4.23063
1106,4.23063
1108,4.23063
1110,5.56714
1112,5.56714
1114,5.56714
1116,5.56714
1118,6.56019
1120,6.05918
1122,7.16332
1124,5.82113
1126,5.74895
1128,5.74895
1130,5.74895
1132,8.38642
1134,8.38352
1136,6.88644
1138,7.28084
1140,8.23201
1142,6.62578
1144,6.53191
1146,4.96568
1148,5.78076
1150,6.1233
1152,5.61858
1154,6.60964
1156,6.3458
1158,5.51635
1160,5.51635
1162,5.51635
1164,4.37467
1166,3.81385
1168,3.50042
1170,2.9242
1172,4.63755
1174,5.41826
1176,5.62905
1178,5.22002
1180,5.35819
1182,5.21903
1184,5.21903
1186,4.43697
1188,3.83197
1190,4.34559
1192,5.76426
1194,5.43941
1196,6.58266
1198,6.3064
1200,5.66492
1202,5.068
1204,4.27753
1206,4.27753
1208,4.59577
1210,6.09348
1212,4.9596
1214,5.07347
1216,5.07347
1218,6.53585
1220,7.32686
1222,8.76423
1224,6.43887
1226,4.72059
1228,5.92396
1230,6.70298
1232,5.63214
1234,6.03431
1236,6.69197
1238,5.73179
1240,8.05622
1242,10.091
1244,12.1472
1246,12.1472
1248,12.1472
1250,10.4903
1252,10.5038
1254,12.6081
1256,15.0343
1258,15.6819
1260,15.1712
1262,15.1712
1264,17.2308
1266,15.4922
1268,17.0211
1270,15.7213
1272,16.3914
1274,15.2228
1276,14.9302
1278,15.0054
1280,13.7023
1282,13.2695
1284,9.96378
1286,12.9664
1288,14.0851
1290,12.2315
1292,14.5546
1294,14.5546
1296,14.5546
1298,16.0466
1300,16.0466
1302,15.3772
1304,15.0193
1306,15.0193
1308,16.5121
1310,17.371
1312,17.371
1314,17.371
1316,17.371
1318,17.371
1320,17.371
1322,18.1417
1324,19.3357
1326,19.3357
1328,18.9088
1330,20.1826
1332,19.4778
1334,16.55
1336,18.8192
1338,16.8481
1340,15.9906
1342,14.7214
1344,17.5505
1346,18.5034
1348,20.2164
1350,22.202
1352,18.7686
1354,18.7686
1356,19.6273
1358,19.9412
1360,21.5485
1362,21.5485
1364,17.6218
1366,20.0407
1368,18.3833
1370,18.2122
1372,18.2122
1374,18.2122
1376,20.4685
1378,22.0443
1380,18.7228
1382,17.0939
1384,18.4051
1386,19.4771
1388,19.4541
1390,19.5414
1392,13.6341
1394,12.4487
1396,9.04027
1398,10.1326
1400,8.60554
1402,7.70266
1404,8.68094
1406,9.22971
1408,9.36325
1410,9.36325
1412,10.9163
1414,11.3422
1416,10.324
1418,10.7034
1420,10.5174
1422,10.5174
1424,14.089
1426,11.7547
1428,13.8053
1430,13.8053
1432,15.1485
1434,17.5801
1436,18.7869
1438,18.7869
1440,17.525
1442,17.3381
1444,17.7751
1446,16.2145
1448,17.902
1450,17.2046
1452,19.1308
1454,23.4156
1456,18.8224
1458,18.8224
1460,20.4934
1462,24.071
1464,24.071
1466,23.7806
1468,26.318
1470,29.99
1472,33.27
1474,33.2015
1476,33.2015
1478,33.9903
1480,33.9903
1482,33.9903
1484,35.7399
1486,33.243
1488,33.243
1490,35.6756
1492,38.8951
1494,40.1546
1496,41.429
1498,41.429
1500,41.3224
1502,39.9547
1504,37.9889
1506,45.1296
1508,48.1555
1510,45.031
1512,49.6768
1514,48.8827
1516,51.7444
1518,58.0223
1520,57.1477
1522,59.1571
1524,59.1571
1526,59.1571
1528,51.3745
1530,47.7745
1532,47.4293
1534,48.7784
1536,51.0532
1538,55.2678
1540,51.0058
1542,51.0238
1544,46.6954
1546,47.38
1548,47.4556
1550,50.35
1552,49.6239
1554,54.5133
1556,51.0421
1558,49.4679
1560,44.5417
1562,43.3137
1564,46.838
1566,47.8127
1568,48.6338
1570,48.0133
1572,47.2791
1574,46.9656
1576,46.1208
1578,46.1208
1580,48.8146
1582,48.8146
1584,48.8146
1586,49.2658
1588,52.9535
1590,54.3683
1592,58.1296
1594,57.6575
1596,59.9252
1598,59.9252
1600,65.9817
1602,68.8097
1604,68.2514
1606,64.9509
1608,64.0499
1610,65.6705
1612,61.409
1614,59.7149
1616,59.7149
1618,59.7149
1620,59.7149
1622,60.7693
1624,57.5202
1626,55.5429
1628,53.7324
1630,58.6615
1632,62.2875
1634,57.845
1636,61.8553
1638,55.598
1640,56.2727
1642,52.1139
1644,54.0137
1646,54.0137
1648,54.0137
1650,62.5235
1652,58.7124
1654,58.7124
1656,58.7124
1658,55.8138
1660,57.5083
