MDTU,|Tr(Lx)|
814,0.00398017
816,0.00246723
818,0.00132452
820,0.00293408
822,0.00918396
824,0.00893745
826,0.00585009
828,0.00585009
830,0.00160003
832,0.00463138
834,0.00502572
836,0.00496708
838,0.00522561
840,0.00320975
842,0.00346793
844,0.00276963
846,0.00719539
848,0.00756573
850,0.00608259
852,0.00203613
854,0.00130938
856,0.00297446
858,0.00580725
860,0.0154592
862,0.0142804
864,0.00210582
866,0.00262217
868,0.00920875
870,0.00573922
872,0.00716914
874,0.00126957
876,0.0043907
878,0.00433455
880,0.00433455
882,0.00433455
884,0.00433455
886,0.00433455
888,0.00433455
890,0.00193146
892,0.00660318
894,0.00660318
896,0.00374499
898,0.00245051
900,0.00153152
902,0.00342621
904,0.00065291
906,0.00065291
908,0.00065291
910,0.00065291
912,0.00421603
914,0.00421603
916,0.00303446
918,0.0032728
920,0.0032728
922,0.00717556
924,0.00325302
926,0.00325302
928,0.00325302
930,0.00325302
932,0.00675521
934,0.00271575
936,0.0054271
938,0.00872197
940,0.00413347
942,0.00413347
944,0.00446628
946,0.00474703
948,0.00474703
950,0.00470093
952,0.0100561
954,0.0100561
956,0.000909688
958,0.00252531
960,0.00124601
962,0.00150306
964,0.00342868
966,0.014962
968,0.0022719
970,0.00567484
972,0.00872669
974,0.00358774
976,0.0024088
978,0.0175017
980,0.00158062
982,0.0020762
984,0.00523524
986,0.00198112
988,0.00407167
990,0.00832358
992,0.00471721
994,0.0032462
996,0.00563469
998,0.00816204
1000,0.00816204
1002,0.00474896
1004,0.00136019
1006,0.00493271
1008,0.0102054
1010,0.0068746
1012,0.00220978
1014,0.00146072
1016,0.00146072
1018,0.00926162
1020,0.0078997
1022,0.00879035
1024,0.00897594
1026,0.00354782
1028,0.00499796
1030,0.00469637
1032,0.00246913
1034,0.00246913
1036,0.0063758
1038,0.0063758
1040,0.0063758
1042,0.0063758
1044,0.0063758
1046,0.00443563
1048,0.00443563
1050,0.00299088
1052,0.00276787
1054,0.00186055
1056,0.0045438
1058,0.0045438
1060,0.00346475
1062,0.00331807
1064,0.00227762
1066,0.00227762
1068,0.00401541
1070,0.00803357
1072,0.00470196
1074,0.00470196
1076,0.00480805
1078,0.00379076
1080,0.00369172
1082,0.00369172
1084,0.00369172
1086,0.00483107
1088,0.00354936
1090,0.00275416
1092,0.00368462
1094,0.00536208
1096,0.00536208
1098,0.00308058
1100,0.000936335
1102,0.004675
1104,0.004675
1106,0.004675
1108,0.004675
1110,0.00526818
1112,0.00526818
1114,0.00526818
1116,0.00526818
1118,0.00991956
1120,0.00197052
1122,0.00353546
1124,0.00237475
1126,0.00254766
1128,0.00254766
1130,0.00254766
1132,0.00168387
1134,0.00414202
1136,0.00456441
1138,0.0053866
1140,0.00534418
1142,0.00449668
1144,0.00351682
1146,0.00298048
1148,0.000985434
1150,0.00359528
1152,0.00714894
1154,0.00518513
1156,0.00826773
1158,0.00796576
1160,0.00796576
1162,0.00796576
1164,0.013584
1166,0.00480896
1168,0.00519285
1170,0.00188655
1172,0.00474758
1174,0.00727199
1176,0.000914087
1178,0.00407685
1180,0.00155124
1182,0.00827312
1184,0.00827312
1186,0.00513037
1188,0.0088432
1190,0.00130704
1192,0.00798169
1194,0.000970626
1196,0.0114402
1198,0.00119441
1200,0.00694247
1202,0.0037393
1204,0.00520087
1206,0.00520087
1208,0.011051
1210,0.0031505
1212,0.00300419
1214,0.00234585
1216,0.00234585
1218,0.000439866
1220,0.00310472
1222,0.00198723
1224,0.00241609
1226,0.00200834
1228,0.00302905
1230,0.00125509
1232,0.00228748
1234,0.0040417
1236,0.0155001
1238,0.00997172
1240,0.000859727
1242,0.0035769
1244,0.00860043
1246,0.00860043
1248,0.00860043
1250,0.00327848
1252,0.00441496
1254,0.00647026
1256,0.000725198
1258,0.00146388
1260,0.0111035
1262,0.0111035
1264,0.00222144
1266,0.00398667
1268,0.00467206
1270,0.00330438
1272,0.00689889
1274,0.00345242
1276,0.000971835
1278,0.00479485
1280,0.00344929
1282,0.00463979
1284,0.0105132
1286,0.000201482
1288,0.00267494
1290,0.00498906
1292,0.00249415
1294,0.00249415
1296,0.00249415
1298,0.000874767
1300,0.000874767
1302,0.00425535
1304,0.00627984
1306,0.00627984
1308,0.00435768
1310,0.00773735
1312,0.00773735
1314,0.00773735
1316,0.00773735
1318,0.00773735
1320,0.00773735
1322,0.00347565
