t,G,F1,F2,F3
247,0.5791,0,null,null
248,0.6611,0,null,null
249,0.6562,0,null,null
250,0.6063,0,null,null
251,0.6053,0,null,null
252,0.5978,0,null,null
253,0.6281,0,null,null
254,0.6612,0,null,null
255,0.6187,0,null,null
256,0.6406,0,null,null
257,0.6252,0,null,null
258,0.6338,0,null,null
259,0.6834,0,null,null
260,0.6085,0,null,null
261,0.6065,0,null,null
262,0.5934,0,null,null
263,0.6295,0,null,null
264,0.6394,0,null,null
265,0.6022,0,null,null
266,0.6236,0,null,null
267,0.6214,0,null,null
268,0.6401,0,null,null
269,0.5701,0,null,null
270,0.6207,0,null,null
271,0.6292,0,null,null
272,0.6207,0,null,null
273,0.6074,0,null,null
274,0.5919,0,null,null
275,0.6304,0,null,null
276,0.6446,0,null,null
277,0.6431,0,null,null
278,0.6363,0,null,null
279,0.6453,0,null,null
280,0.6534,0,null,null
281,0.638,0,null,null
282,0.6573,0,null,null
283,0.6342,0,null,null
284,0.5942,0,null,null
285,0.6353,0,null,null
286,0.6584,0,null,null
287,0.7157,0,null,null
288,0.6075,0,null,null
289,0.6139,0,null,null
290,0.5838,0,null,null
291,0.6436,0,null,null
292,0.6218,0,null,null
293,0.6201,0,null,null
294,0.6037,0,null,null
295,0.5746,0,null,null
296,0.607,0,null,null
297,0.649,0,null,null
298,0.6476,0,null,null
299,0.6253,0,null,null
300,0.6233,0,null,null
301,0.602,0,null,null
302,0.6479,0,null,null
303,0.6471,0,null,null
304,0.5974,0,null,null
305,0.6425,0,null,null
306,0.6084,0,null,null
307,0.6272,0,null,null
308,0.635,0,null,null
309,0.6042,0,null,null
310,0.6478,0,null,null
311,0.6459,0,null,null
312,0.6352,0,null,null
313,0.6287,0,null,null
314,0.5876,0,null,null
315,0.5829,0,null,null
316,0.6514,0,null,null
317,0.6143,0,null,null
318,0.6466,0,null,null
319,0.6285,0,null,null
320,0.6272,0,null,null
321,0.6018,0,null,null
322,0.5841,0,null,null
323,0.642,0,null,null
324,0.6566,0,null,null
325,0.6433,0,null,null
326,0.6718,0,null,null
327,0.6675,0,null,null
328,0.6122,0,null,null
329,0.6392,0,null,null
330,0.6603,0,null,null
331,0.6165,0,null,null
332,0.6269,0,null,null
333,0.6033,0,null,null
334,0.6464,0,null,null
335,0.67,0,null,null
336,0.6107,0,null,null
337,0.624,0,null,null
338,0.5905,0,null,null
339,0.6208,0,null,null
340,0.6018,0,null,null
341,0.5882,0,null,null
342,0.5906,0,null,null
343,0.6048,0,null,null
344,0.6176,0,null,null
345,0.6314,0,null,null
346,0.6142,0,null,null
347,0.6149,0,null,null
348,0.6279,0,null,null
349,0.6344,0,null,null
350,0.603,0,null,null
351,0.6074,0,null,null
352,0.6053,0,null,null
353,0.5874,0,null,null
354,0.5984,0,null,null
355,0.6481,0,null,null
356,0.6009,0,null,null
357,0.6126,0,null,null
358,0.6338,0,null,null
359,0.6223,0,null,null
360,0.6105,0,null,null
361,0.6052,0,null,null
362,0.5981,0,null,null
363,0.6249,0,null,null
364,0.6158,0,null,null
365,0.616,0,null,null
366,0.5823,0,null,null
367,0.6027,0,null,null
368,0.5701,0,null,null
369,0.5947,0,null,null
370,0.5943,0,null,null
371,0.6083,0,null,null
372,0.6436,0,null,null
373,0.629,0,null,null
374,0.7113,0,null,null
375,0.6588,0,null,null
376,0.605,0,null,null
377,0.6059,0,null,null
378,0.6349,0,null,null
379,0.5941,0,null,null
380,0.6541,0,null,null
381,0.5962,0,null,null
382,0.6148,0,null,null
383,0.6285,0,null,null
384,0.6162,0,null,null
385,0.6284,0,null,null
386,0.6523,0,null,null
387,0.6001,0,null,null
388,0.6437,0,null,null
389,0.6402,0,null,null
390,0.6138,0,null,null
391,0.6574,0,null,null
392,0.6037,0,null,null
393,0.604,0,null,null
394,0.6342,0,null,null
395,0.6562,0,null,null
396,0.6546,0,null,null
397,0.6457,0,null,null
398,0.634,0,null,null
399,0.6236,0,null,null
400,0.627,0,null,null
401,0.6227,0,null,null
402,0.6303,0,null,null
403,0.5933,0,null,null
404,0.599,0,null,null
405,0.5817,0,null,null
406,0.6677,0,null,null
407,0.6587,0,null,null
408,0.6605,0,null,null
409,0.6245,0,null,null
410,0.6216,0,null,null
411,0.6279,0,null,null
412,0.648,0,null,null
413,0.649,0,null,null
414,0.6288,0,null,null
415,0.6191,0,null,null
416,0.6539,0,null,null
417,0.5894,0,null,null
418,0.6157,0,null,null
419,0.6391,0,null,null
420,0.6239,0,null,null
421,0.6316,0,null,null
422,0.6397,0,null,null
423,0.6123,0,null,null
424,0.6128,0,null,null
425,0.6286,0,null,null
426,0.6035,0,null,null
427,0.6367,0,null,null
428,0.6765,0,null,null
429,0.6972,0,null,null
430,0.6888,0,null,null
431,0.6254,0,null,null
432,0.6219,0,null,null
433,0.639,0,null,null
434,0.6216,0,null,null
435,0.6199,0,null,null
436,0.6199,0,null,null
437,0.6132,0,null,null
438,0.605,0,null,null
439,0.653,0,null,null
440,0.6743,0,null,null
441,0.6208,0,null,null
442,0.606,0,null,null
443,0.6482,0,null,null
444,0.6243,0,null,null
445,0.6435,0,null,null
446,0.6258,0,null,null
447,0.6592,0,null,null
448,0.6226,0,null,null
449,0.6421,0,null,null
450,0.6326,0,null,null
451,0.591,0,null,null
452,0.6792,0,null,null
453,0.6008,0,null,null
454,0.6463,0,null,null
455,0.624,0,null,null
456,0.6062,0,null,null
457,0.5792,0,null,null
458,0.6693,0,null,null
459,0.6769,0,null,null
460,0.6552,0,null,null
461,0.6284,0,null,null
462,0.6291,0,null,null
463,0.6025,0,null,null
464,0.6638,0,null,null
465,0.6081,0,null,null
466,0.6328,0,null,null
467,0.638,0,null,null
468,0.6442,0,null,null
469,0.6474,0,null,null
470,0.6416,0,null,null
471,0.6438,0,null,null
472,0.6741,0,null,null
473,0.638,0,null,null
474,0.6457,0,null,null
475,0.6585,0,null,null
476,0.6604,0,null,null
477,0.649,0,null,null
478,0.6278,0,null,null
479,0.5919,0,null,null
480,0.6081,0,null,null
481,0.6172,0,null,null
482,0.6016,0,null,null
483,0.6064,0,null,null
484,0.6072,0,null,null
485,0.6534,0,null,null
486,0.6004,0,null,null
487,0.614,0,null,null
488,0.5897,0,null,null
489,0.6554,0,null,null
490,0.6484,0,null,null
491,0.6292,0,null,null
492,0.5763,0,null,null
493,0.6197,0,null,null
494,0.6331,0,null,null
495,0.6765,0,null,null
496,0.6425,0,null,null
497,0.666,0,null,null
498,0.6375,0,null,null
499,0.6649,0,null,null
500,0.6647,0,null,null
501,0.6388,0,null,null
502,0.6245,0,null,null
503,0.6314,0,null,null
504,0.5875,0,null,null
505,0.5934,0,null,null
506,0.6197,0,null,null
507,0.6815,0,null,null
508,0.6755,0,null,null
509,0.6778,0,null,null
510,0.6827,0,null,null
511,0.6236,0,null,null
512,0.6581,0,null,null
513,0.7085,0,null,null
514,0.622,0,null,null
515,0.6757,0,null,null
516,0.6872,0,null,null
517,0.6377,0,null,null
518,0.6107,0,null,null
519,0.6289,0,null,null
520,0.646,0,null,null
521,0.6624,0,null,null
522,0.6358,0,null,null
523,0.645,0,null,null
524,0.5555,0,null,null
525,0.6321,0,null,null
526,0.6281,0,null,null
527,0.6468,0,null,null
528,0.6796,0,null,null
529,0.6493,0,null,null
530,0.6484,0,null,null
531,0.6385,0,null,null
532,0.6206,0,null,null
533,0.6234,0,null,null
534,0.6335,0,null,null
535,0.6278,0,null,null
536,0.5958,0,null,null
537,0.5887,0,null,null
538,0.6146,0,null,null
539,0.6122,0,null,null
540,0.6583,0,null,null
541,0.6113,0,null,null
542,0.6077,0,null,null
543,0.6251,0,null,null
544,0.6132,0,null,null
545,0.6288,0,null,null
546,0.6239,0,null,null
547,0.6376,0,null,null
548,0.6267,0,null,null
549,0.6348,0,null,null
550,0.6182,0,null,null
551,0.7067,0,null,null
552,0.6601,0,null,null
553,0.6672,0,null,null
554,0.6712,0,null,null
555,0.6697,0,null,null
556,0.6641,0,null,null
557,0.6412,0,null,null
558,0.6568,0,null,null
559,0.6779,0,null,null
560,0.6745,0,null,null
561,0.6424,0,null,null
562,0.6632,0,null,null
563,0.6405,0,null,null
564,0.603,0,null,null
565,0.5979,0,null,null
566,0.6257,0,null,null
567,0.5953,0,null,null
568,0.5944,0,null,null
569,0.662,0,null,null
570,0.604,0,null,null
571,0.6219,0,null,null
572,0.6096,0,null,null
573,0.5815,0,null,null
574,0.6264,0,null,null
575,0.6411,0,null,null
576,0.625,0,null,null
577,0.598,0,null,null
578,0.6061,0,null,null
579,0.6293,0,null,null
580,0.6087,0,null,null
581,0.6245,0,null,null
582,0.6768,0,null,null
583,0.6477,0,null,null
584,0.6349,0,null,null
585,0.6524,0,null,null
586,0.5959,0,null,null
587,0.578,0,null,null
588,0.6138,0,null,null
589,0.6272,0,null,null
590,0.6039,0,null,null
591,0.638,0,null,null
592,0.602,0,null,null
593,0.676,0,null,null
594,0.6925,0,null,null
595,0.6398,0,null,null
596,0.613,0,null,null
597,0.6404,0,null,null
598,0.6155,0,null,null
599,0.6399,0,null,null
600,0.6441,0,null,null
601,0.6339,0,null,null
602,0.6219,0,null,null
603,0.6289,0,null,null
604,0.6389,0,null,null
605,0.6098,0,null,null
606,0.621,0,null,null
607,0.7064,0,null,null
608,0.6304,0,null,null
609,0.6674,0,null,null
610,0.6503,0,null,null
611,0.5823,0,null,null
612,0.547,0,null,null
613,0.5661,0,null,null
614,0.5934,0,null,null
615,0.6422,0,null,null
616,0.6626,0,null,null
617,0.6143,0,null,null
618,0.6993,0,null,null
619,0.6318,0,null,null
620,0.6094,0,null,null
621,0.6122,0,null,null
622,0.6078,0,null,null
623,0.611,0,null,null
624,0.6473,0,null,null
625,0.642,0,null,null
626,0.6188,0,null,null
627,0.5996,0,null,null
628,0.6151,0,null,null
629,0.6227,0,null,null
630,0.6357,0,null,null
631,0.6341,0,null,null
632,0.6543,0,null,null
633,0.6348,0,null,null
634,0.738,0,null,null
635,0.6127,0,null,null
636,0.6562,0,null,null
637,0.6149,0,null,null
638,0.6038,0,null,null
639,0.6182,0,null,null
640,0.6197,0,null,null
641,0.6353,0,null,null
642,0.5947,0,null,null
643,0.6483,0,null,null
644,0.5922,0,null,null
645,0.6008,0,null,null
646,0.6847,0,null,null
647,0.6788,0,null,null
648,0.7218,0,null,null
649,0.6732,0,null,null
650,0.6123,0,null,null
651,0.6409,0,null,null
652,0.6491,0,null,null
653,0.6336,0,null,null
654,0.6458,0,null,null
655,0.6392,0,null,null
656,0.6713,0,null,null
657,0.6622,0,null,null
658,0.6672,0,null,null
659,0.6713,0,null,null
660,0.6756,0,null,null
661,0.6266,0,null,null
662,0.6367,0,null,null
663,0.6842,0,null,null
664,0.6495,0,null,null
665,0.621,0,null,null
666,0.6305,0,null,null
667,0.6417,0,null,null
668,0.6124,0,null,null
669,0.646,0,null,null
670,0.6141,0,null,null
671,0.6278,0,null,null
672,0.6598,0,null,null
673,0.608,0,null,null
674,0.6259,0,null,null
675,0.6788,0,null,null
676,0.6628,0,null,null
677,0.638,0,null,null
678,0.6198,0,null,null
679,0.6095,0,null,null
680,0.6278,0,null,null
681,0.6284,0,null,null
682,0.638,0,null,null
683,0.6103,0,null,null
684,0.6536,0,null,null
685,0.6279,0,null,null
686,0.6137,0,null,null
687,0.6283,0,null,null
688,0.6466,0,null,null
689,0.6587,0,null,null
690,0.6697,0,null,null
691,0.5806,0,null,null
692,0.6137,0,null,null
693,0.5711,0,null,null
694,0.6421,0,null,null
695,0.6155,0,null,null
696,0.6453,0,null,null
697,0.652,0,null,null
698,0.6456,0,null,null
699,0.6251,0,null,null
700,0.6003,0,null,null
701,0.5923,0,null,null
702,0.5939,0,null,null
703,0.6235,0,null,null
704,0.6461,0,null,null
705,0.6552,0,null,null
706,0.6503,0,null,null
707,0.66,0,null,null
708,0.6554,0,null,null
709,0.6385,0,null,null
710,0.633,0,null,null
711,0.6324,0,null,null
712,0.6299,0,null,null
713,0.6321,0,null,null
714,0.6146,0,null,null
715,0.5953,0,null,null
716,0.6045,0,null,null
717,0.61,0,null,null
718,0.6161,0,null,null
719,0.6689,0,null,null
720,0.629,0,null,null
721,0.6111,0,null,null
722,0.5881,0,null,null
723,0.604,0,null,null
724,0.6067,0,null,null
725,0.6241,0,null,null
726,0.602,0,null,null
727,0.6244,0,null,null
728,0.6356,0,null,null
729,0.5849,0,null,null
730,0.5864,0,null,null
731,0.6352,0,null,null
732,0.672,0,null,null
733,0.6305,0,null,null
734,0.5965,0,null,null
735,0.6143,0,null,null
736,0.5848,0,null,null
737,0.6151,0,null,null
738,0.6298,0,null,null
739,0.6127,0,null,null
740,0.5816,0,null,null
741,0.6063,0,null,null
742,0.6245,0,null,null
743,0.5912,0,null,null
744,0.6208,0,null,null
745,0.609,0,null,null
746,0.637,0,null,null
747,0.6239,0,null,null
748,0.6516,0,null,null
749,0.6159,0,null,null
750,0.6372,0,null,null
751,0.6138,0,null,null
752,0.5868,0,null,null
753,0.5976,0,null,null
754,0.6313,0,null,null
755,0.6316,0,null,null
756,0.6582,0,null,null
757,0.6596,0,null,null
758,0.639,0,null,null
759,0.652,0,null,null
760,0.5886,0,null,null
761,0.6672,0,null,null
762,0.7042,0,null,null
763,0.6611,0,null,null
764,0.6557,0,null,null
765,0.6511,0,null,null
766,0.6386,0,null,null
767,0.6247,0,null,null
768,0.6529,0,null,null
769,0.6054,0,null,null
770,0.6025,0,null,null
771,0.6032,0,null,null
772,0.5887,0,null,null
773,0.6042,0,null,null
774,0.6312,0,null,null
775,0.6433,0,null,null
776,0.6308,0,null,null
777,0.615,0,null,null
778,0.6158,0,null,null
779,0.6094,0,null,null
780,0.6103,0,null,null
781,0.6162,0,null,null
782,0.6438,0,null,null
783,0.6219,0,null,null
784,0.6271,0,null,null
785,0.6462,0,null,null
786,0.6024,0,null,null
787,0.6302,0,null,null
788,0.6393,0,null,null
789,0.6341,0,null,null
790,0.6405,0,null,null
791,0.6128,0,null,null
792,0.6253,0,null,null
793,0.6484,0,null,null
794,0.6402,0,null,null
795,0.6781,0,null,null
796,0.6147,0,null,null
797,0.6474,0,null,null
798,0.6951,0,null,null
799,0.6329,0,null,null
800,0.6287,0,null,null
801,0.6238,0,null,null
802,0.6145,0,null,null
803,0.6111,0,null,null
804,0.6137,0,null,null
805,0.6177,0,null,null
806,0.6278,0,null,null
807,0.6561,0,null,null
808,0.6586,0,null,null
809,0.6587,0,null,null
810,0.6605,0,null,null
811,0.6363,0,null,null
812,0.6492,0,null,null
813,0.6095,0,null,null
814,0.5984,0,null,null
815,0.6224,0,null,null
816,0.6272,0,null,null
817,0.6524,0,null,null
818,0.61,0,null,null
819,0.615,0,null,null
820,0.6284,0,null,null
821,0.6292,0,null,null
822,0.6312,0,null,null
823,0.6243,0,null,null
824,0.6493,0,null,null
825,0.6785,0,null,null
826,0.6843,0,null,null
827,0.6585,0,null,null
828,0.6055,0,null,null
829,0.6223,0,null,null
830,0.5756,0,null,null
831,0.6578,0,null,null
832,0.6715,0,null,null
833,0.6601,0,null,null
834,0.6427,0,null,null
835,0.6164,0,null,null
836,0.6372,0,null,null
837,0.6243,0,null,null
838,0.6174,0,null,null
839,0.6314,0,null,null
840,0.6104,0,null,null
841,0.6576,0,null,null
842,0.6202,0,null,null
843,0.6573,0,null,null
844,0.6733,0,null,null
845,0.6516,0,null,null
846,0.5991,0,null,null
847,0.6155,0,null,null
848,0.6409,0,null,null
849,0.6248,0,null,null
850,0.6315,0,null,null
851,0.6267,0,null,null
852,0.6717,0,null,null
853,0.648,0,null,null
854,0.606,0,null,null
855,0.632,0,null,null
856,0.5757,0,null,null
857,0.5909,0,null,null
858,0.6271,0,null,null
859,0.6086,0,null,null
860,0.6154,0,null,null
861,0.6313,0,null,null
862,0.6764,0,null,null
863,0.649,0,null,null
864,0.6624,0,null,null
865,0.6353,0,null,null
866,0.6073,0,null,null
867,0.6358,0,null,null
868,0.6482,0,null,null
869,0.6257,0,null,null
870,0.6197,0,null,null
871,0.6813,0,null,null
872,0.6947,0,null,null
873,0.6652,0,null,null
874,0.6413,0,null,null
875,0.6523,0,null,null
876,0.637,0,null,null
877,0.6401,0,null,null
878,0.6465,0,null,null
879,0.6611,0,null,null
880,0.6166,0,null,null
881,0.584,0,null,null
882,0.6194,0,null,null
883,0.5981,0,null,null
884,0.6383,0,null,null
885,0.6477,0,null,null
886,0.6095,0,null,null
887,0.606,0,null,null
888,0.6139,0,null,null
889,0.6299,0,null,null
890,0.6139,0,null,null
891,0.6156,0,null,null
892,0.7207,0,null,null
893,0.6482,0,null,null
894,0.6844,0,null,null
895,0.6084,0,null,null
896,0.6307,0,null,null
897,0.6641,0,null,null
898,0.6004,0,null,null
899,0.5612,0,null,null
900,0.6224,0,null,null
901,0.6462,0,null,null
902,0.6679,0,null,null
903,0.6543,0,null,null
904,0.5768,0,null,null
905,0.6549,0,null,null
906,0.6418,0,null,null
907,0.642,0,null,null
908,0.6183,0,null,null
909,0.5998,0,null,null
910,0.6538,0,null,null
911,0.628,0,null,null
912,0.6646,0,null,null
913,0.6614,0,null,null
914,0.6288,0,null,null
915,0.5955,0,null,null
916,0.6366,0,null,null
917,0.6015,0,null,null
918,0.6409,0,null,null
919,0.586,0,null,null
920,0.6108,0,null,null
