MDTU,min_min,min_max,max_min,max_max
720,-3.58659,1.96549,-1.34475,2.02065
722,-3.48262,1.86944,-1.41919,1.96667
724,-4.41115,1.86059,-1.81587,1.95712
726,-3.51235,1.82559,-1.61247,1.90899
728,-4.56615,1.88296,-1.39496,1.92994
730,-4.18121,1.70909,-1.29347,1.81304
732,-3.1855,1.57686,-1.44984,1.70059
734,-3.1855,1.57686,-1.44984,1.70059
736,-3.29322,1.59607,-1.38978,1.69476
738,-3.61892,1.53531,-1.28673,1.66231
740,-3.57721,1.52786,-1.46443,1.62949
742,-3.10695,1.61213,-1.57721,1.70118
744,-3.10695,1.61213,-1.57721,1.70118
746,-2.98734,1.53391,-1.58948,1.68053
748,-2.98734,1.53391,-1.58948,1.68053
750,-4.19208,1.51649,-1.35842,1.66667
752,-3.47656,1.50712,-1.3339,1.64902
754,-3.47656,1.50712,-1.3339,1.64902
756,-4.47325,1.34995,-1.435,1.50056
758,-4.12901,1.27283,-1.74121,1.42172
760,-3.54167,1.2982,-1.40146,1.50871
762,-3.41582,1.19669,-1.60532,1.3119
764,-3.24871,1.01801,-1.19736,1.17306
766,-3.2008,0.976827,-1.40907,1.13191
768,-4.0013,0.775325,-1.4993,1.11163
770,-3.93807,0.930969,-1.56731,1.07313
772,-3.21765,0.839043,-1.46504,1.0143
774,-4.05528,0.600677,-1.3588,0.943556
776,-3.28416,0.852481,-1.43189,1.09282
778,-3.28416,0.852481,-1.43189,1.09282
780,-2.77245,0.755301,-1.63135,0.936024
782,-3.45221,0.877484,-1.23755,1.03824
784,-5.24204,0.850865,-1.25385,1.08433
786,-5.24204,0.850865,-1.25385,1.08433
788,-4.05381,0.998699,-1.52687,1.20308
790,-4.05381,0.998699,-1.52687,1.20308
792,-4.05381,0.998699,-1.52687,1.20308
794,-4.43088,0.885857,-1.47245,1.09077
796,-3.10064,1.02319,-2.09051,1.24015
798,-4.08173,0.846882,-1.77783,1.02203
800,-3.91448,0.884517,-1.54432,1.15191
802,-3.91448,0.884517,-1.54432,1.15191
804,-3.54087,0.972768,-1.5317,1.14891
806,-4.78903,0.992178,-1.49264,1.19533
808,-3.8156,1.09148,-1.51909,1.21416
810,-3.11751,0.93284,-1.6016,1.25437
812,-3.76332,1.04316,-2.06826,1.20236
814,-3.7535,1.10403,-1.59108,1.22064
816,-3.78099,1.17515,-1.75314,1.47786
818,-3.54662,1.16464,-1.14588,1.35573
820,-3.29708,1.11873,-1.29748,1.32647
822,-4.05683,1.26357,-1.79335,1.3733
824,-4.01856,1.17639,-1.2084,1.45215
826,-3.60111,1.11049,-1.85009,1.3441
828,-3.60111,1.11049,-1.85009,1.3441
830,-3.13571,1.04618,-1.88915,1.21923
832,-3.25907,0.99357,-1.53673,1.20884
834,-3.55172,1.16335,-1.50383,1.24203
836,-3.36276,0.974698,-1.42552,1.12126
838,-3.48667,1.06693,-1.2803,1.24561
