MDTU,|Tr(L)|,ReTr(L),ImTr(L)
318,0.0907505,-0.085586,0.0301775
320,0.0708352,0.003468,-0.0707503
322,0.0971819,0.0769018,0.0594175
324,0.116104,-0.0248719,-0.113408
326,0.109473,-0.0645145,-0.0884435
328,0.0538235,-0.0289707,0.0453615
330,0.0713095,0.0369222,0.0610065
332,0.0835908,-0.052316,-0.0651955
334,0.0669495,0.0657568,0.012581
336,0.048121,0.0419187,0.0236316
338,0.048121,0.0419187,0.0236316
340,0.0469113,-0.00829418,-0.0461722
342,0.0808999,0.00210416,0.0808725
344,0.0437257,-0.0291873,0.0325582
346,0.0922342,-0.0916005,0.0107935
348,0.0705863,0.00614535,0.0703182
350,0.077042,0.0547463,0.0542062
352,0.114358,-0.0785732,-0.0830898
354,0.0846731,-0.0815523,0.0227765
356,0.080852,-0.0790243,-0.0170945
358,0.0361899,0.0235599,-0.0274707
360,0.192285,0.192039,-0.00973822
362,0.0556666,0.0230845,-0.0506545
364,0.0200379,0.00975035,-0.0175057
366,0.0485822,-0.0468462,0.0128708
368,0.0400415,0.0380335,-0.0125209
370,0.134024,-0.0713378,-0.113461
372,0.0877507,0.0176066,-0.0859662
374,0.094051,-0.0866325,-0.0366115
376,0.0344546,-0.0338403,0.00647737
378,0.0936907,-0.0538955,-0.076637
380,0.0849933,-0.0229889,-0.0818253
382,0.0706604,0.00367958,-0.0705645
384,0.0779357,0.0330643,0.0705743
386,0.0451172,0.044177,0.00916277
388,0.157428,-0.0693895,-0.141311
390,0.0523741,-0.00056929,-0.052371
392,0.129646,-0.128318,-0.0185101
394,0.219596,-0.116153,0.186362
396,0.0824908,0.0669625,0.0481743
398,0.0651805,-0.0613957,0.0218873
400,0.0806721,-0.058402,0.0556525
402,0.111947,-0.111469,-0.010336
404,0.075145,0.0400325,0.0635938
406,0.0745074,-0.0449275,-0.059438
408,0.0745074,-0.0449275,-0.059438
410,0.0745074,-0.0449275,-0.059438
412,0.0365757,-0.0360123,-0.0063954
414,0.088155,-0.088153,-0.000591305
416,0.0761372,-0.0744407,0.0159827
418,0.0618293,-0.0031395,0.0617495
420,0.150539,0.018789,-0.149362
